Years,Available Area for Marsh Encroachment,Conversion to High Marsh,Conversion to Low Marsh,Days Recreating[Birding],Days Recreating[Hiking],Days Recreating[Marsh Walking],Days Recreating[Marsh Driving],Days Recreating[Boat Fishing],Days Recreating[Land Fishing],Days Recreating[Duck Hunting],Days Recreating[Pleasure Boating],Days Recreating[Marsh Work],Delay in Action Erosion Control,="Delay in Action: Flood Control",Delay in Erosion Control Implementation,Delay in Flood Control Implementation High Marsh,Delay in Flood Control Implementation Low Marsh,Erosion Control Rate,Fiddler Crab Carrying Capacity,Fiddler Crab Mortality Rate,Fiddler Crabs,="Flood Mitigation Rate: High Marsh",="Flood Mitigation Rate: Low Marsh",Forest Converted to High Marsh,High Marsh Area,High Marsh Conversion Rate,High Marsh Erosion,High Marsh Erosion Rate,High Marsh to Upland Conversion Rate,High Sea Level Rise,="Horizontal Growth Rate: Low Marsh",="Inundation Loss Rate: Low Marsh",Low Marsh Area,Low Marsh Conversion Rate,Low Marsh Erosion,Low Marsh Erosion Rate,="Low Marsh Erosion Rate: Fiddler Crabs",="Low Marsh Erosion Rate: SLR",="Low Marsh Growth: Fiddlers",Low Marsh Horizontal Growth,Low Sea Level Rise,Mean Days Recreating,Mean Mitigation Rate,Medium Sea Level Rise,Mortality,Mortality Rate mediated by Low Marsh Area,Policy Demand Flood Control,="Policy Demand: Erosion Control",Rate of Sea Level Rise,Recruitment,Recruitment Rate,Salt Water Inundation in Low Marsh,Scenario 1,Scenario 2,Scenario 3,Total Marsh Area,Upland Border Decay,Upland Border Decay Rate,Upland Border Extent,="Vertical Growth Rate: Low Marsh"
1,0,34.733213638,4.37656154785,23,2,40,56,3,1,3,6,36,18.8888888889,18.8888888889,0.143283821581,0.143283821581,0.143283821581,0,0.00001,0.00001,1,0,0,0,33000,0.00496188766258,0.0276809578228,8.3881690372e-7,0.142857503137,2.84636380803,0.00162107282954,0.000491568083187,7000,0.000132623077208,0.151072820005,0.0000215818314293,0,0.0000215818314293,0,11.3475098068,2.8326,18.8888888889,0,2.84507057027,0.00001,0,0.143283821581,0.143283821581,2.84636380803,0.34569,0.34569,3.44097658231,0,0,1,40000,0.417405982063,0.000173919159193,2400,3.04278821745
1.25,0.104351495516,34.6630149645,5.47195891027,23.0011446773,2.00009418231,40.0019174553,56.0026371047,3.00014924274,1.00004878161,3.00014924274,6.00029848548,36.0017580698,18.8888888889,18.8888888889,0.143283821581,0.143283821581,0.143283821581,0,0.00001,0.00001,1.08642,0,0,0.0149304696093,33007.5822428,0.00495585957822,0.02770285577,8.3928763901e-7,0.143078635678,2.85045476004,0.00162142691863,0.000492145239119,6994.34970208,0.000165778846509,0.151155674634,0.0000216111119793,0,0.0000216111119793,0,11.3408268853,2.83325,18.8897996936,0,2.84883821283,0.0000108642,0,0.143283821581,0.143283821581,2.85045476004,0.378755797073,0.3486274158,3.44223590661,0,0,1,40001.9319449,0.418340276011,0.000174316027562,2399.8956485,3.04348527181
1.5,0.205203947116,34.5943168571,6.56780183499,23.0022903743,2.00018844852,40.0038366185,56.0052765585,3.00029861842,1.00009760667,3.00029861842,6.00059723684,36.0035177056,18.8888888889,18.8888888889,0.143283821581,0.143283821581,0.143283821581,0,0.00001,0.00001,1.18110623322,0,0,0.0294056780593,33014.8768137,0.00494983149387,0.0277245192807,8.39758374299e-7,0.143299768219,2.85454571205,0.00162178100772,0.000492722395051,6988.98879689,0.000198934615811,0.151244460947,0.0000216403925292,0,0.0000216403925292,0,11.334609294,2.8339,18.8907113095,0,2.8526058554,0.0000118110623322,0,0.143283821581,0.143283821581,2.85454571205,0.415567268536,0.351845800867,3.44363129899,0,0,1,40003.8656106,0.419274446324,0.000174712895932,2399.79106344,3.04418232617
1.75,0.302671139182,34.5271131782,7.66406174287,23.0034370713,2.00028279701,40.005757457,56.0079183162,3.00044812449,1.00014647435,3.00044812449,6.00089624898,36.0052788775,18.8888888889,18.8897996936,0.143283821581,0.143283821581,0.143283821581,0,0.00001,0.00001,1.28499509759,0,0,0.0434396345294,33021.8838627,0.00494380340951,0.0277459480749,8.40229109588e-7,0.14352090076,2.85863666405,0.00162213509681,0.000493299550983,6983.91710152,0.000232090385113,0.151339200402,0.0000216696730792,0,0.0000216696730792,0,11.3288570436,2.83455,18.8916237213,0,2.85637349797,0.0000128499509759,0,0.14326988246,0.143283821581,2.85863666405,0.456657681422,0.355376983367,3.44516317028,0,0,1,40005.8009643,0.420208492728,0.000175109764301,2399.68624482,3.04487938054
2,0.396863353732,34.4613977662,8.76071007708,23.004584751,2.00037722635,40.0076799415,56.0105623377,3.00059775867,1.0001953839,3.00059775867,6.00119551735,36.0070415585,18.8888888889,18.8907113095,0.143283821581,0.143283821581,0.143283821581,0,0.00001,0.00001,1.39915630545,0,0,0.0570459454079,33028.603549,0.00493777532515,0.0277671418802,8.40699844877e-7,0.143742033301,2.86272761606,0.00162248918591,0.000493876706914,6979.13442733,0.000265246154415,0.151439914311,0.0000216989536292,0,0.0000216989536292,0,11.3235701353,2.8352,18.8925369149,0,2.86014114053,0.0000139915630545,0,0.143255930924,0.143283821581,2.86272761606,0.502657148508,0.359257322822,3.44683192808,0,0,1,40007.7379764,0.421142414951,0.000175506632671,2399.5811927,3.0455764349
2.25,0.487887471118,34.3971644359,9.85771830459,23.0057333977,2.00047173526,40.009604046,56.0132085872,3.00074751894,1.00024433467,3.00074751894,6.00149503789,36.0088057248,18.8897996936,18.8916237213,0.143283821581,0.143283821581,0.143283821581,0,0.00001,0.00001,1.52481709469,0,0,0.0702378249165,33035.0360406,0.0049317472408,0.0277881004321,8.41170580166e-7,0.143963165842,2.86681856807,0.001622843275,0.000494453862846,6974.64057998,0.000298401923717,0.151546623837,0.0000217282341792,0,0.0000217282341792,0,11.3187485608,2.83585,18.8934508779,0,2.8639087831,0.0000152481709469,0,0.143241967208,0.143269882461,2.86681856807,0.5543145216,0.363528533049,3.44863797674,0,0,1,40009.6766206,0.42207621272,0.00017590350104,2399.4759071,3.04627348926
2.5,0.575847068069,34.3344069787,10.9550579176,23.0068829979,2.00056632261,40.0115297475,56.0158570331,3.00089740352,1.00029332607,3.00089740352,6.00179480704,36.0105713554,18.8907113095,18.8925369149,0.143283821581,0.143283821581,0.143283821581,0,0.00001,0.00001,1.66339191305,0,0,0.0830281054851,33041.1815146,0.00492571915644,0.0278088234741,8.41641315455e-7,0.144184298382,2.87090952008,0.00162319736409,0.000495031018778,6970.43535944,0.000331557693019,0.151659350002,0.0000217575147292,0,0.0000217575147292,0,11.314392302,2.8365,18.8943655996,0,2.86767642567,0.0000166339191305,0,0.143227991527,0.143255930924,2.87090952008,0.612525260888,0.368238691124,3.45058171731,0,0,1,40011.616874,0.423009885763,0.00017630036941,2399.37038804,3.04697054362
2.75,0.660842513138,34.2731191631,12.052700435,23.0080335396,2.00066098744,40.0134570263,56.0185076483,3.00104741086,1.0003423576,3.00104741086,6.00209482173,36.0123384322,18.8916237213,18.8934508779,0.143283821581,0.143283821581,0.143283821581,0,0.00001,0.00001,1.81651906979,0,0,0.0954292478822,33047.0401567,0.00491969107209,0.0278293107574,8.42112050744e-7,0.144405430923,2.87500047208,0.00162355145319,0.00049560817471,6966.51855998,0.000364713462321,0.151778113675,0.0000217867952791,0,0.0000217867952791,0,11.3105013317,2.83715,18.8952810705,0,2.87144406823,0.0000181651906979,0,0.14321400407,0.143241967208,2.87500047208,0.678367208689,0.373443483182,3.4526635476,0,0,1,40013.5587167,0.423943433807,0.000176697237779,2399.26463557,3.04766759799
3,0.742971059619,34.2132947343,13.1506174038,23.009185013,2.00075572891,40.0153858656,56.0211604096,3.00119753966,1.00039142882,3.00119753966,6.00239507933,36.0141069397,18.8925369149,18.8943655996,0.143283821581,0.143283821581,0.143283821581,0,0.00001,0.00001,1.98610633066,0,0,0.107453351106,33052.6121614,0.00491366298773,0.0278495620406,8.42582786033e-7,0.144626563464,2.87909142409,0.00162390554228,0.000496185330642,6962.88997022,0.000397869231623,0.15190293558,0.0000218160758291,0,0.0000218160758291,0,11.3070756129,2.8378,18.8961972827,0,2.8752117108,0.0000198610633066,0,0.143200005002,0.143227991527,2.87909142409,0.745589450073,0.375402584726,3.4548838621,0,0,1,40015.5021316,0.42487685658,0.000177094106149,2399.15864971,3.04836465235
3.25,0.822326935987,34.1549274151,14.2487804003,23.0103374096,2.00085054636,40.0173162514,56.023815298,3.00134778884,1.00044053939,3.00134778884,6.00269557768,36.0158768653,18.8934508779,18.8952810705,0.143283821581,0.143283821581,0.143283821581,0,0.00001,0.00001,2.17249872792,0,0,0.119112162041,33057.8977316,0.00490763490338,0.0278695770902,8.43053521322e-7,0.144847696005,2.8831823761,0.00162425963137,0.000496762486574,6959.54937309,0.000431025000924,0.152033836293,0.0000218453563791,0,0.0000218453563791,0,11.3041150992,2.83845,18.8971142295,0,2.87897935337,0.0000217249872792,0,0.143185994468,0.14321400407,2.8831823761,0.820149576771,0.377514410587,3.45724305201,0,0,1,40017.4471047,0.425810153809,0.000177490974518,2399.0524305,3.04906170671
3.5,0.899001433929,34.0995397428,15.3071949752,23.0114907228,2.00094543922,40.0192481727,56.026472298,3.00149815753,1.00048968903,3.00149815753,6.00299631505,36.0176481987,18.8943655996,18.8961972827,0.143283821581,0.143283821581,0.143283821581,0,0.00001,0.00001,2.37753069086,0,0,0.130409837113,33062.897079,0.00490182659013,0.0278887882544,8.43507094605e-7,0.145060766525,2.88712418071,0.00162460081113,0.00049731860063,6956.49654589,0.000462971981511,0.152163410135,0.0000218735694226,0,0.0000218735694226,0,11.3015299311,2.8391,18.8980319056,0,2.88272385205,0.0000237753069086,0,0.143171972591,0.143200005002,2.88712418071,0.903075130073,0.379837422727,3.45959512749,0,0,1,40019.3936249,0.426708614933,0.000177873373912,2398.94597796,3.04973334796
3.75,0.973076128384,34.0482190285,16.2958419712,23.0126449561,2.00104040778,40.0211816353,56.0291314178,3.00164864617,1.00053887788,3.00164864617,6.00329729235,36.0194209452,18.8952810705,18.8971142295,0.143283821581,0.14326988246,0.14326988246,0,0.00001,0.00001,2.60329352955,0,0,0.141348774226,33067.6207955,0.00489640287634,0.0279067781953,8.43930634378e-7,0.145259728507,2.89080497738,0.00162491939955,0.000497837891404,6953.72090254,0.000492803581846,0.152285892039,0.0000218999143298,0,0.0000218999143298,0,11.2992359936,2.83975,18.8989503139,0,2.88642784894,0.0000260329352955,0,0.14315793947,0.143185994469,2.89080497738,0.995487251067,0.38239531569,3.46182575153,0,0,1,40021.341698,0.427546214297,0.0001782304526,2398.83930081,3.05036051625
4,1.0446254884,33.9981943557,17.2846363452,23.0138001187,2.00113545281,40.0231166546,56.0317926786,3.00179925599,1.00058810633,3.00179925599,6.00359851197,36.0211951191,18.8961972827,18.8980319056,0.143283821581,0.143255930924,0.143255930924,0,0.00001,0.00001,2.85215883409,0,0,0.151949855595,33072.0872503,0.00489097916255,0.0279245549177,8.44354174151e-7,0.145458690489,2.89448577405,0.00162523798798,0.000498357182177,6951.20408937,0.000522635182181,0.152413902872,0.000021926259237,0,0.000021926259237,0,11.2973609482,2.8404,18.8998694616,0,2.89013184583,0.0000285215883409,0,0.143143895187,0.143171972591,2.89448577405,1.09810652825,0.385008897514,3.46418248272,0,0,1,40023.2913396,0.42838370008,0.000178587531287,2398.73241425,3.05098768454
4.25,1.11373394952,33.9494604609,18.2735551856,23.0149562032,2.00123057368,40.0250532181,56.0344560631,3.00194998599,1.00063737406,3.00194998599,6.00389997198,36.0229707088,18.8971142295,18.8989503139,0.143283821581,0.143241967208,0.143241967208,0,0.00001,0.00001,3.12667833575,0,0,0.162223872566,33076.2966461,0.00488555544875,0.0279421182658,8.44777713924e-7,0.145657652472,2.89816657072,0.0016255565764,0.000498876472951,6948.945891,0.000552466782517,0.152547458364,0.0000219526041441,0,0.0000219526041441,0,11.2959046922,2.84105,18.9007893428,0,2.89383584271,0.0000312667833575,0,0.1431298397,0.14315793947,2.89816657072,1.21210765378,0.38766624629,3.46666561683,0,0,1,40025.2425371,0.429221072063,0.000178944609974,2398.62531833,3.05161485283
4.5,1.1804832494,33.9020120631,19.2625756093,23.0161132037,2.00132576992,40.0269913158,56.0371215578,3.00210083541,1.00068668083,3.00210083541,6.00420167083,36.0247477052,18.8980319056,18.8998694616,0.143283821581,0.143227991527,0.143227991527,0,0.00001,0.00001,3.4296974325,0,0,0.172181290177,33080.2491928,0.00488013173496,0.0279594680904,8.45201253697e-7,0.145856614454,2.9018473674,0.00162587516483,0.000499395763725,6946.94608759,0.000582298382852,0.152686574121,0.0000219789490513,0,0.0000219789490513,0,11.2948671152,2.8417,18.9017099528,0,2.8975398396,0.000034296974325,0,0.143115772896,0.143143895187,2.9018473674,1.33963800333,0.390599471147,3.46927544696,0,0,1,40027.1952804,0.430058330028,0.000179301688662,2398.51801306,3.05224202112
4.75,1.24495250936,33.8559665178,20.2484611597,23.0172711156,2.00142104116,40.0289309404,56.0397891524,3.00225180368,1.00073602644,3.00225180368,6.00450360735,36.0265261016,18.8989503139,18.9007893428,0.143283821581,0.14321400407,0.14321400407,0,0.00001,0.00001,3.76459835909,0,0,0.181831449859,33083.9451074,0.00487472568135,0.0279765586229,8.45623414381e-7,0.146054928595,2.90551617901,0.00162619271589,0.000499913363633,6945.20445475,0.000612032848379,0.152830669857,0.0000220052081767,0,0.0000220052081767,0,11.2942408947,2.84235,18.902631288,0,2.90124197672,0.0000376459835909,0,0.143101694867,0.1431298397,2.90551617901,1.48270746008,0.393855417935,3.47200052009,0,0,1,40029.1495622,0.430892685157,0.000179657604664,2398.41049848,3.05286714728
5,1.30721781819,33.8112189992,21.2336882747,23.0184299367,2.00151638719,40.030872088,56.0424588414,3.00240289047,1.0007854108,3.00240289047,6.00480578095,36.0283058943,18.8998694616,18.9017099528,0.143283821581,0.143200005002,0.143200005002,0,0.00001,0.00001,4.13526581261,0,0,0.191184656679,33087.3854475,0.00486932355222,0.0279934259082,8.460452686e-7,0.146253098772,2.90918232728,0.00162651003644,0.000500430587794,6943.71993084,0.000641745728394,0.152980206246,0.0000220314482395,0,0.0000220314482395,0,11.2940301577,2.843,18.9035533467,0,2.90494370054,0.0000413526581261,0,0.143087605684,0.143115772897,2.90918232728,1.64370303961,0.397484252305,3.47484984646,0,0,1,40031.1053783,0.431726306545,0.000180013262291,2398.30277531,3.05349181964
5.25,1.36735323065,33.7677360459,22.2189485053,23.0195896652,2.0016118079,40.0328147557,56.0451306212,3.00255409559,1.00083483384,3.00255409559,6.00510819119,36.0300870808,18.9007893428,18.902631288,0.143269882461,0.143185994468,0.143185994468,0,0.0000103916853152,0.0000103916853152,4.54618123435,0,0,0.200250615729,33090.570628,0.00486392142309,0.0280100801119,8.46467122819e-7,0.146451268948,2.91284847554,0.00162682735698,0.000500947811955,6942.49209818,0.000671458608409,0.153135326743,0.0000220576883023,0,0.0000220576883023,0,11.2942360709,2.84365,18.9044761274,0,2.90864542437,0.0000472424847732,0,0.143073505401,0.143101694867,2.91284847554,1.82531829398,0.401505835312,3.4778262261,0,0,1,40033.0627261,0.432559813718,0.000180368919919,2398.19484373,3.054116492
5.5,1.42543053015,33.7255123471,23.2042192727,23.0207503009,2.00170730324,40.0347589429,56.0478044907,3.00270541898,1.00088429552,3.00270541898,6.00541083796,36.0318696605,18.9017099528,18.9035533467,0.143255930924,0.143171972591,0.143171972591,0,0.000256346959504,0.000256346959504,5.00249899722,0,0,0.209038587758,33093.500885,0.00485851929395,0.0280265211111,8.46888977037e-7,0.146649439125,2.91651462381,0.00162714467752,0.000501465036116,6941.52071993,0.000701171488424,0.153296046324,0.0000220839283651,0,0.0000220839283651,0,11.2948584933,2.8443,18.90539963,0,2.9123471482,0.00128237540786,0,0.143059394047,0.143087605684,2.91651462381,2.02686285361,0.405170066948,3.48092993851,0,0,1,40035.0216049,0.433393206459,0.000180724577546,2398.08670378,3.05474116436
5.75,1.48151918482,33.6845425756,24.1894780306,23.0219118445,2.00180287328,40.0367046509,56.0504804519,3.00285686074,1.00093379591,3.00285686074,6.00571372148,36.0336536346,18.902631288,18.9044761274,0.143241967208,0.14315793947,0.14315793947,0,0.000529891764226,0.000529891764226,5.50889411677,0,0,0.217557550425,33096.1764613,0.00485311716482,0.0280427487888,8.47310831256e-7,0.146847609301,2.92018077207,0.00162746199807,0.000501982260276,6940.80555478,0.000730884368439,0.153462379841,0.0000221101684279,0,0.0000221101684279,0,11.2958972764,2.84491841578,18.9063238549,0,2.91604887203,0.00291911762247,0,0.143045271642,0.143073505401,2.92018077207,2.25493411687,0.40932609505,3.48416126053,0,0,1,40036.9820161,0.43422648455,0.000181080235173,2397.97835548,3.05536583672
6,1.53568641836,33.644821388,25.1747022669,23.0230742982,2.0018985182,40.0386518834,56.0531585097,3.00300842115,1.00098333507,3.00300842115,6.00601684231,36.0354390065,18.9035533467,18.90539963,0.143227991527,0.143143895187,0.143143895187,0,0.000839543826622,0.000839543826622,6.07189786659,0,0,0.225816206421,33098.5976061,0.00484771503569,0.0280587630341,8.47732685475e-7,0.147045779478,2.92384692034,0.00162777931861,0.000502499484437,6940.34635706,0.000760597248454,0.153656402327,0.0000221395870497,0,0.0000221395870497,0,11.297352264,2.84545260695,18.907248804,0,2.91975059586,0.00509762436977,0,0.143031138192,0.143059394047,2.92384692034,2.51847733554,0.414775971349,3.48752046624,0,0,1,40038.9439632,0.435059647775,0.000181435892801,2397.86979885,3.05599050908
6.25,1.58799727869,33.6063433982,26.1598695039,23.024237662,2.00199423801,40.0406006405,56.0558386643,3.00316010023,1.00103291302,3.00316010023,6.00632020046,36.0372257762,18.9044761274,18.9063238549,0.14321400407,0.1431298397,0.1431298397,0,0.00433240366435,0.00433240366435,6.70024279438,0,0,0.233822991355,33100.7645752,0.00484231290656,0.0280745637418,8.48154539694e-7,0.147243949654,2.92751306861,0.00162809663915,0.000503016708598,6940.14287112,0.000790310128469,0.15386294961,0.000022169997429,0,0.000022169997429,0,11.2992232837,2.84598679813,18.9081744772,0,2.92345231969,0.0290281564344,0,0.143016993685,0.143045271642,2.92751306861,2.82010121664,0.420895376957,3.49100782423,0,0,1,40040.9074464,0.435892695916,0.000181791550428,2397.76103394,3.05661518144
6.5,1.63851470483,33.5691032229,27.1449572997,23.0254019394,2.00209003299,40.0425509281,56.0585209237,3.00331189843,1.00108252991,3.00331189843,6.00662379686,36.0390139492,18.90539963,18.907248804,0.143200005002,0.143115772896,0.143115772896,0,0.015512486615,0.015512486615,7.39801105943,0,0,0.241586081455,33102.6776308,0.00483691077743,0.0280901508128,8.48576393913e-7,0.147442119831,2.93117921687,0.0016284139597,0.000503533932759,6940.19484078,0.000820023008484,0.154075155734,0.0000222004078083,0,0.0000222004078083,0,11.3015101617,2.8465209893,18.9091008774,0,2.92715404351,0.114761547537,0,0.143002838096,0.143031138192,2.93117921687,3.1612669788,0.427313091776,3.49462360229,0,0,1,40042.8724716,0.436725628757,0.000182147208055,2397.65206077,3.0572398538
6.75,1.68729959166,33.5330954711,28.1299432489,23.0265671362,2.00218590361,40.0445027556,56.0612053011,3.00346381649,1.00113218597,3.00346381649,6.00692763298,36.0408035341,18.9063238549,18.9081744772,0.143185994469,0.143101694867,0.143101694867,0,0.0490240463588,0.0490240463588,8.15963741725,0,0,0.249113401042,33104.3370413,0.0048315086483,0.0281055241536,8.48998248132e-7,0.147640290008,2.93484536514,0.00162873128024,0.00050405115692,6940.50200715,0.000849735888499,0.154293038251,0.0000222308181876,0,0.0000222308181876,0,11.3042127196,2.84705518048,18.9100280092,0,2.93085576734,0.400018443014,0,0.142988671424,0.143016993685,2.93484536514,3.52705261361,0.432256046838,3.49836806631,0,0,1,40044.8390484,0.437558446081,0.000182502865683,2397.54287936,3.05786452616
