Years,Available Area for Marsh Encroachment,Conversion to High Marsh,Conversion to Low Marsh,Days Recreating[Birding],Days Recreating[Hiking],Days Recreating[Marsh Walking],Days Recreating[Marsh Driving],Days Recreating[Boat Fishing],Days Recreating[Land Fishing],Days Recreating[Duck Hunting],Days Recreating[Pleasure Boating],Days Recreating[Marsh Work],Delay in Action Erosion Control,="Delay in Action: Flood Control",Delay in Erosion Control Implementation,Delay in Flood Control Implementation High Marsh,Delay in Flood Control Implementation Low Marsh,Erosion Control Rate,Fiddler Crab Carrying Capacity,Fiddler Crab Mortality Rate,Fiddler Crabs,="Flood Mitigation Rate: High Marsh",="Flood Mitigation Rate: Low Marsh",Forest Converted to High Marsh,High Marsh Area,High Marsh Conversion Rate,High Marsh Erosion,High Marsh Erosion Rate,High Marsh to Upland Conversion Rate,High Sea Level Rise,="Horizontal Growth Rate: Low Marsh",="Inundation Loss Rate: Low Marsh",Low Marsh Area,Low Marsh Conversion Rate,Low Marsh Erosion,Low Marsh Erosion Rate,="Low Marsh Erosion Rate: Fiddler Crabs",="Low Marsh Erosion Rate: SLR",="Low Marsh Growth: Fiddlers",Low Marsh Horizontal Growth,Low Sea Level Rise,Mean Days Recreating,Mean Mitigation Rate,Medium Sea Level Rise,Mortality,Mortality Rate mediated by Low Marsh Area,Policy Demand Flood Control,="Policy Demand: Erosion Control",Rate of Sea Level Rise,Recruitment,Recruitment Rate,Salt Water Inundation in Low Marsh,Scenario 1,Scenario 2,Scenario 3,Total Marsh Area,Upland Border Decay,Upland Border Decay Rate,Upland Border Extent,="Vertical Growth Rate: Low Marsh"
1,0,34.8751820038,0.695379706446,23,2,40,56,3,1,3,6,36,18.8888888889,18.8888888889,0.143283821581,0.143283821581,0.143283821581,0,0.00001,0.00001,1,0,0,0,33000,0.00498216885769,0.0276286935492,8.37233137854e-7,0.142113513514,2.84636380803,0.00161988151409,0.00048962627027,7000,0.0000210721123166,0.150383229152,0.0000214833184503,0,0.0000214833184503,0,11.3391705987,2.8326,18.8888888889,0,2.84507057027,0.00001,0,0.143283821581,0.143283821581,2.8326,0.34569,0.34569,3.42738389189,1,0,0,40000,0.414201395918,0.000172583914966,2400,3.04044301213
1.25,0.10355034898,34.8355785996,0.86944952632,23.0011455654,2.00009425538,40.0019189429,56.0026391506,3.00014935853,1.00004881945,3.00014935853,6.00029871705,36.0017594338,18.8888888889,18.8888888889,0.143283821581,0.143283821581,0.143283821581,0,0.00001,0.00001,1.08642,0,0,0.0147195421745,33008.5380434,0.00498121107211,0.0276383107168,8.37307931676e-7,0.142148648649,2.85045476004,0.00161993777433,0.000489717972973,6993.3954003,0.0000263401403957,0.150273875844,0.0000214879707556,0,0.0000214879707556,0,11.3288653797,2.83325,18.8898004002,0,2.84883821283,0.0000108642,0,0.143283821581,0.143283821581,2.83325,0.378755797073,0.3486274158,3.42479141963,1,0,0,40001.9334437,0.414334855815,0.000172646972279,2399.89644965,3.04055376516
1.5,0.20345417739,34.796244417,1.04360773128,23.0022921834,2.00018859737,40.003839649,56.0052807264,3.0002988543,1.00009768377,3.0002988543,6.00059770859,36.0035204843,18.8888888889,18.8888888889,0.143283821581,0.143283821581,0.143283821581,0,0.00001,0.00001,1.18110623322,0,0,0.0289278847679,33017.026346,0.00498025328653,0.0276478875095,8.37382725499e-7,0.142183783784,2.85454571205,0.00161999403456,0.000489809675676,6986.84231805,0.0000316081684748,0.150165568327,0.0000214926230608,0,0.0000214926230608,0,11.3186428756,2.8339,18.8907127491,0,2.8526058554,0.0000118110623322,0,0.143283821581,0.143283821581,2.8339,0.415567268536,0.351845800867,3.4222229698,1,0,0,40003.868664,0.414468296889,0.000172710029591,2399.79286594,3.04066451819
1.75,0.29983928042,34.7571791545,1.21785353218,23.003439787,2.00028302045,40.005762006,56.0079245725,3.00044847855,1.00014659008,3.00044847855,6.00089695711,36.0052830483,18.8888888889,18.8898004002,0.143283821581,0.143283821581,0.143283821581,0,0.00001,0.00001,1.28499509759,0,0,0.0426428183107,33025.4648251,0.00497929550096,0.0276574238469,8.37457519321e-7,0.142218918919,2.85863666405,0.00162005029479,0.000489901378378,6980.34072246,0.0000368761965539,0.15005830666,0.0000214972753661,0,0.0000214972753661,0,11.3085030452,2.83455,18.8916258821,0,2.85637349797,0.0000128499509759,0,0.143269871646,0.143283821581,2.83455,0.456657681422,0.355376983367,3.41967854148,1,0,0,40005.8055476,0.414601719137,0.000172773086904,2399.68924886,3.04077527122
2,0.392829005626,34.7183825103,1.39218613831,23.0045883114,2.00037751929,40.0076859056,56.0105705402,3.00059822288,1.00019553563,3.00059822288,6.00119644576,36.0070470268,18.8888888889,18.8907127491,0.143283821581,0.143283821581,0.143283821581,0,0.00001,0.00001,1.39915630545,0,0,0.0558815186004,33033.8534029,0.00497833771538,0.0276669196526,8.37532313143e-7,0.142254054054,2.86272761606,0.00162010655502,0.000489993081081,6973.8905826,0.0000421442246331,0.149952090895,0.0000215019276713,0,0.0000215019276713,0,11.2984458469,2.8352,18.8925397478,0,2.86014114053,0.0000139915630545,0,0.143255908893,0.143283821581,2.8352,0.502657148508,0.359257322822,3.41715813369,1,0,0,40007.7439855,0.414735122552,0.000172836144217,2399.58559843,3.04088602425
2.25,0.482542406614,34.6798541819,1.56660475754,23.0057376948,2.00047208881,40.009611244,56.0132184867,3.00074807919,1.00024451779,3.00074807919,6.00149615839,36.0088123245,18.8898004002,18.8916258821,0.143283821581,0.143283821581,0.143283821581,0,0.00001,0.00001,1.52481709469,0,0,0.0686605677865,33042.1920056,0.0049773799298,0.0276763748537,8.37607106966e-7,0.142289189189,2.86681856807,0.00162016281526,0.000490084783784,6967.49186742,0.0000474122527122,0.149846921083,0.0000215065799766,0,0.0000215065799766,0,11.2884712392,2.83585,18.893454297,0,2.8639087831,0.0000152481709469,0,0.143241934139,0.143269871646,2.83585,0.5543145216,0.363528533049,3.41466174536,1,0,0,40009.6838731,0.414868507128,0.00017289920153,2399.48191465,3.04099677728
2.5,0.56909439145,34.6415938664,1.7411085964,23.0068878775,2.0005667241,40.0115379214,56.0158682748,3.00089803973,1.00029353402,3.00089803973,6.00179607946,36.0105788499,18.8907127491,18.8925397478,0.143283821581,0.143283821581,0.143283821581,0,0.00001,0.00001,1.66339191305,0,0,0.0809959747398,33050.480564,0.00497642214422,0.0276857893809,8.37681900788e-7,0.142324324324,2.87090952008,0.00162021907549,0.000490176486486,6961.1445457,0.0000526802807913,0.14974279727,0.0000215112322818,0,0.0000215112322818,0,11.2785791802,2.8365,18.8943694823,0,2.86767642567,0.0000166339191305,0,0.143227948171,0.143255908893,2.8365,0.612525260888,0.368238691124,3.41218937534,1,0,0,40011.6251098,0.415001872861,0.000172962258842,2399.37819753,3.04110753031
2.75,0.65259586598,34.6036012601,1.91569686022,23.0080388024,2.00066142045,40.0134658421,56.0185197727,3.00104809703,1.00034258188,3.00104809703,6.00209619405,36.0123465151,18.8916258821,18.893454297,0.143283821581,0.143283821581,0.143283821581,0,0.00001,0.00001,1.81651906979,0,0,0.0929031947264,33058.7190129,0.00497546435865,0.0276951631683,8.37756694611e-7,0.142359459459,2.87500047208,0.00162027533572,0.000490268189189,6954.84858614,0.0000579483088705,0.1496397195,0.0000215158845871,0,0.0000215158845871,0,11.2687696278,2.83715,18.8952852581,0,2.87144406823,0.0000181651906979,0,0.143213951743,0.143241934139,2.83715,0.678367208689,0.373443483182,3.40974102241,1,0,0,40013.5675991,0.415135219745,0.000173025316155,2399.27444706,3.04121828334
3,0.733153872235,34.565876059,2.09036875319,23.0091904146,2.00075617335,40.0153949139,56.0211728539,3.00119824393,1.00039165902,3.00119824393,6.00239648786,36.0141152359,18.8925397478,18.8943694823,0.143283821581,0.143283821581,0.143283821581,0,0.00001,0.00001,1.98610633066,0,0,0.104397148412,33066.907291,0.00497450657307,0.0277044961535,8.37831488433e-7,0.142394594595,2.87909142409,0.00162033159595,0.000490359891892,6948.60395726,0.0000632163369496,0.149537687812,0.0000215205368923,0,0.0000215205368923,0,11.2590425397,2.8378,18.8962015807,0,2.8752117108,0.0000198610633066,0,0.143199945581,0.143227948171,2.8378,0.745589450073,0.375402584726,3.40731668528,1,0,0,40015.5112483,0.415268547774,0.000173088373468,2399.17066325,3.04132903638
3.25,0.810871722075,34.5284179586,2.26512347848,23.0103426613,2.00085097846,40.0173250487,56.023827397,3.00134847357,1.0004407632,3.00134847357,6.00269694713,36.0158849313,18.893454297,18.8952852581,0.143283821581,0.143283821581,0.143283821581,0,0.00001,0.00001,2.17249872792,0,0,0.115492240221,33075.045341,0.00497354878749,0.0277137882771,8.37906282255e-7,0.14242972973,2.8831823761,0.00162038785618,0.000490451594595,6942.41062748,0.0000684843650287,0.149436702244,0.0000215251891976,0,0.0000215251891976,0,11.2493978734,2.83845,18.8971184083,0,2.87897935337,0.0000217249872792,0,0.143185930382,0.143213951743,2.83845,0.820149576771,0.377514410587,3.40491636258,1,0,0,40017.4559685,0.415401856943,0.000173151430781,2399.06684612,3.04143978941
