Years,Available Area for Marsh Encroachment,Conversion to High Marsh,Conversion to Low Marsh,Days Recreating[Birding],Days Recreating[Hiking],Days Recreating[Marsh Walking],Days Recreating[Marsh Driving],Days Recreating[Boat Fishing],Days Recreating[Land Fishing],Days Recreating[Duck Hunting],Days Recreating[Pleasure Boating],Days Recreating[Marsh Work],Delay in Action Erosion Control,="Delay in Action: Flood Control",Delay in Erosion Control Implementation,Delay in Flood Control Implementation High Marsh,Delay in Flood Control Implementation Low Marsh,Erosion Control Rate,Fiddler Crab Carrying Capacity,Fiddler Crab Mortality Rate,Fiddler Crabs,="Flood Mitigation Rate: High Marsh",="Flood Mitigation Rate: Low Marsh",Forest Converted to High Marsh,High Marsh Area,High Marsh Conversion Rate,High Marsh Erosion,High Marsh Erosion Rate,High Marsh to Upland Conversion Rate,High Sea Level Rise,="Horizontal Growth Rate: Low Marsh",="Inundation Loss Rate: Low Marsh",Low Marsh Area,Low Marsh Conversion Rate,Low Marsh Erosion,Low Marsh Erosion Rate,="Low Marsh Erosion Rate: Fiddler Crabs",="Low Marsh Erosion Rate: SLR",="Low Marsh Growth: Fiddlers",Low Marsh Horizontal Growth,Low Sea Level Rise,Mean Days Recreating,Mean Mitigation Rate,Medium Sea Level Rise,Mortality,Mortality Rate mediated by Low Marsh Area,Policy Demand Flood Control,="Policy Demand: Erosion Control",Rate of Sea Level Rise,Recruitment,Recruitment Rate,Salt Water Inundation in Low Marsh,Scenario 1,Scenario 2,Scenario 3,Total Marsh Area,Upland Border Decay,Upland Border Decay Rate,Upland Border Extent,="Vertical Growth Rate: Low Marsh"
1,0,34.7465528863,4.03068027995,23,2,40,56,3,1,3,6,36,18.8888888889,18.8888888889,0.143283821581,0.143283821581,0.143283821581,0,0.00001,0.00001,1,0,0,0,33000,0.00496379326947,0.0276760471082,8.38668094189e-7,0.142787598393,2.84636380803,0.00162096089437,0.000491385631805,7000,0.000122141826665,0.151008026531,0.0000215725752188,0,0.0000215725752188,0,11.3467262606,2.8326,18.8888888889,0,2.84507057027,0.00001,0,0.143283821581,0.143283821581,2.84507057027,0.34569,0.34569,3.43969942264,0,1,0,40000,0.417104881393,0.00017379370058,2400,3.0425678636
1.25,0.104276220348,34.6792309824,5.03952169756,23.0011447608,2.00009418918,40.001917595,56.002637297,3.00014925362,1.00004878516,3.00014925362,6.00029850724,36.001758198,18.8888888889,18.8888888889,0.143283821581,0.143283821581,0.143283821581,0,0.00001,0.00001,1.08642,0,0,0.0149105875879,33007.6720491,0.00495824158683,0.027696791323,8.39101627095e-7,0.142991254748,2.85045476004,0.00162128699967,0.000491917174892,6994.26003655,0.000152677283332,0.151072811433,0.0000215995417161,0,0.0000215995417161,0,11.3397028696,2.83325,18.88979976,0,2.84883821283,0.0000108642,0,0.143283821581,0.143283821581,2.84883821283,0.378755797073,0.3486274158,3.44059663764,0,1,0,40001.9320857,0.417963929648,0.000174159204297,2399.89572378,3.0432098295
1.5,0.205039555863,34.6132953999,6.04878304451,23.0022905443,2.0001884625,40.0038369033,56.0052769501,3.00029864058,1.00009761391,3.00029864058,6.00059728116,36.0035179667,18.8888888889,18.8888888889,0.143283821581,0.143283821581,0.143283821581,0,0.00001,0.00001,1.18110623322,0,0,0.0293606209744,33015.0787799,0.0049526899042,0.0277173194459,8.39535160001e-7,0.143194911103,2.85454571205,0.00162161310497,0.000492448717978,6988.78711759,0.000183212739998,0.151143062001,0.0000216265082135,0,0.0000216265082135,0,11.3331087778,2.8339,18.8907114448,0,2.8526058554,0.0000118110623322,0,0.143283821581,0.143283821581,2.8526058554,0.415567268536,0.351845800867,3.44161925628,0,1,0,40003.8658975,0.418822864196,0.000174524708013,2399.7912328,3.0438517954
1.75,0.302405116669,34.548740865,7.05844004299,23.0034373265,2.000282818,40.0057578845,56.0079189041,3.00044815776,1.00014648522,3.00044815776,6.00089631552,36.0052792694,18.8888888889,18.88979976,0.143283821581,0.143283821581,0.143283821581,0,0.00001,0.00001,1.28499509759,0,0,0.0433644605222,33022.2203188,0.00494713822157,0.0277376312381,8.39968692907e-7,0.143398567458,2.85863666405,0.00162193921028,0.000492980261064,6983.58107611,0.000213748196664,0.151218796223,0.0000216534747108,0,0.0000216534747108,0,11.3269439755,2.83455,18.8916239243,0,2.85637349797,0.0000128499509759,0,0.143269881444,0.143283821581,2.85637349797,0.456657681422,0.355376983367,3.44276762207,0,1,0,40005.8013949,0.419681684805,0.000174890211729,2399.68652708,3.0444937613
2,0.39648442274,34.4855620839,8.06846843269,23.0045850856,2.00037725388,40.007680502,56.0105631085,3.00059780229,1.00019539816,3.00059780229,6.00119560459,36.0070420723,18.8888888889,18.8907114448,0.143283821581,0.143283821581,0.143283821581,0,0.00001,0.00001,1.39915630545,0,0,0.0569360448125,33029.0968007,0.00494158653893,0.0277577264679,8.40402225813e-7,0.143602223813,2.86272761606,0.00162226531558,0.000493511804151,6978.6417403,0.00024428365333,0.151300031963,0.0000216804412082,0,0.0000216804412082,0,11.3212084451,2.8352,18.8925371811,0,2.86014114053,0.0000139915630545,0,0.143255928854,0.143283821581,2.86014114053,0.502657148508,0.359257322822,3.44404207578,0,1,0,40007.738541,0.420540391246,0.000175255715446,2399.58160666,3.0451357272
2.25,0.487385509348,34.4237537423,9.07884397201,23.0057338016,2.00047176848,40.0096047224,56.0132095175,3.00074757159,1.00024435188,3.00074757159,6.00149514319,36.008806345,18.88979976,18.8916239243,0.143283821581,0.143283821581,0.143283821581,0,0.00001,0.00001,1.52481709469,0,0,0.0700889021527,33035.7083687,0.0049360348563,0.0277776049111,8.40835758719e-7,0.143805880168,2.86681856807,0.00162259142088,0.000494043347237,6973.96893347,0.000274819109997,0.151386786964,0.0000217074077055,0,0.0000217074077055,0,11.3159021609,2.83585,18.8934511992,0,2.8639087831,0.0000152481709469,0,0.143241964101,0.143269881445,2.8639087831,0.5543145216,0.363528533049,3.44544295542,0,1,0,40009.6773022,0.421398983286,0.000175621219162,2399.47647156,3.0457776931
2.5,0.575213029631,34.3633105065,10.0895424393,23.0068834565,2.00056636035,40.0115305158,56.0158580897,3.00089746332,1.00029334562,3.00089746332,6.00179492664,36.0105720598,18.8907114448,18.8925371811,0.143283821581,0.143283821581,0.143283821581,0,0.00001,0.00001,1.66339191305,0,0,0.0828361617989,33042.055174,0.00493048317367,0.0277972663501,8.41269291625e-7,0.144009536522,2.87090952008,0.00162291752618,0.000494574890324,6969.56247413,0.000305354566663,0.151479078843,0.0000217343742029,0,0.0000217343742029,0,11.3110250891,2.8365,18.8943659646,0,2.86767642567,0.0000166339191305,0,0.143227987453,0.143255928854,2.86767642567,0.612525260888,0.368238691124,3.44697059625,0,1,0,40011.6176481,0.422257460697,0.000175986722878,2399.37112182,3.046419659
2.75,0.660068354356,34.3042270228,11.1005396341,23.0080340344,2.00066102815,40.0134578551,56.0185087881,3.00104747537,1.00034237868,3.00104747537,6.00209495074,36.012339192,18.8916239243,18.8934511992,0.143283821581,0.143283821581,0.143283821581,0,0.00001,0.00001,1.81651906979,0,0,0.095190564899,33048.1373757,0.00492493149103,0.0278167105747,8.41702824532e-7,0.144213192877,2.87500047208,0.00162324363148,0.00049510643341,6965.42217597,0.000335890023329,0.151576925092,0.0000217613407002,0,0.0000217613407002,0,11.3065771877,2.83715,18.8952814642,0,2.87144406823,0.0000181651906979,0,0.143213999152,0.143241964101,2.87144406823,0.678367208689,0.373443483182,3.44862533074,0,1,0,40013.5595517,0.423115823249,0.000176352226595,2399.26555745,3.0470616249
3,0.742049668943,34.2464979179,12.1118113783,23.0091855209,2.00075577071,40.0153867165,56.0211615798,3.00119760589,1.00039145047,3.00119760589,6.00239521178,36.0141077199,18.8925371811,18.8943659646,0.143283821581,0.143283821581,0.143283821581,0,0.00001,0.00001,1.98610633066,0,0,0.107164475163,33053.955141,0.0049193798084,0.0278359373814,8.42136357438e-7,0.144416849232,2.87909142409,0.00162356973678,0.000495637976497,6961.54784785,0.000366425479996,0.15168034308,0.0000217883071976,0,0.0000217883071976,0,11.3025584069,2.8378,18.8961976869,0,2.8752117108,0.0000198610633066,0,0.143199999417,0.143227987453,2.8752117108,0.745589450073,0.375402584726,3.45040748859,0,1,0,40015.5029889,0.423974070709,0.000176717730311,2399.1597785,3.0477035908
3.25,0.82125206783,34.1901177996,13.1233335172,23.0103379037,2.00085058701,40.0173170791,56.0238164363,3.00134785326,1.00044056045,3.00134785326,6.00269570653,36.0158776242,18.8934511992,18.8952814642,0.143283821581,0.143283821581,0.143283821581,0,0.00001,0.00001,2.17249872792,0,0,0.118769889264,33059.5086448,0.00491382812577,0.0278549465737,8.42569890344e-7,0.144620505587,2.8831823761,0.00162389584209,0.000496169519583,6957.93929386,0.000396960936662,0.151789350048,0.0000218152736949,0,0.0000218152736949,0,11.2989686888,2.83845,18.8971146226,0,2.87897935337,0.0000217249872792,0,0.143185988444,0.143213999152,2.87897935337,0.820149576771,0.377514410587,3.45231739672,0,1,0,40017.4479387,0.424832202849,0.000177083234027,2399.05378498,3.0483455567
