Years,Available Area for Marsh Encroachment,Birth Rate,Births,Carbon Dioxide Released as a function of FF Consumption,Carbon in the Atmosphere,Carbon Released into the Atmosphere,Carbon Sequestration,Conversion to High Marsh,Conversion to Low Marsh,Days Recreating[Birding],Days Recreating[Hiking],Days Recreating[Marsh Walking],Days Recreating[Marsh Driving],Days Recreating[Boat Fishing],Days Recreating[Land Fishing],Days Recreating[Duck Hunting],Days Recreating[Pleasure Boating],Days Recreating[Marsh Work],Deaths,Delay in Action Erosion Control,Delay in Action: Flood Control,Delay in Erosion Control Implementation,Delay in Flood Control Implementation High Marsh,Delay in Flood Control Implementation Low Marsh,Erosion Control Rate,Fiddler Crab Carrying Capacity,Fiddler Crab Mortality Rate,Fiddler Crabs,Flood Mitigation Rate: High Marsh,Flood Mitigation Rate: Low Marsh,Forest Converted to High Marsh,Global Fossil Fuel Consumption,High Marsh Area,High Marsh Conversion Rate,High Marsh Erosion,High Marsh Erosion Rate,High Marsh to Upland Conversion Rate,High Sea Level Rise,Horizontal Growth Rate: Low Marsh,Human Mortality Rate,Human Population,Inundation Loss Rate: Low Marsh,Low Marsh Area,Low Marsh Conversion Rate,Low Marsh Erosion,Low Marsh Erosion Rate,Low Marsh Erosion Rate: Fiddler Crabs,Low Marsh Erosion Rate: SLR,Low Marsh Growth: Fiddlers,Low Marsh Horizontal Growth,Low Sea Level Rise,Mean Days Recreating,Medium Sea Level Rise,Mortality,Mortality Rate mediated by Low Marsh Area,Policy Demand Flood Control,Policy Demand: Erosion Control,Rate of Sea Level Rise,Recruitment,Recruitment Rate,Salt Water Inundation in Low Marsh,Scenario 1,Scenario 2,Scenario 3,Sequestration Rate,Total Marsh Area,Upland Border Decay,Upland Border Decay Rate,Upland Border Extent,Vertical Growth Rate: Low Marsh
1,0,0.018,0.135,40.02338144,3196,40.02338144,22.01285979,34.875182,0.695379706,23,2,40,56,3,1,3,6,36,0.06345,18.88888889,18.88888889,0.143283822,0.143283822,0.143283822,0.004105142,0.00001,0.00001,1,0,0.001956977,0,137000,33000,0.004982169,0.027628694,8.37E-07,0.142113514,2.846363808,0.001619882,0.00846,7.5,0.000202768,7000,2.10721E-05,0,-0.004102904,0,2.23736E-06,0,11.3391706,2.8326,18.88888889,2.84507057,0.00001,0,0.143283822,0.143283822,2.8326,0.34569,0.34569,0,1,0,0,0.55,40000,0.414201396,0.000172584,2400,3.040443012
1.25,0.103550349,0.018,0.135321975,40.17854275,3200.50263,40.17854275,22.09819851,34.840034,0.869449526,23.00167552,2.000137859,40.00280668,56.00386006,3.000218454,1.000071404,3.000218454,6.000436908,36.00257338,0.064115027,18.88888889,18.88888889,0.143283822,0.143283822,0.143283822,0.004105142,0.00001,0.00001,1.08642,0,0.001956977,0.014719542,138586.025,33008.53804,0.004981211,0.027638311,8.37E-07,0.142148649,2.85045476,0.001619938,0.00852833,7.5178875,0.0002028,6994.289842,2.63401E-05,0,-0.004102904,0,2.23778E-06,0,11.33031432,2.83325,18.89022208,2.848838213,1.08642E-05,0,0.143283822,0.143283822,2.83325,0.378755797,0.348627416,0,1,0,0,0.55,40002.82789,0.414334856,0.000172647,2399.89645,3.040553765
1.5,0.203454177,0.018,0.135642406,40.33296013,3205.022716,40.33296013,22.18312807,34.8051464,1.043607766,23.00335191,2.00027579,40.00561481,56.00772212,3.000437021,1.000142845,3.000437021,6.000874043,36.00514808,0.064779293,18.88888889,18.88888889,0.143283822,0.143283822,0.143283822,0.004105142,0.00001,0.00001,1.181106233,0,0.001956977,0.028927885,140164.4457,33017.02746,0.004980253,0.027647888,8.37E-07,0.142183784,2.854545712,0.001619994,0.008596333,7.535689237,0.000202832,6988.629775,3.16082E-05,0,-0.004102904,0,2.23821E-06,0,11.32153854,2.8339,18.89155596,2.852605855,1.18111E-05,0,0.143283822,0.143283822,2.8339,0.415567269,0.351845801,0,1,0,0,0.55,40005.65723,0.414468297,0.00017271,2399.792866,3.040664518
1.75,0.29983928,0.018,0.13596129,40.48663188,3209.560174,40.48663188,22.26764753,34.77051895,1.217853655,23.0050291,2.000413787,40.00842428,56.01158604,3.000655693,1.00021432,3.000655693,6.001311387,36.00772402,0.065442755,18.88888889,18.89022208,0.143283822,0.143283822,0.143283822,0.004105142,0.00001,0.00001,1.284995098,0,0.001956977,0.042642818,141735.2447,33025.46816,0.004979296,0.027657427,8.37E-07,0.142218919,2.858636664,0.00162005,0.008664007,7.553405015,0.000202863,6983.019775,3.68762E-05,0,-0.004102903,0,2.23863E-06,0,11.31284324,2.83455,18.89289048,2.856373498,1.285E-05,0,0.143263418,0.143283822,2.83455,0.456657681,0.355376983,0,1,0,0,0.55,40008.48794,0.414601719,0.000172773,2399.689249,3.040775271
2,0.392829006,0.018,0.136278624,40.63955638,3214.114921,40.63955638,22.35175601,34.73615137,1.39218642,23.00670704,2.000551845,40.011235,56.01545166,3.000874462,1.000285827,3.000874462,6.001748924,36.01030111,0.066105371,18.88888889,18.89155596,0.143283822,0.143283822,0.143283822,0.004105142,0.00001,0.00001,1.399156305,0,0.001956977,0.055881519,143298.4055,33033.86008,0.004978338,0.027666925,8.38E-07,0.142254054,2.862727616,0.001620107,0.008731352,7.571034649,0.000202895,6977.459819,4.21442E-05,0,-0.004102903,0,2.23905E-06,0,11.30422839,2.8352,18.89422559,2.860141141,1.39916E-05,0,0.143243004,0.143283822,2.8352,0.502657149,0.359257323,0,1,0,0,0.55,40011.3199,0.414735123,0.000172836,2399.585598,3.040886024
2.25,0.482542407,0.018,0.136594403,40.79173212,3218.686871,40.79173212,22.43545267,34.70204343,1.566605285,23.00838566,2.000689959,40.01404686,56.01931885,3.00109332,1.000357363,3.00109332,6.00218664,36.01287924,0.0667671,18.89022208,18.89289048,0.143283822,0.143283822,0.143283822,0.004105142,0.00001,0.00001,1.524817095,0,0.001956977,0.068660568,144853.9126,33042.20312,0.00497738,0.027676384,8.38E-07,0.142289189,2.866818568,0.001620163,0.008798368,7.588577962,0.000202926,6971.949885,4.74123E-05,0,-0.004102902,0,2.23947E-06,0,11.29569395,2.83585,18.89556125,2.863908783,1.52482E-05,0,0.14322258,0.143263418,2.83585,0.554314522,0.363528533,0,1,0,0,0.55,40014.15301,0.414868507,0.000172899,2399.481915,3.040996777
2.5,0.569094391,0.018,0.136908626,40.94315764,3223.275941,40.94315764,22.5187367,34.66819485,1.741109474,23.0100649,2.000828125,40.01685977,56.0231875,3.001312259,1.000428926,3.001312259,6.002624519,36.01545833,0.067427901,18.89155596,18.89422559,0.143283822,0.143283822,0.143283822,0.004105142,0.00001,0.00001,1.663391913,0,0.001956977,0.080995975,146401.7512,33050.49723,0.004976422,0.027685803,8.38E-07,0.142324324,2.87090952,0.001620219,0.008865053,7.606034788,0.000202958,6966.489949,5.26803E-05,0,-0.004102902,0,2.23989E-06,0,11.2872399,2.8365,18.8968974,2.867676426,1.66339E-05,0,0.143202148,0.143243004,2.8365,0.612525261,0.368238691,0,1,0,0,0.55,40016.98718,0.415001873,0.000172962,2399.378198,3.04110753
2.75,0.652595866,0.018,0.137221289,41.09383158,3227.882046,41.09383158,22.60160737,34.63460538,1.915698211,23.01174472,2.000966338,40.01967365,56.02705746,3.001531274,1.000500513,3.001531274,6.003062548,36.01803831,0.068087732,18.89289048,18.89556125,0.143283822,0.143283822,0.143283822,0.004105142,0.00001,0.00001,1.81651907,0,0.001956977,0.092903195,147941.9073,33058.74233,0.004975464,0.027695183,8.38E-07,0.142359459,2.875000472,0.001620275,0.008931407,7.623404969,0.00020299,6961.079987,5.79483E-05,0,-0.004102901,0,2.24031E-06,0,11.27886621,2.83715,18.89823401,2.871444068,1.81652E-05,0,0.143181707,0.14322258,2.83715,0.678367209,0.373443483,0,1,0,0,0.55,40019.82231,0.41513522,0.000173025,2399.274447,3.041218283
3,0.733153872,0.018,0.13753239,41.24375266,3232.505102,41.24375266,22.68406396,34.60127475,2.090370717,23.01342506,2.001104594,40.0224884,56.03092862,3.001750356,1.000572123,3.001750356,6.003500712,36.02061908,0.068746555,18.89422559,18.8968974,0.143283822,0.143283822,0.143283822,0.004105142,0.00001,0.00001,1.986106331,0,0.001956977,0.104397148,149474.3678,33066.93836,0.004974507,0.027704522,8.38E-07,0.142394595,2.879091424,0.001620332,0.00899743,7.640688359,0.000203021,6955.719977,6.32163E-05,0,-0.004102901,0,2.24074E-06,0,11.27057285,2.8378,18.89957103,2.875211711,1.98611E-05,0,0.143161258,0.143202148,2.8378,0.74558945,0.375402585,0,1,0,0,0.55,40022.65833,0.415268548,0.000173088,2399.170663,3.041329036
3.25,0.810871722,0.018,0.137841927,41.38434248,3237.145024,41.38434248,22.76138836,34.5682027,2.265126212,23.01510588,2.001242889,40.02530394,56.03480088,3.0019695,1.000643753,3.0019695,6.003939001,36.02320059,0.069404329,18.89556125,18.89823401,0.143283822,0.143283822,0.143283822,0.004105142,0.00001,0.00001,2.172498728,0,0.001956977,0.11549224,150999.1205,33075.08525,0.004973549,0.027713822,8.38E-07,0.14242973,2.883182376,0.001620388,0.00906312,7.657884817,0.000203053,6950.409894,6.84844E-05,0,-0.004102901,0,2.24116E-06,0,11.26235979,2.83845,18.90090844,2.878979353,2.1725E-05,0,0.143140802,0.143181707,2.83845,0.820149577,0.377514411,0,1,0,0,0.55,40025.49515,0.415401857,0.000173151,2399.066846,3.041439789
