Years,Available Area for Marsh Encroachment,Birth Rate,Births,Carbon Dioxide Released as a function of FF Consumption,Carbon in the Atmosphere,Carbon Released into the Atmosphere,Carbon Sequestration,Conversion to High Marsh,Conversion to Low Marsh,Days Recreating[Birding],Days Recreating[Hiking],Days Recreating[Marsh Walking],Days Recreating[Marsh Driving],Days Recreating[Boat Fishing],Days Recreating[Land Fishing],Days Recreating[Duck Hunting],Days Recreating[Pleasure Boating],Days Recreating[Marsh Work],Deaths,Delay in Action Erosion Control,Delay in Action: Flood Control,Delay in Erosion Control Implementation,Delay in Flood Control Implementation High Marsh,Delay in Flood Control Implementation Low Marsh,Erosion Control Rate,Fiddler Crab Carrying Capacity,Fiddler Crab Mortality Rate,Fiddler Crabs,Flood Mitigation Rate: High Marsh,Flood Mitigation Rate: Low Marsh,Forest Converted to High Marsh,Global Fossil Fuel Consumption,High Marsh Area,High Marsh Conversion Rate,High Marsh Erosion,High Marsh Erosion Rate,High Marsh to Upland Conversion Rate,High Sea Level Rise,Horizontal Growth Rate: Low Marsh,Human Mortality Rate,Human Population,Inundation Loss Rate: Low Marsh,Low Marsh Area,Low Marsh Conversion Rate,Low Marsh Erosion,Low Marsh Erosion Rate,Low Marsh Erosion Rate: Fiddler Crabs,Low Marsh Erosion Rate: SLR,Low Marsh Growth: Fiddlers,Low Marsh Horizontal Growth,Low Sea Level Rise,Mean Days Recreating,Medium Sea Level Rise,Mortality,Mortality Rate mediated by Low Marsh Area,Policy Demand Flood Control,Policy Demand: Erosion Control,Rate of Sea Level Rise,Recruitment,Recruitment Rate,Salt Water Inundation in Low Marsh,Scenario 1,Scenario 2,Scenario 3,Sequestration Rate,Total Marsh Area,Upland Border Decay,Upland Border Decay Rate,Upland Border Extent,Vertical Growth Rate: Low Marsh
1,0,0.018,0.135,40.02338144,3196,40.02338144,22.01285979,34.875182,0.695379706,23,2,40,56,3,1,3,6,36,0.06345,18.88888889,18.88888889,0.143283822,0.143283822,0.143283822,0.004105142,0.00001,0.00001,1,0,0,0,137000,33000,0.004982169,0.027628694,8.37E-07,0.142113514,2.846363808,0.001619882,0.00846,7.5,0.000202768,7000,2.10721E-05,0,-0.004102904,0,2.23736E-06,0,11.3391706,2.8326,18.88888889,2.84507057,0.00001,0,0.143283822,0.143283822,2.8326,0.34569,0.34569,1.419379291,1,0,0,0.55,40000,0.414201396,0.000172584,2400,3.040443012
1.25,0.103550349,0.018,0.135321975,40.17854275,3200.50263,40.17854275,22.09819851,34.83826645,0.869449526,23.00146528,2.000120561,40.00245449,56.0033757,3.000191042,1.000062444,3.000191042,6.000382085,36.00225047,0.064115027,18.88888889,18.88888889,0.143283822,0.143283822,0.143283822,0.004105142,0.00001,0.00001,1.08642,0,0,0.014719542,138586.025,33008.53804,0.004981211,0.027638311,8.37E-07,0.142148649,2.85045476,0.001619938,0.00852833,7.5178875,0.0002028,6993.934997,2.63401E-05,0,-0.004102904,0,2.23778E-06,0,11.32973949,2.83325,18.89005479,2.848838213,1.08642E-05,0,0.143283822,0.143283822,2.83325,0.378755797,0.348627416,1.418370508,1,0,0,0.55,40002.47304,0.414334856,0.000172647,2399.89645,3.040553765
1.5,0.203454177,0.018,0.135642406,40.33296013,3205.022716,40.33296013,22.18312807,34.80161471,1.043607753,23.00293148,2.000241198,40.00491055,56.00675355,3.000382206,1.000124928,3.000382206,6.000764412,36.00450236,0.064779293,18.88888889,18.88888889,0.143283822,0.143283822,0.143283822,0.004105142,0.00001,0.00001,1.181106233,0,0,0.028927885,140164.4457,33017.02702,0.004980253,0.027647888,8.37E-07,0.142183784,2.854545712,0.001619994,0.008596333,7.535689237,0.000202832,6987.920635,3.16082E-05,0,-0.004102904,0,2.23821E-06,0,11.32038974,2.8339,18.89122143,2.852605855,1.18111E-05,0,0.143283822,0.143283822,2.8339,0.415567269,0.351845801,1.417371613,1,0,0,0.55,40004.94765,0.414468297,0.00017271,2399.792866,3.040664518
1.75,0.29983928,0.018,0.13596129,40.48663188,3209.560174,40.48663188,22.26764753,34.76522652,1.217853606,23.00439856,2.000361907,40.00736805,56.01013339,3.000573483,1.000187449,3.000573483,6.001146966,36.00675559,0.065442755,18.88888889,18.89005479,0.143283822,0.143283822,0.143283822,0.004105142,0.00001,0.00001,1.284995098,0,0,0.042642818,141735.2447,33025.46684,0.004979296,0.027657426,8.37E-07,0.142218919,2.858636664,0.00162005,0.008664007,7.553405015,0.000202863,6981.956888,3.68762E-05,0,-0.004102903,0,2.23863E-06,0,11.31112131,2.83455,18.89238876,2.856373498,1.285E-05,0,0.143265978,0.143283822,2.83455,0.456657681,0.355376983,1.416382607,1,0,0,0.55,40007.42373,0.414601719,0.000172773,2399.689249,3.040775271
2,0.392829006,0.018,0.136278624,40.63955638,3214.114921,40.63955638,22.35175601,34.7291016,1.392186308,23.00586644,2.000482681,40.0098269,56.01351508,3.000764865,1.000250004,3.000764865,6.001529729,36.00901005,0.066105371,18.88888889,18.89122143,0.143283822,0.143283822,0.143283822,0.004105142,0.00001,0.00001,1.399156305,0,0,0.055881519,143298.4055,33033.85743,0.004978338,0.027666923,8.38E-07,0.142254054,2.862727616,0.001620107,0.008731352,7.571034649,0.000202895,6976.04373,4.21442E-05,0,-0.004102903,0,2.23905E-06,0,11.30193417,2.8352,18.89355674,2.860141141,1.39916E-05,0,0.143248124,0.143283822,2.8352,0.502657149,0.359257323,1.415403487,1,0,0,0.55,40009.90116,0.414735123,0.000172836,2399.585598,3.040886024
2.25,0.482542407,0.018,0.136594403,40.79173212,3218.686871,40.79173212,22.43545267,34.69323968,1.566605075,23.00733506,2.000603517,40.012287,56.01689849,3.000956343,1.000312591,3.000956343,6.001912686,36.01126566,0.0667671,18.89005479,18.89238876,0.143283822,0.143283822,0.143283822,0.004105142,0.00001,0.00001,1.524817095,0,0,0.068660568,144853.9126,33042.19871,0.00497738,0.02767638,8.38E-07,0.142289189,2.866818568,0.001620163,0.008798368,7.588577962,0.000202926,6970.181133,4.74123E-05,0,-0.004102902,0,2.23947E-06,0,11.29282829,2.83585,18.8947253,2.863908783,1.52482E-05,0,0.143230259,0.143265978,2.83585,0.554314522,0.363528533,1.414434254,1,0,0,0.55,40012.37985,0.414868507,0.000172899,2399.481915,3.040996777
2.5,0.569094391,0.018,0.136908626,40.94315764,3223.275941,40.94315764,22.5187367,34.65764048,1.741109126,23.00880437,2.00072441,40.01474824,56.02028348,3.001147911,1.000375207,3.001147911,6.002295822,36.01352232,0.067427901,18.89122143,18.89355674,0.143283822,0.143283822,0.143283822,0.004105142,0.00001,0.00001,1.663391913,0,0,0.080995975,146401.7512,33050.49062,0.004976422,0.027685798,8.38E-07,0.142324324,2.87090952,0.001620219,0.008865053,7.606034788,0.000202958,6964.369073,5.26803E-05,0,-0.004102902,0,2.23989E-06,0,11.28380362,2.8365,18.89589441,2.867676426,1.66339E-05,0,0.143212384,0.143248124,2.8365,0.612525261,0.368238691,1.413474908,1,0,0,0.55,40014.85969,0.415001873,0.000172962,2399.378198,3.04110753
2.75,0.652595866,0.018,0.137221289,41.09383158,3227.882046,41.09383158,22.60160737,34.62230371,1.915697675,23.01027431,2.000845354,40.01721054,56.02366992,3.001339561,1.00043785,3.001339561,6.002679123,36.01577995,0.068087732,18.89238876,18.8947253,0.143283822,0.143283822,0.143283822,0.004105142,0.00001,0.00001,1.81651907,0,0,0.092903195,147941.9073,33058.73308,0.004975464,0.027695175,8.38E-07,0.142359459,2.875000472,0.001620275,0.008931407,7.623404969,0.00020299,6958.607523,5.79483E-05,0,-0.004102901,0,2.24031E-06,0,11.27486014,2.83715,18.89706402,2.871444068,1.81652E-05,0,0.1431945,0.143230259,2.83715,0.678367209,0.373443483,1.412525447,1,0,0,0.55,40017.3406,0.41513522,0.000173025,2399.274447,3.041218283
3,0.733153872,0.018,0.13753239,41.24375266,3232.505102,41.24375266,22.68406396,34.58722912,2.090369938,23.01174482,2.000966346,40.01967382,56.02705769,3.001531287,1.000500518,3.001531287,6.003062574,36.01803846,0.068746555,18.89355674,18.89589441,0.143283822,0.143283822,0.143283822,0.004105142,0.00001,0.00001,1.986106331,0,0,0.104397148,149474.3678,33066.92603,0.004974507,0.027704512,8.38E-07,0.142394595,2.879091424,0.001620332,0.00899743,7.640688359,0.000203021,6952.896455,6.32163E-05,0,-0.004102901,0,2.24074E-06,0,11.26599781,2.8378,18.89823409,2.875211711,1.98611E-05,0,0.143176608,0.143212384,2.8378,0.74558945,0.375402585,1.411585871,1,0,0,0.55,40019.82249,0.415268548,0.000173088,2399.170663,3.041329036
3.25,0.810871722,0.018,0.137841927,41.38434248,3237.145024,41.38434248,22.76138836,34.5524164,2.265125127,23.01321587,2.001087381,40.02213797,56.03044668,3.001723081,1.000563208,3.001723081,6.003446163,36.02029779,0.069404329,18.8947253,18.89706402,0.143283822,0.143283822,0.143283822,0.004105142,0.00001,0.00001,2.172498728,0,0,0.11549224,150999.1205,33075.06942,0.004973549,0.027713808,8.38E-07,0.14242973,2.883182376,0.001620388,0.00906312,7.657884817,0.000203053,6947.235843,6.84844E-05,0,-0.004102901,0,2.24116E-06,0,11.25721659,2.83845,18.89940458,2.878979353,2.1725E-05,0,0.143158708,0.1431945,2.83845,0.820149577,0.377514411,1.410656179,1,0,0,0.55,40022.30526,0.415401857,0.000173151,2399.066846,3.041439789
