Years,Available Area for Marsh Encroachment,Birth Rate,Births,Carbon Dioxide Released as a function of FF Consumption,Carbon in the Atmosphere,Carbon Released into the Atmosphere,Carbon Sequestration,Conversion to High Marsh,Conversion to Low Marsh,Days Recreating[Birding],Days Recreating[Hiking],Days Recreating[Marsh Walking],Days Recreating[Marsh Driving],Days Recreating[Boat Fishing],Days Recreating[Land Fishing],Days Recreating[Duck Hunting],Days Recreating[Pleasure Boating],Days Recreating[Marsh Work],Deaths,Delay in Action Erosion Control,="Delay in Action: Flood Control",Delay in Erosion Control Implementation,Delay in Flood Control Implementation High Marsh,Delay in Flood Control Implementation Low Marsh,Erosion Control Rate,Fiddler Crab Carrying Capacity,Fiddler Crab Mortality Rate,Fiddler Crabs,="Flood Mitigation Rate: High Marsh",="Flood Mitigation Rate: Low Marsh",Forest Converted to High Marsh,Global Fossil Fuel Consumption,High Marsh Area,High Marsh Conversion Rate,High Marsh Erosion,High Marsh Erosion Rate,High Marsh to Upland Conversion Rate,High Sea Level Rise,="Horizontal Growth Rate: Low Marsh",Human Mortality Rate,Human Population,="Inundation Loss Rate: Low Marsh",Low Marsh Area,Low Marsh Conversion Rate,Low Marsh Erosion,Low Marsh Erosion Rate,="Low Marsh Erosion Rate: Fiddler Crabs",="Low Marsh Erosion Rate: SLR",="Low Marsh Growth: Fiddlers",Low Marsh Horizontal Growth,Low Sea Level Rise,Mean Days Recreating,Medium Sea Level Rise,Mortality,Mortality Rate mediated by Low Marsh Area,Policy Demand Flood Control,="Policy Demand: Erosion Control",Rate of Sea Level Rise,Recruitment,Recruitment Rate,Salt Water Inundation in Low Marsh,Scenario 1,Scenario 2,Scenario 3,Sequestration Rate,Total Marsh Area,Upland Border Decay,Upland Border Decay Rate,Upland Border Extent,="Vertical Growth Rate: Low Marsh"
1,0,0.018,0.135,40.0233814431,3196,40.0233814431,22.0128597937,34.733213638,4.37656154785,23,2,40,56,3,1,3,6,36,0.06345,18.8888888889,18.8888888889,0.143283821581,0.143283821581,0.143283821581,0.0041051417636,0.00001,0.00001,1,0,0,0,137000,33000,0.00496188766258,0.0276809578228,8.3881690372e-7,0.142857503137,2.84636380803,0.00162107282954,0.00846,7.5,0.000203437603491,7000,0.000132623077208,0,-0.004100465649,0.0000024298245614,0.00000224629003764,0,11.3475098068,2.8326,18.8888888889,2.84507057027,0.00001,0,0.143283821581,0.143283821581,2.84636380803,0.34569,0.34569,1.42406322443,0,0,1,0.55,40000,0.417405982063,0.000173919159193,2400,3.04278821745
1.25,0.104351495516,0.018,0.135321975,40.1785427542,3200.50263041,40.1785427542,22.0981985148,34.6657010232,5.47195891027,23.0014658103,2.00012060464,40.0024553868,56.00337693,3.00019111197,1.00006246702,3.00019111197,6.00038222395,36.0022512867,0.0641150273823,18.8888888889,18.8888888889,0.143283821581,0.143283821581,0.143283821581,0.0041051417636,0.00001,0.00001,1.08642,0,0,0.0149304696093,138586.025,33007.5822428,0.00495585957822,0.02770285577,8.3928763901e-7,0.143078635678,2.85045476004,0.00162142691863,0.00852833025,7.5178875,0.000203636486863,6994.89169862,0.000165778846509,0,-0.00410025300997,0.00000263981,0.00000224894362813,0,11.341705693,2.83325,18.8900552148,2.84883821283,0.0000108642,0,0.143283821581,0.143283821581,2.85045476004,0.378755797073,0.3486274158,1.4244151715,0,0,1,0.55,40002.4739414,0.418340276011,0.000174316027562,2399.8956485,3.04348527181
1.5,0.205203947116,0.018,0.135642406264,40.3329601316,3205.02271647,40.3329601316,22.1831280724,34.5996814292,6.56780196858,23.002932917,2.00024131596,40.0049129454,56.0067568468,3.00038239298,1.00012498929,3.00038239298,6.00076478596,36.0045045646,0.0647792931982,18.8888888889,18.8888888889,0.143283821581,0.143283821581,0.143283821581,0.0041051417636,0.00001,0.00001,1.18110623322,0,0,0.0294056780593,140164.445672,33014.8774852,0.00494983149387,0.0277245198446,8.39758374299e-7,0.143299768219,2.85454571205,0.00162178100772,0.00859633288497,7.5356892369,0.000203835370236,6990.07258573,0.000198934615811,0,-0.00410002028545,0.0000028698809351,0.00000225159721862,0,11.3363669621,2.8339,18.8912225723,2.8526058554,0.0000118110623322,0,0.143283821581,0.143283821581,2.85454571205,0.415567268536,0.351845800867,1.42482403349,0,0,1,0.55,40004.9500709,0.419274446324,0.000174712895932,2399.79106344,3.04418232617
1.75,0.302671139182,0.018,0.135961290273,40.486631879,3209.56017449,40.486631879,22.2676475335,34.5351488366,7.66406220998,23.0044013133,2.00036213338,40.0073726641,56.0101397346,3.00057384212,1.00018756652,3.00057384212,6.00114768424,36.006759823,0.0654427551184,18.8888888889,18.8900552148,0.143283821581,0.143283821581,0.143283821581,0.0041051417636,0.00001,0.00001,1.28499509759,0,0,0.0434396345294,141735.244678,33021.8858754,0.00494380340951,0.027745949766,8.40229109588e-7,0.14352090076,2.85863666405,0.00162213509681,0.00866400715795,7.55340501517,0.000204034253609,6985.54250159,0.000232090385113,0,-0.00409976520014,0.0000031223126494,0.00000225425080912,0,11.3314936621,2.83455,18.8923909559,2.85637349797,0.0000128499509759,0,0.143265971917,0.143283821581,2.85863666405,0.456657681422,0.355376983367,1.42528995037,0,0,1,0.55,40007.428377,0.420208492728,0.000175109764301,2399.68624482,3.04487938054
2,0.396863353732,0.018,0.136278623681,40.6395563846,3214.11492057,40.6395563846,22.3517560115,34.4720972021,8.76071114375,23.0058709944,2.0004830565,40.0098345349,56.013525582,3.00076545876,1.0002501985,3.00076545876,6.00153091753,36.0090170547,0.0661053712425,18.8888888889,18.8912225723,0.143283821581,0.143283821581,0.143283821581,0.0041051417636,0.00001,0.00001,1.39915630545,0,0,0.0570459454079,143298.405541,33028.6075704,0.00493777532515,0.027767145261,8.40699844877e-7,0.143742033301,2.86272761606,0.00162248918591,0.00873135235903,7.57103464896,0.000204233136982,6981.30128086,0.000265246154415,0,-0.00409948515484,0.00000339970435624,0.00000225690439961,0,11.3270858318,2.8352,18.8935603618,2.86014114053,0.0000139915630545,0,0.143248106464,0.143283821581,2.86272761606,0.502657148508,0.359257322822,1.42581306081,0,0,1,0.55,40009.9088513,0.421142414951,0.000175506632671,2399.5811927,3.0455764349
2.25,0.487887471118,0.018,0.136594403317,40.7917321197,3218.68687067,40.7917321197,22.4354526659,34.4105204584,9.85772030269,23.0073419574,2.0006040851,40.012298553,56.0169143828,3.00095724254,1.0003128851,3.00095724254,6.00191448508,36.0112762552,0.0667671001039,18.8900552148,18.8923909559,0.143283821581,0.143283821581,0.143283821581,0.0041051417636,0.00001,0.00001,1.52481709469,0,0,0.0702378249165,144853.912637,33035.0427367,0.0049317472408,0.0277881060646,8.41170580166e-7,0.143963165842,2.86681856807,0.001622843275,0.0087983678151,7.58857796207,0.000204432020355,6977.34875254,0.000298401923717,0,-0.00409917716758,0.00000370503802833,0.0000022595579901,0,11.3231435004,2.83585,18.8947307876,2.8639087831,0.0000152481709469,0,0.143230225309,0.143265971917,2.86681856807,0.5543145216,0.363528533049,1.4263935022,0,0,1,0.55,40012.3914892,0.42207621272,0.00017590350104,2399.4759071,3.04627348926
2.5,0.575847068069,0.018,0.136908626182,40.9431576392,3223.27594053,40.9431576392,22.5187367016,34.3504125148,10.9550612446,23.0088142013,2.0007252191,40.014764717,56.0203061347,3.00114919334,1.0003756263,3.00114919334,6.00229838667,36.0135374231,0.0674279006752,18.8912225723,18.8935603618,0.143283821581,0.143283821581,0.143283821581,0.0041051417636,0.00001,0.00001,1.66339191305,0,0,0.0830281054851,146401.751191,33041.1915491,0.00492571915644,0.0278088319196,8.41641315455e-7,0.144184298382,2.87090952008,0.00162319736409,0.00886505288967,7.60603478787,0.000204630903728,6973.68474,0.000331557693019,0,-0.00409883780149,0.00000404175052556,0.00000226221158059,0,11.319666688,2.8365,18.8959022328,2.86767642567,0.0000166339191305,0,0.143212328509,0.143248106465,2.87090952008,0.612525260888,0.368238691124,1.42703141066,0,0,1,0.55,40014.8762891,0.423009885763,0.00017630036941,2399.37038804,3.04697054362
2.75,0.660842513138,0.018,0.137221289446,41.09383158,3227.88204576,41.09383158,22.601607369,34.2917672571,12.0527055538,23.0102877273,2.00084645857,40.0172330284,56.02370084,3.00134131128,1.00043842213,3.00134131128,6.00268262255,36.01580056,0.068087732373,18.8923909559,18.8947307876,0.143283821581,0.143283821581,0.143283821581,0.0041051417636,0.00001,0.00001,1.81651906979,0,0,0.0954292478822,147941.907273,33047.0541918,0.00491969107209,0.0278293225765,8.42112050744e-7,0.144405430923,2.87500047208,0.00162355145319,0.00893140698253,7.62340496925,0.000204829787101,6970.309061,0.000364713462321,0,-0.00409846307578,0.00000441382265203,0.00000226486517108,0,11.3166554051,2.83715,18.8970746979,2.87144406823,0.0000181651906979,0,0.143194416098,0.143230225309,2.87500047208,0.678367208689,0.373443483182,1.42772692099,0,0,1,0.55,40017.3632528,0.423943433807,0.000176697237779,2399.26463557,3.04766759799
3,0.742971059619,0.018,0.137532390453,41.2437526611,3232.50510182,41.2437526611,22.6840639636,34.234578548,13.1506248422,23.011762538,2.00096780376,40.019703492,56.0270985054,3.00153359673,1.00050127272,3.00153359673,6.00306719346,36.0180656702,0.0687465550629,18.8935603618,18.8959022328,0.143283821581,0.143283821581,0.143283821581,0.0041051417636,0.00001,0.00001,1.98610633066,0,0,0.107453351106,149474.367789,33052.6308572,0.00491366298773,0.0278495777934,8.42582786033e-7,0.144626563464,2.87909142409,0.00162390554228,0.00899742952954,7.64068835852,0.000205028670474,6967.2215277,0.000397869231623,0,-0.00409804835489,0.00000482588994381,0.00000226751876157,0,11.3141096531,2.8378,18.8982481854,2.8752117108,0.0000198610633066,0,0.143176488089,0.143212328509,2.87909142409,0.745589450073,0.375402584726,1.42848016672,0,0,1,0.55,40019.8523849,0.42487685658,0.000177094106149,2399.15864971,3.04836465235
3.25,0.822326935987,0.018,0.137841926713,41.3843424813,3237.14502399,41.3843424813,22.7613883647,34.1788402272,14.2487907514,23.0132386382,2.00108925504,40.0221761155,56.0304991412,3.0017260503,1.00056417825,3.0017260503,6.0034521006,36.0203327608,0.0694043290638,18.8947307876,18.8970746979,0.143283821581,0.143283821581,0.143283821581,0.0041051417636,0.00001,0.00001,2.17249872792,0,0,0.119112162041,150999.120473,33057.9217465,0.00490763490338,0.027869597336,8.43053521322e-7,0.144847696005,2.8831823761,0.00162425963137,0.00906312000234,7.65788481737,0.000205227553846,6964.42194664,0.000431025000924,0,-0.00409759280048,0.00000527879076871,0.00000227017235206,0,11.3120294238,2.83845,18.8994226989,2.87897935337,0.0000217249872792,0,0.143158544468,0.143194416099,2.8831823761,0.820149576771,0.377514410587,1.42929128006,0,0,1,0.55,40022.3436932,0.425810153809,0.000177490974518,2399.0524305,3.04906170671
