Years,Available Area for Marsh Encroachment,Birth Rate,Births,Carbon Dioxide Released as a function of FF Consumption,Carbon in the Atmosphere,Carbon Released into the Atmosphere,Carbon Sequestration,Conversion to High Marsh,Conversion to Low Marsh,Days Recreating[Birding],Days Recreating[Hiking],Days Recreating[Marsh Walking],Days Recreating[Marsh Driving],Days Recreating[Boat Fishing],Days Recreating[Land Fishing],Days Recreating[Duck Hunting],Days Recreating[Pleasure Boating],Days Recreating[Marsh Work],Deaths,Delay in Action Erosion Control,="Delay in Action: Flood Control",Delay in Erosion Control Implementation,Delay in Flood Control Implementation High Marsh,Delay in Flood Control Implementation Low Marsh,Erosion Control Rate,Fiddler Crab Carrying Capacity,Fiddler Crab Mortality Rate,Fiddler Crabs,="Flood Mitigation Rate: High Marsh",="Flood Mitigation Rate: Low Marsh",Forest Converted to High Marsh,Global Fossil Fuel Consumption,High Marsh Area,High Marsh Conversion Rate,High Marsh Erosion,High Marsh Erosion Rate,High Marsh to Upland Conversion Rate,High Sea Level Rise,="Horizontal Growth Rate: Low Marsh",Human Mortality Rate,Human Population,="Inundation Loss Rate: Low Marsh",Low Marsh Area,Low Marsh Conversion Rate,Low Marsh Erosion,Low Marsh Erosion Rate,="Low Marsh Erosion Rate: Fiddler Crabs",="Low Marsh Erosion Rate: SLR",="Low Marsh Growth: Fiddlers",Low Marsh Horizontal Growth,Low Sea Level Rise,Mean Days Recreating,Medium Sea Level Rise,Mortality,Mortality Rate mediated by Low Marsh Area,Policy Demand Flood Control,="Policy Demand: Erosion Control",Rate of Sea Level Rise,Recruitment,Recruitment Rate,Salt Water Inundation in Low Marsh,Scenario 1,Scenario 2,Scenario 3,Sequestration Rate,Total Marsh Area,Upland Border Decay,Upland Border Decay Rate,Upland Border Extent,="Vertical Growth Rate: Low Marsh"
1,0,0.018,0.135,40.0233814431,3196,40.0233814431,22.0128597937,34.8751820038,0.695379706446,23,2,40,56,3,1,3,6,36,0.06345,18.8888888889,18.8888888889,0.143283821581,0.143283821581,0.143283821581,0.0041051417636,0.00001,0.00001,1,0,0,0,137000,33000,0.00498216885769,0.0276286935492,8.37233137854e-7,0.142113513514,2.84636380803,0.00161988151409,0.00846,7.5,0.000202768470106,7000,0.0000210721123166,0,-0.00410047457688,0.0000024298245614,0.00000223736216216,0,11.3391705987,2.8326,18.8888888889,2.84507057027,0.00001,0,0.143283821581,0.143283821581,2.8326,0.34569,0.34569,1.41937929074,1,0,0,0.55,40000,0.414201395918,0.000172583914966,2400,3.04044301213
1.25,0.10355034898,0.018,0.135321975,40.1785427542,3200.50263041,40.1785427542,22.0981985148,34.8382664459,0.86944952632,23.0014652766,2.00012056073,40.0024544928,56.0033757005,3.00019104239,1.00006244428,3.00019104239,6.00038208478,36.002250467,0.0641150273823,18.8888888889,18.8888888889,0.143283821581,0.143283821581,0.143283821581,0.0041051417636,0.00001,0.00001,1.08642,0,0,0.0147195421745,138586.025,33008.5380434,0.00498121107211,0.0276383107168,8.37307931676e-7,0.142148648649,2.85045476004,0.00161993777433,0.00852833025,7.5178875,0.000202800070132,6993.93499725,0.0000263401403957,0,-0.00410026416982,0.00000263981,0.00000223778378378,0,11.3297394932,2.83325,18.8900547902,2.84883821283,0.0000108642,0,0.143283821581,0.143283821581,2.83325,0.378755797073,0.3486274158,1.41837050794,1,0,0,0.55,40002.4730407,0.414334855815,0.000172646972279,2399.89644965,3.04055376516
1.5,0.20345417739,0.018,0.135642406264,40.3329601316,3205.02271647,40.3329601316,22.1831280724,34.8016147098,1.04360775252,23.0029314845,2.00024119809,40.0049105458,56.0067535466,3.00038220621,1.00012492824,3.00038220621,6.00076441242,36.0045023644,0.0647792931982,18.8888888889,18.8888888889,0.143283821581,0.143283821581,0.143283821581,0.0041051417636,0.00001,0.00001,1.18110623322,0,0,0.0289278847679,140164.445672,33017.0270179,0.00498025328653,0.0276478880721,8.37382725499e-7,0.142183783784,2.85454571205,0.00161999403456,0.00859633288497,7.5356892369,0.000202831670159,6987.92063527,0.0000316081684748,0,-0.00410003367726,0.0000028698809351,0.00000223820540541,0,11.3203897431,2.8339,18.8912214325,2.8526058554,0.0000118110623322,0,0.143283821581,0.143283821581,2.8339,0.415567268536,0.351845800867,1.41737161339,1,0,0,0.55,40004.9476532,0.414468296889,0.000172710029591,2399.79286594,3.04066451819
1.75,0.29983928042,0.018,0.135961290273,40.486631879,3209.56017449,40.486631879,22.2676475335,34.7652265206,1.21785360647,23.0043985587,2.00036190673,40.0073680498,56.0101333884,3.00057348297,1.00018744913,3.00057348297,6.00114696594,36.0067555922,0.0654427551184,18.8888888889,18.8900547902,0.143283821581,0.143283821581,0.143283821581,0.0041051417636,0.00001,0.00001,1.28499509759,0,0,0.0426428183107,141735.244678,33025.4668397,0.00497929550096,0.027657425534,8.37457519321e-7,0.142218918919,2.85863666405,0.00162005029479,0.00866400715795,7.55340501517,0.000202863270185,6981.95688806,0.0000368761965539,0,-0.00409978082392,0.0000031223126494,0.00000223862702703,0,11.3111213147,2.83455,18.8923887641,2.85637349797,0.0000128499509759,0,0.143265978416,0.143283821581,2.83455,0.456657681422,0.355376983367,1.41638260661,1,0,0,0.55,40007.4237277,0.414601719137,0.000172773086904,2399.68924886,3.04077527122
2,0.392829005626,0.018,0.136278623681,40.6395563846,3214.11492057,40.6395563846,22.3517560115,34.7291016028,1.39218630799,23.0058664366,2.00048268149,40.0098269001,56.0135150817,3.00076486451,1.00025000426,3.00076486451,6.00152972903,36.0090100545,0.0661053712425,18.8888888889,18.8912214325,0.143283821581,0.143283821581,0.143283821581,0.0041051417636,0.00001,0.00001,1.39915630545,0,0,0.0558815186004,143298.405541,33033.8574293,0.00497833771538,0.0276669230248,8.37532313143e-7,0.142254054054,2.86272761606,0.00162010655502,0.00873135235903,7.57103464896,0.000202894870212,6976.04372951,0.0000421442246331,0,-0.00409950301059,0.00000339970435624,0.00000223904864865,0,11.3019341743,2.8352,18.8935567352,2.86014114053,0.0000139915630545,0,0.143248123909,0.143283821581,2.8352,0.502657148508,0.359257322822,1.41540348709,1,0,0,0.55,40009.9011588,0.414735122552,0.000172836144217,2399.58559843,3.04088602425
2.25,0.482542406614,0.018,0.136594403317,40.7917321197,3218.68687067,40.7917321197,22.4354526659,34.6932396803,1.56660507549,23.0073350582,2.00060351745,40.0122869962,56.0168984885,3.00095634303,1.00031259109,3.00095634303,6.00191268607,36.011265659,0.0667671001039,18.8900547902,18.8923887641,0.143283821581,0.143283821581,0.143283821581,0.0041051417636,0.00001,0.00001,1.52481709469,0,0,0.0686605677865,144853.912637,33042.1987117,0.0049773799298,0.0276763804707,8.37607106966e-7,0.142289189189,2.86681856807,0.00162016281526,0.0087983678151,7.58857796207,0.000202926470239,6970.18113336,0.0000474122527122,0,-0.0040991972553,0.00000370503802833,0.00000223947027027,0,11.2928282879,2.83585,18.8947252981,2.8639087831,0.0000152481709469,0,0.143230258853,0.143265978416,2.83585,0.5543145216,0.363528533049,1.41443425432,1,0,0,0.55,40012.3798451,0.414868507128,0.00017289920153,2399.48191465,3.04099677728
2.5,0.56909439145,0.018,0.136908626182,40.9431576392,3223.27594053,40.9431576392,22.5187367016,34.6576404765,1.74110912596,23.0088043661,2.00072440987,40.014748242,56.0202834764,3.00114791102,1.00037520716,3.00114791102,6.00229582205,36.0135223176,0.0674279006752,18.8912214325,18.8935567352,0.143283821581,0.143283821581,0.143283821581,0.0041051417636,0.00001,0.00001,1.66339191305,0,0,0.0809959747398,146401.751191,33050.4906164,0.00497642214422,0.0276857978016,8.37681900788e-7,0.142324324324,2.87090952008,0.00162021907549,0.00886505288967,7.60603478787,0.000202958070265,6964.36907322,0.0000526802807913,0,-0.00409886012118,0.00000404175052556,0.00000223989189189,0,11.2838036212,2.8365,18.895894407,2.86767642567,0.0000166339191305,0,0.143212384011,0.143248123909,2.8365,0.612525260888,0.368238691124,1.41347490772,1,0,0,0.55,40014.8596896,0.415001872861,0.000172962258842,2399.37819753,3.04110753031
2.75,0.65259586598,0.018,0.137221289446,41.09383158,3227.88204576,41.09383158,22.601607369,34.6223037143,1.9156976752,23.0102743051,2.00084535422,40.0172105449,56.0236699181,3.0013395613,1.00043785013,3.0013395613,6.0026791226,36.0157799454,0.068087732373,18.8923887641,18.8947252981,0.143283821581,0.143283821581,0.143283821581,0.0041051417636,0.00001,0.00001,1.81651906979,0,0,0.0929031947264,147941.907273,33058.7330768,0.00497546435865,0.0276951749504,8.37756694611e-7,0.142359459459,2.87500047208,0.00162027533572,0.00893140698253,7.62340496925,0.000202989670292,6958.60752256,0.0000579483088705,0,-0.00409848762743,0.00000441382265203,0.00000224031351351,0,11.2748601398,2.83715,18.8970640181,2.87144406823,0.0000181651906979,0,0.143194500111,0.143230258854,2.83715,0.678367208689,0.373443483182,1.4125254467,1,0,0,0.55,40017.3405994,0.415135219745,0.000173025316155,2399.27444706,3.04121828334
3,0.733153872235,0.018,0.137532390453,41.2437526611,3232.50510182,41.2437526611,22.6840639636,34.5872291159,2.09036993782,23.0117448224,2.00096634615,40.0196738164,56.0270576921,3.00153128697,1.00050051775,3.00153128697,6.00306257394,36.0180384614,0.0687465550629,18.8935567352,18.895894407,0.143283821581,0.143283821581,0.143283821581,0.0041051417636,0.00001,0.00001,1.98610633066,0,0,0.104397148412,149474.367789,33066.9260303,0.00497450657307,0.0277045118539,8.37831488433e-7,0.142394594595,2.87909142409,0.00162033159595,0.00899742952954,7.64068835852,0.000203021270319,6952.89645472,0.0000632163369496,0,-0.00409807513852,0.00000482588994381,0.00000224073513514,0,11.265997809,2.8378,18.8982340893,2.8752117108,0.0000198610633066,0,0.143176607855,0.143212384011,2.8378,0.745589450073,0.375402584726,1.41158587063,1,0,0,0.55,40019.822485,0.415268547774,0.000173088373468,2399.17066325,3.04132903638
3.25,0.810871722075,0.018,0.137841926713,41.3843424813,3237.14502399,41.3843424813,22.7613883647,34.5524164029,2.26512512739,23.0132158673,2.00108738148,40.0221379717,56.0304466815,3.00172308143,1.00056320784,3.00172308143,6.00344616285,36.0202977877,0.0694043290638,18.8947252981,18.8970640181,0.143283821581,0.143283821581,0.143283821581,0.0041051417636,0.00001,0.00001,2.17249872792,0,0,0.115492240221,150999.120473,33075.0694183,0.00497354878749,0.0277138084516,8.37906282255e-7,0.14242972973,2.8831823761,0.00162038785618,0.00906312000234,7.65788481737,0.000203052870345,6947.23584291,0.0000684843650287,0,-0.00409762181607,0.00000527879076871,0.00000224115675676,0,11.2572165939,2.83845,18.8994045804,2.87897935337,0.0000217249872792,0,0.143158707914,0.143194500112,2.83845,0.820149576771,0.377514410587,1.41065617887,1,0,0,0.55,40022.3052612,0.415401856943,0.000173151430781,2399.06684612,3.04143978941
