Years,Available Area for Marsh Encroachment,Birth Rate,Births,Carbon Dioxide Released as a function of FF Consumption,Carbon in the Atmosphere,Carbon Released into the Atmosphere,Carbon Sequestration,Conversion to High Marsh,Conversion to Low Marsh,Days Recreating[Birding],Days Recreating[Hiking],Days Recreating[Marsh Walking],Days Recreating[Marsh Driving],Days Recreating[Boat Fishing],Days Recreating[Land Fishing],Days Recreating[Duck Hunting],Days Recreating[Pleasure Boating],Days Recreating[Marsh Work],Deaths,Delay in Action Erosion Control,="Delay in Action: Flood Control",Delay in Erosion Control Implementation,Delay in Flood Control Implementation High Marsh,Delay in Flood Control Implementation Low Marsh,Erosion Control Rate,Fiddler Crab Carrying Capacity,Fiddler Crab Mortality Rate,Fiddler Crabs,="Flood Mitigation Rate: High Marsh",="Flood Mitigation Rate: Low Marsh",Forest Converted to High Marsh,Global Fossil Fuel Consumption,High Marsh Area,High Marsh Conversion Rate,High Marsh Erosion,High Marsh Erosion Rate,High Marsh to Upland Conversion Rate,High Sea Level Rise,="Horizontal Growth Rate: Low Marsh",Human Mortality Rate,Human Population,="Inundation Loss Rate: Low Marsh",Low Marsh Area,Low Marsh Conversion Rate,Low Marsh Erosion,Low Marsh Erosion Rate,="Low Marsh Erosion Rate: Fiddler Crabs",="Low Marsh Erosion Rate: SLR",="Low Marsh Growth: Fiddlers",Low Marsh Horizontal Growth,Low Sea Level Rise,Mean Days Recreating,Medium Sea Level Rise,Mortality,Mortality Rate mediated by Low Marsh Area,Policy Demand Flood Control,="Policy Demand: Erosion Control",Rate of Sea Level Rise,Recruitment,Recruitment Rate,Salt Water Inundation in Low Marsh,Scenario 1,Scenario 2,Scenario 3,Sequestration Rate,Total Marsh Area,Upland Border Decay,Upland Border Decay Rate,Upland Border Extent,="Vertical Growth Rate: Low Marsh"
1,0,0.018,0.135,40.0233814431,3196,40.0233814431,22.0128597937,34.733213638,4.37656154785,23,2,40,56,3,1,3,6,36,0.06345,18.8888888889,18.8888888889,0.143283821581,0.143283821581,0.143283821581,0,0.00001,0.00001,1,0,0.00195697724899,0,137000,33000,0.00496188766258,0.0276809578228,8.3881690372e-7,0.142857503137,2.84636380803,0.00162107282954,0.00846,7.5,0.000203437603491,7000,0.000132623077208,0.0327328021933,0.00000467611459904,0.0000024298245614,0.00000224629003764,0,11.3475098068,2.8326,18.8888888889,2.84507057027,0.00001,0,0.143283821581,0.143283821581,2.84636380803,0.34569,0.34569,0,0,0,1,0.55,40000,0.417405982063,0.000173919159193,2400,3.04278821745
1.25,0.104351495516,0.018,0.135321975,40.1785427542,3200.50263041,40.1785427542,22.0981985148,34.6674248328,5.47195891027,23.0016719011,2.00013756148,40.0028006107,56.0038517215,3.00021798204,1.00007124979,3.00021798204,6.00043596408,36.0025678144,0.0641150273823,18.8888888889,18.8888888889,0.143283821581,0.143283821581,0.143283821581,0,0.00001,0.00001,1.08642,0,0.00195697724899,0.0149304696093,138586.025,33007.5822428,0.00495585957822,0.02770285577,8.3928763901e-7,0.143078635678,2.85045476004,0.00162142691863,0.00852833025,7.5178875,0.000203636486863,6995.23953123,0.000165778846509,0.034198002638,0.00000488875362813,0.00000263981,0.00000224894362813,0,11.3422696782,2.83325,18.8902191986,2.84883821283,0.0000108642,0,0.143283821581,0.143283821581,2.85045476004,0.378755797073,0.3486274158,0,0,0,1,0.55,40002.821774,0.418340276011,0.000174316027562,2399.8956485,3.04348527181
1.5,0.205203947116,0.018,0.135642406264,40.3329601316,3205.02271647,40.3329601316,22.1831280724,34.603122042,6.56780205431,23.0033450173,2.00027522294,40.0056032568,56.0077062424,3.00043612251,1.00014255137,3.00043612251,6.00087224502,36.0051374949,0.0647792931982,18.8888888889,18.8888888889,0.143283821581,0.143283821581,0.143283821581,0,0.00001,0.00001,1.18110623322,0,0.00195697724899,0.0294056780593,140164.445672,33014.8779162,0.00494983149387,0.0277245202065,8.39758374299e-7,0.143299768219,2.85454571205,0.00162178100772,0.00859633288497,7.5356892369,0.000203835370236,6990.76768267,0.000198934615811,0.0358030639645,0.00000512147815372,0.0000028698809351,0.00000225159721862,0,11.3374942571,2.8339,18.8915504751,2.8526058554,0.0000118110623322,0,0.143283821581,0.143283821581,2.85454571205,0.415567268536,0.351845800867,0,0,0,1,0.55,40005.6455988,0.419274446324,0.000174712895932,2399.79106344,3.04418232617
1.75,0.302671139182,0.018,0.135961290273,40.486631879,3209.56017449,40.486631879,22.2676475335,34.5402991619,7.66406250963,23.0050193293,2.00041298279,40.0084079061,56.0115635182,3.00065441889,1.00021390391,3.00065441889,6.00130883778,36.0077090121,0.0654427551184,18.8888888889,18.8902191986,0.143283821581,0.143283821581,0.143283821581,0,0.00001,0.00001,1.28499509759,0,0.00195697724899,0.0434396345294,141735.244678,33021.8871665,0.00494380340951,0.0277459508508,8.40229109588e-7,0.14352090076,2.85863666405,0.00162213509681,0.00866400715795,7.55340501517,0.000204034253609,6986.58427547,0.000232090385113,0.0375638137153,0.00000537656345851,0.0000031223126494,0.00000225425080912,0,11.3331835601,2.83455,18.8928827031,2.85637349797,0.0000128499509759,0,0.143263462279,0.143283821581,2.85863666405,0.456657681422,0.355376983367,0,0,0,1,0.55,40008.4714419,0.420208492728,0.000175109764301,2399.68624482,3.04487938054
2,0.396863353732,0.018,0.136278623681,40.6395563846,3214.11492057,40.6395563846,22.3517560115,34.4789500461,8.76071182771,23.0066948176,2.00055083943,40.0112145258,56.0154235039,3.00087286863,1.00028530657,3.00087286863,6.00174573726,36.010282336,0.0661053712425,18.8888888889,18.8915504751,0.143283821581,0.143283821581,0.143283821581,0,0.00001,0.00001,1.39915630545,0,0.00195697724899,0.0570459454079,143298.405541,33028.610149,0.00493777532515,0.0277671474288,8.40699844877e-7,0.143742033301,2.86272761606,0.00162248918591,0.00873135235903,7.57103464896,0.000204233136982,6982.68912124,0.000265246154415,0.0394983404225,0.00000565660875584,0.00000339970435624,0.00000225690439961,0,11.3293375878,2.8352,18.8942158671,2.86014114053,0.0000139915630545,0,0.143243088181,0.143283821581,2.86272761606,0.502657148508,0.359257322822,0,0,0,1,0.55,40011.2992703,0.421142414951,0.000175506632671,2399.5811927,3.0455764349
2.25,0.487887471118,0.018,0.136594403317,40.7917321197,3218.68687067,40.7917321197,22.4354526659,34.4190685028,9.85772158332,23.008371462,2.00068879118,40.0140230819,56.019286153,3.0010914691,1.00035675851,3.0010914691,6.00218293819,36.0128574353,0.0667671001039,18.8902191986,18.8928827031,0.143283821581,0.143283821581,0.143283821581,0,0.00001,0.00001,1.52481709469,0,0.00195697724899,0.0702378249165,144853.912637,33035.0470283,0.0049317472408,0.0277881096746,8.41170580166e-7,0.143963165842,2.86681856807,0.001622843275,0.0087983678151,7.58857796207,0.000204432020355,6979.0820215,0.000298401923717,0.0416274048377,0.00000596459601843,0.00000370503802833,0.0000022595579901,0,11.3259563243,2.83585,18.8955499509,2.8639087831,0.0000152481709469,0,0.14322269952,0.14326346228,2.86681856807,0.5543145216,0.363528533049,0,0,0,1,0.55,40014.1290498,0.42207621272,0.00017590350104,2399.4759071,3.04627348926
2.5,0.575847068069,0.018,0.136908626182,40.9431576392,3223.27594053,40.9431576392,22.5187367016,34.3606482922,10.955063376,23.0100492411,2.00082683629,40.0168335389,56.0231514162,3.00131021751,1.0004282588,3.00131021751,6.00262043502,36.0154342774,0.0674279006752,18.8915504751,18.8942158671,0.143283821581,0.143283821581,0.143283821581,0,0.00001,0.00001,1.66339191305,0,0.00195697724899,0.0830281054851,146401.751191,33041.1979775,0.00492571915644,0.0278088373299,8.41641315455e-7,0.144184298382,2.87090952008,0.00162319736409,0.00886505288967,7.60603478787,0.000204630903728,6975.762767,0.000331557693019,0.0439749441447,0.00000630396210615,0.00000404175052556,0.00000226221158059,0,11.3230397359,2.8365,18.8968849376,2.86767642567,0.0000166339191305,0,0.143202296536,0.143243088181,2.87090952008,0.612525260888,0.368238691124,0,0,0,1,0.55,40016.9607444,0.423009885763,0.00017630036941,2399.37038804,3.04697054362
2.75,0.660842513138,0.018,0.137221289446,41.09383158,3227.88204576,41.09383158,22.601607369,34.3036831226,12.0527088314,23.0117281319,2.00096497288,40.0196458581,56.0270192406,3.00152911087,1.00049980647,3.00152911087,6.00305822174,36.0180128271,0.068087732373,18.8928827031,18.8955499509,0.143283821581,0.143283821581,0.143283821581,0,0.00001,0.00001,1.81651906979,0,0.00195697724899,0.0954292478822,147941.907273,33047.0631785,0.00491969107209,0.0278293301443,8.42112050744e-7,0.144405430923,2.87500047208,0.00162355145319,0.00893140698253,7.62340496925,0.000204829787101,6972.73113697,0.000364713462321,0.0465686945383,0.00000667868782311,0.00000441382265203,0.00000226486517108,0,11.3205877701,2.83715,18.8982208089,2.87144406823,0.0000181651906979,0,0.143181879474,0.143222699521,2.87500047208,0.678367208689,0.373443483182,0,0,0,1,0.55,40019.7943155,0.423943433807,0.000176697237779,2399.26463557,3.04766759799
3,0.742971059619,0.018,0.137532390453,41.2437526611,3232.50510182,41.2437526611,22.6840639636,34.2481666465,13.1506296027,23.0134081092,2.00110319886,40.0224599973,56.0308895681,3.00174814589,1.00057140044,3.00174814589,6.00349629177,36.0205930454,0.0687465550629,18.8942158671,18.8968849376,0.143283821581,0.143283821581,0.143283821581,0,0.00001,0.00001,1.98610633066,0,0.00195697724899,0.107453351106,149474.367789,33052.642822,0.00491366298773,0.0278495878747,8.42582786033e-7,0.144626563464,2.87909142409,0.00162390554228,0.00899742952954,7.64068835852,0.000205028670474,6969.98689816,0.000397869231623,0.0494409657398,0.00000709340870538,0.00000482588994381,0.00000226751876157,0,11.3186003535,2.8378,18.8995575448,2.8752117108,0.0000198610633066,0,0.143161448594,0.143202296536,2.87909142409,0.745589450073,0.375402584726,0,0,0,1,0.55,40022.6297202,0.42487685658,0.000177094106149,2399.15864971,3.04836465235
3.25,0.822326935987,0.018,0.137841926713,41.3843424813,3237.14502399,41.3843424813,22.7613883647,34.1940924552,14.2487973722,23.0150891448,2.00124151191,40.0252759092,56.0347623335,3.00196731887,1.0006430395,3.00196731887,6.00393463775,36.023174889,0.0694043290638,18.8955499509,18.8982208089,0.143283821581,0.143283821581,0.143283821581,0,0.00001,0.00001,2.17249872792,0,0.00195697724899,0.119112162041,150999.120473,33057.9371073,0.00490763490338,0.0278696102859,8.43053521322e-7,0.144847696005,2.8831823761,0.00162425963137,0.00906312000234,7.65788481737,0.000205227553846,6967.52980375,0.000431025000924,0.0525976255314,0.00000754896312077,0.00000527879076871,0.00000227017235206,0,11.3170773906,2.83845,18.9008951226,2.87897935337,0.0000217249872792,0,0.143141004176,0.143181879474,2.8831823761,0.820149576771,0.377514410587,0,0,0,1,0.55,40025.466911,0.425810153809,0.000177490974518,2399.0524305,3.04906170671
