Years,Available Area for Marsh Encroachment,Birth Rate,Births,Carbon Dioxide Released as a function of FF Consumption,Carbon in the Atmosphere,Carbon Released into the Atmosphere,Carbon Sequestration,Conversion to High Marsh,Conversion to Low Marsh,Days Recreating[Birding],Days Recreating[Hiking],Days Recreating[Marsh Walking],Days Recreating[Marsh Driving],Days Recreating[Boat Fishing],Days Recreating[Land Fishing],Days Recreating[Duck Hunting],Days Recreating[Pleasure Boating],Days Recreating[Marsh Work],Deaths,Delay in Action Erosion Control,="Delay in Action: Flood Control",Delay in Erosion Control Implementation,Delay in Flood Control Implementation High Marsh,Delay in Flood Control Implementation Low Marsh,Erosion Control Rate,Fiddler Crab Carrying Capacity,Fiddler Crab Mortality Rate,Fiddler Crabs,="Flood Mitigation Rate: High Marsh",="Flood Mitigation Rate: Low Marsh",Forest Converted to High Marsh,Global Fossil Fuel Consumption,High Marsh Area,High Marsh Conversion Rate,High Marsh Erosion,High Marsh Erosion Rate,High Marsh to Upland Conversion Rate,High Sea Level Rise,="Horizontal Growth Rate: Low Marsh",Human Mortality Rate,Human Population,="Inundation Loss Rate: Low Marsh",Low Marsh Area,Low Marsh Conversion Rate,Low Marsh Erosion,Low Marsh Erosion Rate,="Low Marsh Erosion Rate: Fiddler Crabs",="Low Marsh Erosion Rate: SLR",="Low Marsh Growth: Fiddlers",Low Marsh Horizontal Growth,Low Sea Level Rise,Mean Days Recreating,Medium Sea Level Rise,Mortality,Mortality Rate mediated by Low Marsh Area,Policy Demand Flood Control,="Policy Demand: Erosion Control",Rate of Sea Level Rise,Recruitment,Recruitment Rate,Salt Water Inundation in Low Marsh,Scenario 1,Scenario 2,Scenario 3,Sequestration Rate,Total Marsh Area,Upland Border Decay,Upland Border Decay Rate,Upland Border Extent,="Vertical Growth Rate: Low Marsh"
1,0,0.018,0.135,40.0233814431,3196,40.0233814431,22.0128597937,34.8751820038,0.695379706446,23,2,40,56,3,1,3,6,36,0.06345,18.8888888889,18.8888888889,0.143283821581,0.143283821581,0.143283821581,0,0.00001,0.00001,1,0,0.00195697724899,0,137000,33000,0.00498216885769,0.0276286935492,8.37233137854e-7,0.142113513514,2.84636380803,0.00161988151409,0.00846,7.5,0.000202768470106,7000,0.0000210721123166,0.032670307065,0.00000466718672357,0.0000024298245614,0.00000223736216216,0,11.3391705987,2.8326,18.8888888889,2.84507057027,0.00001,0,0.143283821581,0.143283821581,2.8326,0.34569,0.34569,0,1,0,0,0.55,40000,0.414201395918,0.000172583914966,2400,3.04044301213
1.25,0.10355034898,0.018,0.135321975,40.1785427542,3200.50263041,40.1785427542,22.0981985148,34.8399933185,0.86944952632,23.0016706829,2.00013746125,40.00279857,56.0038489149,3.00021782321,1.00007119788,3.00021782321,6.00043564642,36.0025659433,0.0641150273823,18.8888888889,18.8888888889,0.143283821581,0.143283821581,0.143283821581,0,0.00001,0.00001,1.08642,0,0.00195697724899,0.0147195421745,138586.025,33008.5380434,0.00498121107211,0.0276383107168,8.37307931676e-7,0.142148648649,2.85045476004,0.00161993777433,0.00852833025,7.5178875,0.000202800070132,6994.2816745,0.0000263401403957,0.0341152648176,0.00000487759378378,0.00000263981,0.00000223778378378,0,11.3303010888,2.83325,18.8902182292,2.84883821283,0.0000108642,0,0.143283821581,0.143283821581,2.83325,0.378755797073,0.3486274158,0,1,0,0,0.55,40002.8197179,0.414334855815,0.000172646972279,2399.89644965,3.04055376516
1.5,0.20345417739,0.018,0.135642406264,40.3329601316,3205.02271647,40.3329601316,22.1831280724,34.8050632849,1.04360776617,23.0033420168,2.00027497606,40.0055982307,56.0076993298,3.0004357313,1.0001424235,3.0004357313,6.00087146261,36.0051328865,0.0647792931982,18.8888888889,18.8888888889,0.143283821581,0.143283821581,0.143283821581,0,0.00001,0.00001,1.18110623322,0,0.00195697724899,0.0289278847679,140164.445672,33017.0274497,0.00498025328653,0.0276478884337,8.37382725499e-7,0.142183783784,2.85454571205,0.00161999403456,0.00859633288497,7.5356892369,0.000202831670159,6988.61308501,0.0000316081684748,0.0356984390386,0.00000510808634051,0.0000028698809351,0.00000223820540541,0,11.3215115075,2.8339,18.8915480876,2.8526058554,0.0000118110623322,0,0.143283821581,0.143283821581,2.8339,0.415567268536,0.351845800867,0,1,0,0,0.55,40005.6405347,0.414468296889,0.000172710029591,2399.79286594,3.04066451819
1.75,0.29983928042,0.018,0.135961290273,40.486631879,3209.56017449,40.486631879,22.2676475335,34.7703914758,1.21785365418,23.0050139174,2.00041253751,40.0083988406,56.0115510503,3.00065371329,1.00021367328,3.00065371329,6.00130742658,36.0077007002,0.0654427551184,18.8888888889,18.8902182292,0.143283821581,0.143283821581,0.143283821581,0,0.00001,0.00001,1.28499509759,0,0.00195697724899,0.0426428183107,141735.244678,33025.4681335,0.00497929550096,0.0276574266175,8.37457519321e-7,0.142218918919,2.85863666405,0.00162005029479,0.00866400715795,7.55340501517,0.000202863270185,6982.99417439,0.0000368761965539,0.0374354105298,0.00000536093967643,0.0000031223126494,0.00000223862702703,0,11.3128017708,2.83455,18.8928783969,2.85637349797,0.0000128499509759,0,0.143263477114,0.143283821581,2.83455,0.456657681422,0.355376983367,0,1,0,0,0.55,40008.4623079,0.414601719137,0.000172773086904,2399.68924886,3.04077527122
2,0.392829005626,0.018,0.136278623681,40.6395563846,3214.11492057,40.6395563846,22.3517560115,34.7359774439,1.39218641694,23.0066863008,2.00055013867,40.0112002591,56.0154038829,3.00087175821,1.00028494362,3.00087175821,6.00174351641,36.0102692552,0.0661053712425,18.8888888889,18.8915480876,0.143283821581,0.143283821581,0.143283821581,0,0.00001,0.00001,1.39915630545,0,0.00195697724899,0.0558815186004,143298.405541,33033.8600143,0.00497833771538,0.0276669251899,8.37532313143e-7,0.142254054054,2.86272761606,0.00162010655502,0.00873135235903,7.57103464896,0.000202894870212,6977.42488153,0.0000421442246331,0.0393439755171,0.00000563875300488,0.00000339970435624,0.00000223904864865,0,11.3041717877,2.8352,18.8942090904,2.86014114053,0.0000139915630545,0,0.143243124719,0.143283821581,2.8352,0.502657148508,0.359257322822,0,1,0,0,0.55,40011.2848959,0.414735122552,0.000172836144217,2399.58559843,3.04088602425
2.25,0.482542406614,0.018,0.136594403317,40.7917321197,3218.68687067,40.7917321197,22.4354526659,34.7018207199,1.56660527955,23.0083590827,2.00068777263,40.0140023453,56.0192576336,3.00108985509,1.00035623095,3.00108985509,6.00217971017,36.0128384224,0.0667671001039,18.8902182292,18.8928783969,0.143283821581,0.143283821581,0.143283821581,0,0.00001,0.00001,1.52481709469,0,0.00195697724899,0.0686605677865,144853.912637,33042.2030157,0.0049773799298,0.0276763840758,8.37607106966e-7,0.142289189189,2.86681856807,0.00162016281526,0.0087983678151,7.58857796207,0.000202926470239,6971.90514072,0.0000474122527122,0.0414445479661,0.0000059445082986,0.00000370503802833,0.00000223947027027,0,11.2956214605,2.83585,18.8955401009,2.8639087831,0.0000152481709469,0,0.143222765423,0.143263477115,2.83585,0.5543145216,0.363528533049,0,1,0,0,0.55,40014.1081565,0.414868507128,0.00017289920153,2399.48191465,3.04099677728
2.5,0.56909439145,0.018,0.136908626182,40.9431576392,3223.27594053,40.9431576392,22.5187367016,34.6679208086,1.74110946571,23.0100321784,2.0008254324,40.0168049571,56.0231121073,3.00130799289,1.00042753166,3.00130799289,6.00261598577,36.0154080715,0.0674279006752,18.8915480876,18.8942090904,0.143283821581,0.143283821581,0.143283821581,0,0.00001,0.00001,1.66339191305,0,0.00195697724899,0.0809959747398,146401.751191,33050.4970657,0.00497642214422,0.027685803204,8.37681900788e-7,0.142324324324,2.87090952008,0.00162021907549,0.00886505288967,7.60603478787,0.000202958070265,6966.43488109,0.0000526802807913,0.0437606528475,0.00000628164241746,0.00000404175052556,0.00000223989189189,0,11.2871506825,2.8365,18.8968713611,2.86767642567,0.0000166339191305,0,0.143202400249,0.143243124719,2.8365,0.612525260888,0.368238691124,0,1,0,0,0.55,40016.9319467,0.415001872861,0.000172962258842,2399.37819753,3.04110753031
2.75,0.65259586598,0.018,0.137221289446,41.09383158,3227.88204576,41.09383158,22.601607369,34.6342771852,1.91569819785,23.0117055022,2.00096311094,40.0196079509,56.0269671062,3.00152616041,1.00049884208,3.00152616041,6.00305232082,36.0179780708,0.068087732373,18.8928783969,18.8955401009,0.143283821581,0.143283821581,0.143283821581,0,0.00001,0.00001,1.81651906979,0,0.00195697724899,0.0929031947264,147941.907273,33058.742096,0.00497546435865,0.0276951825064,8.37756694611e-7,0.142359459459,2.87500047208,0.00162027533572,0.00893140698253,7.62340496925,0.000202989670292,6961.01402576,0.0000579483088705,0.0463195351777,0.00000665413616555,0.00000441382265203,0.00000224031351351,0,11.2787593375,2.83715,18.8982028028,2.87144406823,0.0000181651906979,0,0.143182030221,0.143222765423,2.83715,0.678367208689,0.373443483182,0,1,0,0,0.55,40019.7561218,0.415135219745,0.000173025316155,2399.27444706,3.04121828334
3,0.733153872235,0.018,0.137532390453,41.2437526611,3232.50510182,41.2437526611,22.6840639636,34.6008892912,2.0903706972,23.0133789662,2.00110080102,40.0224111797,56.0308224286,3.00174434623,1.00057015848,3.00174434623,6.00348869246,36.0205482857,0.0687465550629,18.8942090904,18.8968713611,0.143283821581,0.143283821581,0.143283821581,0,0.00001,0.00001,1.98610633066,0,0.00195697724899,0.104397148412,149474.367789,33066.9380428,0.00497450657307,0.0277045219183,8.37831488433e-7,0.142394594595,2.87909142409,0.00162033159595,0.00899742952954,7.64068835852,0.000203021270319,6955.64249097,0.0000632163369496,0.0491529176668,0.00000706662507894,0.00000482588994381,0.00000224073513514,0,11.2704472983,2.8378,18.8995343561,2.8752117108,0.0000198610633066,0,0.143161656372,0.143202400249,2.8378,0.745589450073,0.375402584726,0,1,0,0,0.55,40022.5805337,0.415268547774,0.000173088373468,2399.17066325,3.04132903638
3.25,0.810871722075,0.018,0.137841926713,41.3843424813,3237.14502399,41.3843424813,22.7613883647,34.5677565284,2.26512618392,23.0150524806,2.00123849524,40.0252144928,56.0346778666,3.00196253861,1.00064147702,3.00196253861,6.00392507721,36.0231185778,0.0694043290638,18.8955401009,18.8982028028,0.143283821581,0.143283821581,0.143283821581,0,0.00001,0.00001,2.17249872792,0,0.00195697724899,0.115492240221,150999.120473,33075.0848456,0.00497354878749,0.0277138213782,8.37906282255e-7,0.14242972973,2.8831823761,0.00162038785618,0.00906312000234,7.65788481737,0.000203052870345,6950.32018492,0.0000684843650287,0.0522660430758,0.00000751994752547,0.00000527879076871,0.00000224115675676,0,11.2622144242,2.83845,18.9008659494,2.87897935337,0.0000217249872792,0,0.143141279746,0.143182030221,2.83845,0.820149576771,0.377514410587,0,1,0,0,0.55,40025.4050305,0.415401856943,0.000173151430781,2399.06684612,3.04143978941
