Years,Available Area for Marsh Encroachment,Conversion to High Marsh,Conversion to Low Marsh,Days Recreating[Birding],Days Recreating[Hiking],Days Recreating[Marsh Walking],Days Recreating[Marsh Driving],Days Recreating[Boat Fishing],Days Recreating[Land Fishing],Days Recreating[Duck Hunting],Days Recreating[Pleasure Boating],Days Recreating[Marsh Work],Delay in Action Erosion Control,="Delay in Action: Flood Control",Delay in Erosion Control Implementation,Delay in Flood Control Implementation High Marsh,Delay in Flood Control Implementation Low Marsh,Erosion Control Rate,Fiddler Crab Carrying Capacity,Fiddler Crab Mortality Rate,Fiddler Crabs,="Flood Mitigation Rate: High Marsh",="Flood Mitigation Rate: Low Marsh",Forest Converted to High Marsh,High Marsh Area,High Marsh Conversion Rate,High Marsh Erosion,High Marsh Erosion Rate,High Marsh to Upland Conversion Rate,High Sea Level Rise,="Horizontal Growth Rate: Low Marsh",="Inundation Loss Rate: Low Marsh",Low Marsh Area,Low Marsh Conversion Rate,Low Marsh Erosion,Low Marsh Erosion Rate,="Low Marsh Erosion Rate: Fiddler Crabs",="Low Marsh Erosion Rate: SLR",="Low Marsh Growth: Fiddlers",Low Marsh Horizontal Growth,Low Sea Level Rise,Mean Days Recreating,Mean Mitigation Rate,Medium Sea Level Rise,Mortality,Mortality Rate mediated by Low Marsh Area,Policy Demand Flood Control,="Policy Demand: Erosion Control",Rate of Sea Level Rise,Recruitment,Recruitment Rate,Salt Water Inundation in Low Marsh,Scenario 1,Scenario 2,Scenario 3,Total Marsh Area,Upland Border Decay,Upland Border Decay Rate,Upland Border Extent,="Vertical Growth Rate: Low Marsh"
1,0,46.2281845868,0,23,2,40,56,3,1,3,6,36,18.8888888889,18.8888888889,0.143283821581,0.143283821581,0.143283821581,0.0041051417636,0.00001,0.00001,1,0.00162185751185,0.00195697724899,0,33000,0.00498216885769,0.0276286935492,8.37233137854e-7,0.142113513514,2.84636380803,0.00161988151409,0.00048962627027,7000,0.0000210721123166,0,-0.00408122862059,0.0000024298245614,0.0000214833184503,0,11.3391705987,2.8326,18.8888888889,0.00256132550815,2.84507057027,0.00001,0,0.143283821581,0.143283821581,2.8326,0.34569,0.34569,0,1,0,0,40000,0,0.000172583914966,2400,3.04044301213
1.25,0,46.1638864497,0,23.0016755221,2.00013785942,40.0028066763,56.0038600637,3.00021845415,1.00007140411,3.00021845415,6.00043690831,36.0025733758,18.8888888889,18.8888888889,0.143283821581,0.143283821581,0.143283821581,0.0041051417636,0.00001,0.00001,1.08642,0.00162185751185,0.00195697724899,0,33011.550139,0.00498121107211,0.0276408327683,8.37307931676e-7,0.142148648649,2.85045476004,0.00161993777433,0.000489717972973,6991.2777465,0.0000263401403957,0,-0.00408101398284,0.00000263981,0.0000214879707556,0,11.3254349124,2.83325,18.8902220798,0.00256132550815,2.84883821283,0.0000108642,0,0.143283821581,0.143283821581,2.83325,0.378755797073,0.3486274158,0,1,0,0,40002.8278855,0,0.000172646972279,2400,3.04055376516
1.5,0,46.0996884754,0,23.0033490079,2.00027555128,40.0056099415,56.0077154359,3.0004366428,1.00014272143,3.0004366428,6.0008732856,36.0051436239,18.8888888889,18.8888888889,0.143283821581,0.143283821581,0.143283821581,0.0041051417636,0.00001,0.00001,1.18110623322,0.00162185751185,0.00195697724899,0,33023.0842004,0.00498025328653,0.0276529602521,8.37382725499e-7,0.142183783784,2.85454571205,0.00161999403456,0.000489809675676,6982.56813362,0.0000316081684748,0,-0.0040807792596,0.0000028698809351,0.0000214926230608,0,11.3117187224,2.8339,18.8915536503,0.00256132550815,2.8526058554,0.0000118110623322,0,0.143283821581,0.143283821581,2.8339,0.415567268536,0.351845800867,0,1,0,0,40005.652334,0,0.000172710029591,2400,3.04066451819
1.75,0,46.0355904945,0,23.0050204601,2.00041307583,40.0084098003,56.0115661233,3.00065456632,1.0002139521,3.00065456632,6.00130913264,36.0077107489,18.8888888889,18.8902220798,0.143283821581,0.143283821581,0.143283821581,0.0041051417636,0.00001,0.00001,1.28499509759,0.00162185751185,0.00195697724899,0,33034.6022093,0.00497929550096,0.0276650760179,8.37457519321e-7,0.142218918919,2.85863666405,0.00162005029479,0.000489901378378,6973.87114118,0.0000368761965539,0,-0.00408052217558,0.0000031223126494,0.0000214972753661,0,11.2980219981,2.83455,18.8928836029,0.00256132550815,2.85637349797,0.0000128499509759,0,0.143263418185,0.143283821581,2.83455,0.456657681422,0.355376983367,0,1,0,0,40008.4733504,0,0.000172773086904,2400,3.04077527122
2,0,45.9715923379,0,23.0066898818,2.00055043331,40.0112062576,56.0154121326,3.00087222509,1.00028509623,3.00087222509,6.00174445018,36.0102747551,18.8888888889,18.8915536503,0.143283821581,0.143283821581,0.143283821581,0.0041051417636,0.00001,0.00001,1.39915630545,0.00162185751185,0.00195697724899,0,33046.1041906,0.00497833771538,0.0276771800831,8.37532313143e-7,0.142254054054,2.86272761606,0.00162010655502,0.000489993081081,6965.18674906,0.0000421442246331,0,-0.00408024013157,0.00000339970435624,0.0000215019276713,0,11.2843447091,2.8352,18.8942119397,0.00256132550815,2.86014114053,0.0000139915630545,0,0.143243039586,0.143283821581,2.8352,0.502657148508,0.359257322822,0,1,0,0,40011.2909397,0,0.000172836144217,2400,3.04088602425
2.25,0,45.9076938366,0,23.0083572756,2.00068762394,40.0139993183,56.0192534704,3.00108961948,1.00035615394,3.00108961948,6.00217923896,36.012835647,18.8902220798,18.8928836029,0.143283821581,0.143283821581,0.143283821581,0.0041051417636,0.00001,0.00001,1.52481709469,0.00162185751185,0.00195697724899,0,33057.5901694,0.0049773799298,0.0276892724651,8.37607106966e-7,0.142289189189,2.86681856807,0.00162016281526,0.000490084783784,6956.51493715,0.0000474122527122,0,-0.00407993014559,0.00000370503802833,0.0000215065799766,0,11.2706868249,2.83585,18.895538663,0.00256132550815,2.8639087831,0.0000152481709469,0,0.14322268575,0.143263418185,2.83585,0.5543145216,0.363528533049,0,1,0,0,40014.1051065,0,0.00017289920153,2400,3.04099677728
2.5,0,45.8438948223,0,23.0100226446,2.00082464798,40.016788987,56.0230901434,3.00130674987,1.00042712536,3.00130674987,6.00261349974,36.0153934289,18.8915536503,18.8942119397,0.143283821581,0.143283821581,0.143283821581,0.0041051417636,0.00001,0.00001,1.66339191305,0.00162185751185,0.00195697724899,0,33069.0601705,0.00497642214422,0.0277013531809,8.37681900788e-7,0.142324324324,2.87090952008,0.00162021907549,0.000490176486486,6947.8556854,0.0000526802807913,0,-0.00407958878079,0.00000404175052556,0.0000215112322818,0,11.2570483152,2.8365,18.8968637752,0.00256132550815,2.86767642567,0.0000166339191305,0,0.143202356642,0.143243039586,2.8365,0.612525260888,0.368238691124,0,1,0,0,40016.9158559,0,0.000172962258842,2400,3.04110753031
2.75,0,45.7801951266,0,23.0116859917,2.00096150564,40.0195752687,56.026922158,3.00152361663,1.00049801062,3.00152361663,6.00304723327,36.0179481053,18.8928836029,18.895538663,0.143283821581,0.143283821581,0.143283821581,0.0041051417636,0.00001,0.00001,1.81651906979,0.00162185751185,0.00195697724899,0,33080.5142189,0.00497546435865,0.0277134222481,8.37756694611e-7,0.142359459459,2.87500047208,0.00162027533572,0.000490268189189,6939.20897377,0.0000579483088705,0,-0.00407921205636,0.00000441382265203,0.0000215158845871,0,11.2434291496,2.83715,18.8981872785,0.00256132550815,2.87144406823,0.0000181651906979,0,0.143182052226,0.143222685751,2.83715,0.678367208689,0.373443483182,0,1,0,0,40019.7231927,0,0.000173025316155,2400,3.04121828334
3,0,45.7165945816,0,23.0133473196,2.00109819718,40.0223581682,56.030749521,3.00174022014,1.00056880982,3.00174022014,6.00348044029,36.0204996807,18.8942119397,18.8968637752,0.143283821581,0.143283821581,0.143283821581,0.0041051417636,0.00001,0.00001,1.98610633066,0.00162185751185,0.00195697724899,0,33091.9523393,0.00497450657307,0.0277254796836,8.37831488433e-7,0.142394594595,2.87909142409,0.00162033159595,0.000490359891892,6930.57478228,0.0000632163369496,0,-0.00407879533676,0.00000482588994381,0.0000215205368923,0,11.2298292978,2.8378,18.8995091752,0.00256132550815,2.8752117108,0.0000198610633066,0,0.143161772468,0.143202356642,2.8378,0.745589450073,0.375402584726,0,1,0,0,40022.5271216,0,0.000173088373468,2400,3.04132903638
3.25,0,45.6530930198,0,23.0150066312,2.00123472282,40.0251376902,56.0345722389,3.00195656077,1.0006395231,3.00195656077,6.00391312155,36.0230481593,18.895538663,18.8981872785,0.143283821581,0.143283821581,0.143283821581,0.0041051417636,0.00001,0.00001,2.17249872792,0.00162185751185,0.00195697724899,0,33103.3745566,0.00497354878749,0.0277375255048,8.37906282255e-7,0.14242972973,2.8831823761,0.00162038785618,0.000490451594595,6921.95309095,0.0000684843650287,0,-0.00407833778363,0.00000527879076871,0.0000215251891976,0,11.2162487297,2.83845,18.9008294676,0.00256132550815,2.87897935337,0.0000217249872792,0,0.143141517332,0.143182052227,2.83845,0.820149576771,0.377514410587,0,1,0,0,40025.3276476,0,0.000173151430781,2400,3.04143978941
