Years,Available Area for Marsh Encroachment,Conversion to High Marsh,Conversion to Low Marsh,Days Recreating[Birding],Days Recreating[Hiking],Days Recreating[Marsh Walking],Days Recreating[Marsh Driving],Days Recreating[Boat Fishing],Days Recreating[Land Fishing],Days Recreating[Duck Hunting],Days Recreating[Pleasure Boating],Days Recreating[Marsh Work],Delay in Action Erosion Control,="Delay in Action: Flood Control",Delay in Erosion Control Implementation,Delay in Flood Control Implementation High Marsh,Delay in Flood Control Implementation Low Marsh,Erosion Control Rate,Fiddler Crab Carrying Capacity,Fiddler Crab Mortality Rate,Fiddler Crabs,="Flood Mitigation Rate: High Marsh",="Flood Mitigation Rate: Low Marsh",Forest Converted to High Marsh,High Marsh Area,High Marsh Conversion Rate,High Marsh Erosion,High Marsh Erosion Rate,High Marsh to Upland Conversion Rate,High Sea Level Rise,="Horizontal Growth Rate: Low Marsh",="Inundation Loss Rate: Low Marsh",Low Marsh Area,Low Marsh Conversion Rate,Low Marsh Erosion,Low Marsh Erosion Rate,="Low Marsh Erosion Rate: Fiddler Crabs",="Low Marsh Erosion Rate: SLR",="Low Marsh Growth: Fiddlers",Low Marsh Horizontal Growth,Low Sea Level Rise,Mean Days Recreating,Mean Mitigation Rate,Medium Sea Level Rise,Mortality,Mortality Rate mediated by Low Marsh Area,Policy Demand Flood Control,="Policy Demand: Erosion Control",Rate of Sea Level Rise,Recruitment,Recruitment Rate,Salt Water Inundation in Low Marsh,Scenario 1,Scenario 2,Scenario 3,Total Marsh Area,Upland Border Decay,Upland Border Decay Rate,Upland Border Extent,="Vertical Growth Rate: Low Marsh"
1,0,34.8751820038,0.695379706446,23,2,40,56,3,1,3,6,36,18.8888888889,18.8888888889,0.143283821581,0.143283821581,0.143283821581,0,0.00001,0.00001,1,0,0,0,33000,0.00498216885769,0.0276286935492,8.37233137854e-7,0.142113513514,2.84636380803,0.00161988151409,0.00048962627027,7000,0.0000210721123166,0.150383229152,0.0000214833184503,0,0.0000214833184503,0.00000242982456141,11.3561793706,2.8326,18.8888888889,0,2.84507057027,0.00001,0,0.143283821581,0.143283821581,2.8326,0.34569,0.34569,3.42738389189,1,0,0,40000,0.414201395918,0.000172583914966,2400,3.04044301213
1.25,0.10355034898,34.8355997807,0.86944952632,23.0011480848,2.00009446267,40.0019231632,56.0026449549,3.00014968701,1.00004892682,3.00014968701,6.00029937401,36.0017633033,18.8888888889,18.8888888889,0.143283821581,0.143283821581,0.143283821581,0,0.00001,0.00001,1.08642,0,0,0.0147195421745,33008.5380434,0.00498121107211,0.0276383107168,8.37307931676e-7,0.142148648649,2.85045476004,0.00161993777433,0.000489717972973,6993.39965249,0.0000263401403957,0.150273967215,0.0000214879707556,0,0.0000214879707556,0.00000263981,11.3473335144,2.83325,18.8898024049,0,2.84883821283,0.0000108642,0,0.143283821581,0.143283821581,2.83325,0.378755797073,0.3486274158,3.42479350201,1,0,0,40001.9376959,0.414334855815,0.000172646972279,2399.89644965,3.04055376516
1.5,0.20345417739,34.7962885589,1.04360773145,23.0022974381,2.00018902972,40.0038484512,56.0052928321,3.0002995394,1.0000979077,3.0002995394,6.0005990788,36.0035285548,18.8888888889,18.8888888889,0.143283821581,0.143283821581,0.143283821581,0,0.00001,0.00001,1.18110623322,0,0,0.0289278847679,33017.0263513,0.00498025328653,0.0276478875139,8.37382725499e-7,0.142183783784,2.85454571205,0.00161999403456,0.000489809675676,6986.85118144,0.0000316081684748,0.150165758825,0.0000214926230608,0,0.0000214926230608,0.0000028698809351,11.3387086653,2.8339,18.8907169301,0,2.8526058554,0.0000118110623322,0,0.143283821581,0.143283821581,2.8339,0.415567268536,0.351845800867,3.42222731117,1,0,0,40003.8775327,0.414468296889,0.000172710029591,2399.79286594,3.04066451819
1.75,0.29983928042,34.7572482057,1.21785353278,23.0034480132,2.00028369729,40.0057757859,56.0079435241,3.00044955109,1.00014694065,3.00044955109,6.00089910218,36.0052956828,18.8888888889,18.8898024049,0.143283821581,0.143283821581,0.143283821581,0,0.00001,0.00001,1.28499509759,0,0,0.0426428183107,33025.4648415,0.00497929550096,0.0276574238606,8.37457519321e-7,0.142218918919,2.85863666405,0.00162005029479,0.000489901378378,6980.35459013,0.0000368761965539,0.150058604777,0.0000214972753661,0,0.0000214972753661,0.0000031223126494,11.3303203609,2.83455,18.8916324276,0,2.85637349797,0.0000128499509759,0,0.143269840966,0.143283821581,2.83455,0.456657681422,0.355376983367,3.41968533527,1,0,0,40005.8194316,0.414601719137,0.000172773086904,2399.68924886,3.04077527122
2,0.392829005626,34.718478607,1.39218613972,23.0045997683,2.00037846195,40.0077050971,56.0105969346,3.00059971663,1.00019602388,3.00059971663,6.00119943326,36.0070646231,18.8888888889,18.8907169301,0.143283821581,0.143283821581,0.143283821581,0,0.00001,0.00001,1.39915630545,0,0,0.0558815186004,33033.8534365,0.00497833771538,0.0276669196807,8.37532313143e-7,0.142254054054,2.86272761606,0.00162010655502,0.000489993081081,6973.90988556,0.0000421442246331,0.149952505946,0.0000215019276713,0,0.0000215019276713,0.00000339970435624,11.3221863516,2.8352,18.8925488639,0,2.86014114053,0.0000139915630545,0,0.143255844905,0.143283821581,2.8352,0.502657148508,0.359257322822,3.41716759201,1,0,0,40007.7633221,0.414735122552,0.000172836144217,2399.58559843,3.04088602425
2.25,0.482542406614,34.6799796696,1.56660476027,23.0057526668,2.00047332069,40.0096363237,56.0132529792,3.00075003124,1.00024515584,3.00075003124,6.00150006248,36.0088353195,18.8898024049,18.8916324276,0.143283821581,0.143283821581,0.143283821581,0,0.00001,0.00001,1.52481709469,0,0,0.0686605677865,33042.1920633,0.0049773799298,0.0276763749019,8.37607106966e-7,0.142289189189,2.86681856807,0.00162016281526,0.000490084783784,6967.51707901,0.0000474122527122,0.149847463298,0.0000215065799766,0,0.0000215065799766,0.00000370503802833,11.3143270018,2.83585,18.8934662101,0,2.8639087831,0.0000152481709469,0,0.143241833965,0.143269840967,2.83585,0.5543145216,0.363528533049,3.41467410118,1,0,0,40009.7091423,0.414868507128,0.00017289920153,2399.48191465,3.04099677728
2.5,0.56909439145,34.6417513251,1.74110860109,23.0069066775,2.00056827093,40.0115694134,56.0159115862,3.00090049087,1.0002943352,3.00090049087,6.00180098173,36.0106077241,18.8907169301,18.8925488639,0.143283821581,0.143283821581,0.143283821581,0,0.00001,0.00001,1.66339191305,0,0,0.0809959747398,33050.480653,0.00497642214422,0.0276857894554,8.37681900788e-7,0.142324324324,2.87090952008,0.00162021907549,0.000490176486486,6961.17618664,0.0000526802807913,0.149743477906,0.0000215112322818,0,0.0000215112322818,0.00000404175052557,11.3067657829,2.8365,18.8943844412,0,2.86767642567,0.0000166339191305,0,0.143227808656,0.143255844905,2.8365,0.612525260888,0.368238691124,3.41220488498,1,0,0,40011.6568397,0.415001872861,0.000172962258842,2399.37819753,3.04110753031
2.75,0.65259586598,34.6037935329,1.91569686766,23.0080617752,2.00066331061,40.0135043238,56.0185726972,3.0010510922,1.00034356088,3.0010510922,6.00210218441,36.0123817981,18.8916324276,18.8934662101,0.143283821581,0.143283821581,0.143283821581,0,0.00001,0.00001,1.81651906979,0,0,0.0929031947264,33058.7191413,0.00497546435865,0.0276951632758,8.37756694611e-7,0.142359459459,2.87500047208,0.00162027533572,0.000490268189189,6954.88723032,0.0000579483088705,0.149640550964,0.0000215158845871,0,0.0000215158845871,0.00000441382265204,11.2995298808,2.83715,18.8953035372,0,2.87144406823,0.0000181651906979,0,0.143213769424,0.143241833965,2.83715,0.678367208689,0.373443483182,3.40975996842,1,0,0,40013.6063716,0.415135219745,0.000173025316155,2399.27444706,3.04121828334
3,0.733153872235,34.5661062853,2.09036876434,23.0092179408,2.00075843816,40.0154410231,56.0212362686,3.00120183278,1.00039283207,3.00120183278,6.00240366557,36.0141575124,18.8925488639,18.8943844412,0.143283821581,0.143283821581,0.143283821581,0,0.00001,0.00001,1.98610633066,0,0,0.104397148412,33066.9074674,0.00497450657307,0.0277044963013,8.37831488433e-7,0.142394594595,2.87909142409,0.00162033159595,0.000490359891892,6948.65023849,0.0000632163369496,0.149538683809,0.0000215205368923,0,0.0000215205368923,0.00000482588994381,11.292650952,2.8378,18.8962234829,0,2.8752117108,0.0000198610633066,0,0.143199716647,0.143227808656,2.8378,0.745589450073,0.375402584726,3.40733937974,1,0,0,40015.5577059,0.415268547774,0.000173088373468,2399.17066325,3.04132903638
3.25,0.810871722075,34.5286896131,2.2651234945,23.0103751622,2.00085365259,40.0173794911,56.0239022725,3.00135271102,1.00044214826,3.00135271102,6.00270542205,36.0159348483,18.8934662101,18.8953035372,0.143283821581,0.143283821581,0.143283821581,0,0.00001,0.00001,2.17249872792,0,0,0.115492240221,33075.045575,0.00497354878749,0.0277137884732,8.37906282255e-7,0.14242972973,2.8831823761,0.00162038785618,0.000490451594595,6942.46524733,0.0000684843650287,0.149437877946,0.0000215251891976,0,0.0000215251891976,0.00000527879076871,11.2861342002,2.83845,18.8971442688,0,2.87897935337,0.0000217249872792,0,0.143185650635,0.143213769424,2.83845,0.820149576771,0.377514410587,3.40494315097,1,0,0,40017.5108223,0.415401856943,0.000173151430781,2399.06684612,3.04143978941
