Years,Available Area for Marsh Encroachment,Conversion to High Marsh,Conversion to Low Marsh,Days Recreating[Birding],Days Recreating[Hiking],Days Recreating[Marsh Walking],Days Recreating[Marsh Driving],Days Recreating[Boat Fishing],Days Recreating[Land Fishing],Days Recreating[Duck Hunting],Days Recreating[Pleasure Boating],Days Recreating[Marsh Work],Delay in Action Erosion Control,="Delay in Action: Flood Control",Delay in Erosion Control Implementation,Delay in Flood Control Implementation High Marsh,Delay in Flood Control Implementation Low Marsh,Erosion Control Rate,Fiddler Crab Carrying Capacity,Fiddler Crab Mortality Rate,Fiddler Crabs,="Flood Mitigation Rate: High Marsh",="Flood Mitigation Rate: Low Marsh",Forest Converted to High Marsh,High Marsh Area,High Marsh Conversion Rate,High Marsh Erosion,High Marsh Erosion Rate,High Marsh to Upland Conversion Rate,High Sea Level Rise,="Horizontal Growth Rate: Low Marsh",="Inundation Loss Rate: Low Marsh",Low Marsh Area,Low Marsh Conversion Rate,Low Marsh Erosion,Low Marsh Erosion Rate,="Low Marsh Erosion Rate: Fiddler Crabs",="Low Marsh Erosion Rate: SLR",="Low Marsh Growth: Fiddlers",Low Marsh Horizontal Growth,Low Sea Level Rise,Mean Days Recreating,Mean Mitigation Rate,Medium Sea Level Rise,Mortality,Mortality Rate mediated by Low Marsh Area,Policy Demand Flood Control,="Policy Demand: Erosion Control",Rate of Sea Level Rise,Recruitment,Recruitment Rate,Salt Water Inundation in Low Marsh,Scenario 1,Scenario 2,Scenario 3,Total Marsh Area,Upland Border Decay,Upland Border Decay Rate,Upland Border Extent,="Vertical Growth Rate: Low Marsh"
1,0,34.7465528863,4.03068027995,23,2,40,56,3,1,3,6,36,18.8888888889,18.8888888889,0.143283821581,0.143283821581,0.143283821581,0,0.00001,0.00001,1,0,0,0,33000,0.00496379326947,0.0276760471082,8.38668094189e-7,0.142787598393,2.84636380803,0.00162096089437,0.000491385631805,7000,0.000122141826665,0.151008026531,0.0000215725752188,0,0.0000215725752188,0.00000242982456141,11.3637350325,2.8326,18.8888888889,0,2.84507057027,0.00001,0,0.143283821581,0.143283821581,2.84507057027,0.34569,0.34569,3.43969942264,0,1,0,40000,0.417104881393,0.00017379370058,2400,3.0425678636
1.25,0.104276220348,34.6792520658,5.03952169756,23.0011472802,2.00009439647,40.0019218153,56.0026431012,3.0001495821,1.00004889253,3.0001495821,6.0002991642,36.0017620675,18.8888888889,18.8888888889,0.143283821581,0.143283821581,0.143283821581,0,0.00001,0.00001,1.08642,0,0,0.0149105875879,33007.6720491,0.00495824158683,0.027696791323,8.39101627095e-7,0.142991254748,2.85045476004,0.00162128699967,0.000491917174892,6994.26428874,0.000152677283332,0.151072903278,0.0000215995417161,0,0.0000215995417161,0.00000263981,11.3581732924,2.83325,18.8898017646,0,2.84883821283,0.0000108642,0,0.143283821581,0.143283821581,2.84883821283,0.378755797073,0.3486274158,3.44059872936,0,1,0,40001.9363379,0.417963929648,0.000174159204297,2399.89572378,3.0432098295
1.5,0.205039555863,34.6133393004,6.04878304548,23.0022957993,2.00018889488,40.003845706,56.0052890566,3.00029932573,1.00009783786,3.00029932573,6.00059865146,36.0035260377,18.8888888889,18.8888888889,0.143283821581,0.143283821581,0.143283821581,0,0.00001,0.00001,1.18110623322,0,0,0.0293606209744,33015.0787852,0.0049526899042,0.0277173194504,8.39535160001e-7,0.143194911103,2.85454571205,0.00162161310497,0.000492448717978,6988.79598157,0.000183212739998,0.151143253698,0.0000216265082135,0,0.0000216265082135,0.0000028698809351,11.353180164,2.8339,18.8907156261,0,2.8526058554,0.0000118110623322,0,0.143283821581,0.143283821581,2.8526058554,0.415567268536,0.351845800867,3.44162362133,0,1,0,40003.8747667,0.418822864196,0.000174524708013,2399.7912328,3.0438517954
1.75,0.302405116669,34.5488094804,7.05844004647,23.0034455539,2.00028349494,40.0057716663,56.0079378584,3.00044923045,1.00014683584,3.00044923045,6.0008984609,36.0052919056,18.8888888889,18.8898017646,0.143283821581,0.143283821581,0.143283821581,0,0.00001,0.00001,1.28499509759,0,0,0.0433644605222,33022.2203351,0.00494713822157,0.0277376312517,8.39968692907e-7,0.143398567458,2.85863666405,0.00162193921028,0.000492980261064,6983.59494583,0.000213748196664,0.15121909655,0.0000216534747108,0,0.0000216534747108,0.0000031223126494,11.3487714382,2.83455,18.8916304708,0,2.85637349797,0.0000128499509759,0,0.143269850764,0.143283821581,2.85637349797,0.456657681422,0.355376983367,3.44277445956,0,1,0,40005.8152809,0.419681684805,0.000174890211729,2399.68652708,3.0444937613
2,0.39648442274,34.4856574943,8.06846844085,23.0045965451,2.00037819675,40.007699698,56.010589509,3.00059929639,1.00019588652,3.00059929639,6.00119859278,36.0070596727,18.8888888889,18.8907156261,0.143283821581,0.143283821581,0.143283821581,0,0.00001,0.00001,1.39915630545,0,0,0.0569360448125,33029.0968341,0.00494158653893,0.027757726496,8.40402225813e-7,0.143602223813,2.86272761606,0.00162226531558,0.000493511804151,6978.66104794,0.00024428365333,0.151300450562,0.0000216804412082,0,0.0000216804412082,0.00000339970435624,11.3449651516,2.8352,18.8925462993,0,2.86014114053,0.0000139915630545,0,0.143255864861,0.143283821581,2.86014114053,0.502657148508,0.359257322822,3.44405160433,0,1,0,40007.7578821,0.420540391246,0.000175255715446,2399.58160666,3.0451357272
2.25,0.487385509348,34.4238782315,9.07884398774,23.0057487786,2.00047300077,40.0096298106,56.0132440216,3.0007495243,1.00024499014,3.0007495243,6.0014990486,36.0088293477,18.8898017646,18.8916304708,0.143283821581,0.143283821581,0.143283821581,0,0.00001,0.00001,1.52481709469,0,0,0.0700889021527,33035.708426,0.0049360348563,0.0277776049592,8.40835758719e-7,0.143805880168,2.86681856807,0.00162259142088,0.000494043347237,6973.99415395,0.000274819109997,0.151387334436,0.0000217074077055,0,0.0000217074077055,0.00000370503802833,11.341781997,2.83585,18.8934631163,0,2.8639087831,0.0000152481709469,0,0.143241863913,0.143269850765,2.8639087831,0.5543145216,0.363528533049,3.44545541543,0,1,0,40009.7025799,0.421398983286,0.000175621219162,2399.47647156,3.0457776931
2.5,0.575213029631,34.3634665862,10.0895424663,23.0069022651,2.00056790789,40.0115620221,56.0159014208,3.00089991558,1.00029414716,3.00089991558,6.00179983115,36.0106009472,18.8907156261,18.8925462993,0.143283821581,0.143283821581,0.143283821581,0,0.00001,0.00001,1.66339191305,0,0,0.0828361617989,33042.0552624,0.00493048317367,0.0277972664244,8.41269291625e-7,0.144009536522,2.87090952008,0.00162291752618,0.000494574890324,6969.5941302,0.000305354566663,0.151479766868,0.0000217343742029,0,0.0000217343742029,0.00000404175052557,11.339245825,2.8365,18.8943809303,0,2.86767642567,0.0000166339191305,0,0.143227847906,0.143255864861,2.86767642567,0.612525260888,0.368238691124,3.44698625254,0,1,0,40011.6493926,0.422257460697,0.000175986722878,2399.37112182,3.046419659
2.75,0.660068354356,34.3044174608,11.1005396769,23.0080570207,2.00066291943,40.0134963596,56.018561744,3.00105047232,1.00034335827,3.00105047232,6.00210094465,36.012374496,18.8916304708,18.8934631163,0.143283821581,0.143283821581,0.143283821581,0,0.00001,0.00001,1.81651906979,0,0,0.095190564899,33048.1375031,0.00492493149103,0.0278167106819,8.41702824532e-7,0.144213192877,2.87500047208,0.00162324363148,0.00049510643341,6965.46084412,0.000335890023329,0.151577766563,0.0000217613407002,0,0.0000217613407002,0.00000441382265204,11.3373842644,2.83715,18.8952997541,0,2.87144406823,0.0000181651906979,0,0.143213816771,0.143241863913,2.87144406823,0.678367208689,0.373443483182,3.44864447559,0,1,0,40013.5983472,0.423115823249,0.000176352226595,2399.26555745,3.0470616249
3,0.742049668943,34.2467257705,12.1118114424,23.0092130676,2.00075803721,40.0154328601,56.0212250418,3.00120119742,1.0003926244,3.00120119742,6.00240239485,36.0141500279,18.8925462993,18.8943809303,0.143283821581,0.143283821581,0.143283821581,0,0.00001,0.00001,1.98610633066,0,0,0.107164475163,33053.955316,0.0049193798084,0.0278359375287,8.42136357438e-7,0.144416849232,2.87909142409,0.00162356973678,0.000495637976497,6961.59416518,0.000366425479996,0.151681352256,0.0000217883071976,0,0.0000217883071976,0.00000482588994381,11.3362294936,2.8378,18.8962196054,0,2.8752117108,0.0000198610633066,0,0.143199770379,0.143227847906,2.8752117108,0.745589450073,0.375402584726,3.45043044522,0,1,0,40015.5494812,0.423974070709,0.000176717730311,2399.1597785,3.0477035908
3.25,0.82125206783,34.1903864492,13.1233336093,23.0103704343,2.00085326358,40.0173715714,56.0238913804,3.0013520946,1.00044194678,3.0013520946,6.00270418921,36.0159275869,18.8934631163,18.8952997541,0.143283821581,0.143283821581,0.143283821581,0,0.00001,0.00001,2.17249872792,0,0,0.118769889264,33059.5088767,0.00491382812577,0.0278549467691,8.42569890344e-7,0.144620505587,2.8831823761,0.00162389584209,0.000496169519583,6957.99396602,0.000396960936662,0.151790542737,0.0000218152736949,0,0.0000218152736949,0.00000527879076871,11.335787265,2.83845,18.8971405069,0,2.87897935337,0.0000217249872792,0,0.143185708531,0.143213816772,2.87897935337,0.820149576771,0.377514410587,3.45234452338,0,1,0,40017.5028428,0.424832202849,0.000177083234027,2399.05378498,3.0483455567
