Years,Available Area for Marsh Encroachment,Birth Rate,Births,Carbon Dioxide Released as a function of FF Consumption,Carbon in the Atmosphere,Carbon Released into the Atmosphere,Carbon Sequestration,Conversion to High Marsh,Conversion to Low Marsh,Days Recreating[Birding],Days Recreating[Hiking],Days Recreating[Marsh Walking],Days Recreating[Marsh Driving],Days Recreating[Boat Fishing],Days Recreating[Land Fishing],Days Recreating[Duck Hunting],Days Recreating[Pleasure Boating],Days Recreating[Marsh Work],Deaths,Delay in Action Erosion Control,Delay in Action: Flood Control,Delay in Erosion Control Implementation,Delay in Flood Control Implementation High Marsh,Delay in Flood Control Implementation Low Marsh,Erosion Control Rate,Fiddler Crab Carrying Capacity,Fiddler Crab Mortality Rate,Fiddler Crabs,Flood Mitigation Rate: High Marsh,Flood Mitigation Rate: Low Marsh,Forest Converted to High Marsh,Global Fossil Fuel Consumption,High Marsh Area,High Marsh Conversion Rate,High Marsh Erosion,High Marsh Erosion Rate,High Marsh to Upland Conversion Rate,High Sea Level Rise,Horizontal Growth Rate: Low Marsh,Human Mortality Rate,Human Population,Inundation Loss Rate: Low Marsh,Low Marsh Area,Low Marsh Conversion Rate,Low Marsh Erosion,Low Marsh Erosion Rate,Low Marsh Erosion Rate: Fiddler Crabs,Low Marsh Erosion Rate: SLR,Low Marsh Growth: Fiddlers,Low Marsh Horizontal Growth,Low Sea Level Rise,Mean Days Recreating,Medium Sea Level Rise,Mortality,Mortality Rate mediated by Low Marsh Area,Policy Demand Flood Control,Policy Demand: Erosion Control,Rate of Sea Level Rise,Recruitment,Recruitment Rate,Salt Water Inundation in Low Marsh,Scenario 1,Scenario 2,Scenario 3,Sequestration Rate,Total Marsh Area,Upland Border Decay,Upland Border Decay Rate,Upland Border Extent,Vertical Growth Rate: Low Marsh
1,0,0.018,0.135,40.02338144,3196,40.02338144,22.01285979,34.73321364,4.376561548,23,2,40,56,3,1,3,6,36,0.06345,18.88888889,18.88888889,0.143283822,0.143283822,0.143283822,0,0.00001,0.00001,1,0,0.001956977,0,137000,33000,0.004961888,0.027680958,8.39E-07,0.142857503,2.846363808,0.001621073,0.00846,7.5,0.000203438,7000,0.000132623,0.01572403,2.24629E-06,0,2.24629E-06,2.75413E-06,11.3667887,2.8326,18.88888889,2.84507057,0.00001,0,0.143283822,0.143283822,2.846363808,0.34569,0.34569,0,0,0,1,0.55,40000,0.417405982,0.000173919,2400,3.042788217
1.25,0.104351496,0.018,0.135321975,40.17854275,3200.50263,40.17854275,22.09819851,34.66746979,5.47195891,23.00167728,2.000138004,40.00280961,56.0038641,3.000218683,1.000071479,3.000218683,6.000437366,36.00257607,0.064115027,18.88888889,18.88888889,0.143283822,0.143283822,0.143283822,0,0.00001,0.00001,1.08642,0,0.001956977,0.01493047,138586.025,33007.58224,0.00495586,0.027702856,8.39E-07,0.143078636,2.85045476,0.001621427,0.00852833,7.5178875,0.000203636,6995.248603,0.000165779,0.01573192,2.24894E-06,0,2.24894E-06,2.99214E-06,11.36321514,2.83325,18.89022348,2.848838213,1.08642E-05,0,0.143283822,0.143283822,2.85045476,0.378755797,0.348627416,0,0,0,1,0.55,40002.83085,0.418340276,0.000174316,2399.895649,3.043485272
1.5,0.205203947,0.018,0.135642406,40.33296013,3205.022716,40.33296013,22.18312807,34.60321566,6.567802057,23.00335623,2.000276146,40.00562204,56.00773207,3.000437584,1.000143029,3.000437584,6.000875169,36.00515472,0.064779293,18.88888889,18.88888889,0.143283822,0.143283822,0.143283822,0,0.00001,0.00001,1.181106233,0,0.001956977,0.029405678,140164.4457,33014.87793,0.004949831,0.02772452,8.40E-07,0.143299768,2.854545712,0.001621781,0.008596333,7.535689237,0.000203835,6990.786596,0.000198935,0.015740436,2.2516E-06,0,2.2516E-06,3.25292E-06,11.36026538,2.8339,18.8915594,2.852605855,1.18111E-05,0,0.143283822,0.143283822,2.854545712,0.415567269,0.351845801,0,0,0,1,0.55,40005.66452,0.419274446,0.000174713,2399.791063,3.044182326
1.75,0.302671139,0.018,0.13596129,40.48663188,3209.560174,40.48663188,22.26764753,34.54044549,7.664062518,23.00503689,2.000414427,40.00843732,56.01160397,3.000656708,1.000214652,3.000656708,6.001313416,36.00773598,0.065442755,18.88888889,18.89022348,0.143283822,0.143283822,0.143283822,0,0.00001,0.00001,1.284995098,0,0.001956977,0.043439635,141735.2447,33021.8872,0.004943803,0.027745951,8.40E-07,0.143520901,2.858636664,0.001622135,0.008664007,7.553405015,0.000204034,6986.613874,0.00023209,0.01574958,2.25425E-06,0,2.25425E-06,3.53904E-06,11.35795748,2.83455,18.89289667,2.856373498,1.285E-05,0,0.143263397,0.143283822,2.858636664,0.456657681,0.355376983,0,0,0,1,0.55,40008.50108,0.420208493,0.00017511,2399.686245,3.044879381
2,0.396863354,0.018,0.136278624,40.63955638,3214.114921,40.63955638,22.35175601,34.47915353,8.760711847,23.00671928,2.000552852,40.0112555,56.01547985,3.000876058,1.000286349,3.000876058,6.001752115,36.0103199,0.066105371,18.88888889,18.8915594,0.143283822,0.143283822,0.143283822,0,0.00001,0.00001,1.399156305,0,0.001956977,0.057045945,143298.4055,33028.61022,0.004937775,0.027767147,8.41E-07,0.143742033,2.862727616,0.001622489,0.008731352,7.571034649,0.000204233,6982.73033,0.000265246,0.015759355,2.2569E-06,0,2.2569E-06,3.85345E-06,11.35631208,2.8352,18.89423533,2.860141141,1.39916E-05,0,0.143242952,0.143283822,2.862727616,0.502657149,0.359257323,0,0,0,1,0.55,40011.34055,0.421142415,0.000175507,2399.581193,3.045576435
2.25,0.487887471,0.018,0.136594403,40.79173212,3218.686871,40.79173212,22.43545267,34.41933401,9.85772162,23.00840343,2.000691422,40.01407664,56.01935981,3.001095637,1.000358121,3.001095637,6.002191275,36.01290654,0.0667671,18.89022348,18.89289667,0.143283822,0.143283822,0.143283822,0,0.00001,0.00001,1.524817095,0,0.001956977,0.070237825,144853.9126,33035.04715,0.004931747,0.02778811,8.41E-07,0.143963166,2.866818568,0.001622843,0.008798368,7.588577962,0.000204432,6979.135858,0.000298402,0.015769762,2.25956E-06,0,2.25956E-06,4.19954E-06,11.35535286,2.83585,18.89557539,2.863908783,1.52482E-05,0,0.143222486,0.143263397,2.866818568,0.554314522,0.363528533,0,0,0,1,0.55,40014.18301,0.422076213,0.000175904,2399.475907,3.046273489
2.5,0.575847068,0.018,0.136908626,40.94315764,3223.275941,40.94315764,22.5187367,34.36098119,10.95506344,23.0100894,2.00083014,40.0169008,56.02324393,3.001315453,1.00042997,3.001315453,6.002630906,36.01549595,0.067427901,18.8915594,18.89423533,0.143283822,0.143283822,0.143283822,0,0.00001,0.00001,1.663391913,0,0.001956977,0.083028105,146401.7512,33041.19817,0.004925719,0.027808837,8.42E-07,0.144184298,2.87090952,0.001623197,0.008865053,7.606034788,0.000204631,6975.830351,0.000331558,0.015780804,2.26221E-06,0,2.26221E-06,4.58119E-06,11.35510706,2.8365,18.89691689,2.867676426,1.66339E-05,0,0.143201999,0.143242952,2.87090952,0.612525261,0.368238691,0,0,0,1,0.55,40017.02852,0.423009886,0.0001763,2399.370388,3.046970544
2.75,0.660842513,0.018,0.137221289,41.09383158,3227.882046,41.09383158,22.60160737,34.30408932,12.05270893,23.01177721,2.000969011,40.01972807,56.02713231,3.00153551,1.000501898,3.00153551,6.00307102,36.01808821,0.068087732,18.89289667,18.89557539,0.143283822,0.143283822,0.143283822,0,0.00001,0.00001,1.81651907,0,0.001956977,0.095429248,147941.9073,33047.06345,0.004919691,0.02782933,8.42E-07,0.144405431,2.875000472,0.001623551,0.008931407,7.623404969,0.00020483,6972.813703,0.000364713,0.015792483,2.26487E-06,0,2.26487E-06,5.00292E-06,11.35560628,2.83715,18.89825986,2.871444068,1.81652E-05,0,0.14318149,0.143222486,2.875000472,0.678367209,0.373443483,0,0,0,1,0.55,40019.87715,0.423943434,0.000176697,2399.264636,3.047667598
3,0.74297106,0.018,0.13753239,41.24375266,3232.505102,41.24375266,22.68406396,34.24865267,13.15062975,23.01346694,2.001108039,40.02255854,56.03102509,3.001755816,1.000573907,3.001755816,6.003511632,36.0206834,0.068746555,18.89423533,18.89691689,0.143283822,0.143283822,0.143283822,0,0.00001,0.00001,1.986106331,0,0.001956977,0.107453351,149474.3678,33052.6432,0.004913663,0.027849588,8.43E-07,0.144626563,2.879091424,0.001623906,0.00899743,7.640688359,0.000205029,6970.085811,0.000397869,0.0158048,2.26752E-06,0,2.26752E-06,5.46999E-06,11.35688728,2.8378,18.89960435,2.875211711,1.98611E-05,0,0.14316096,0.143201999,2.879091424,0.74558945,0.375402585,0,0,0,1,0.55,40022.72901,0.424876857,0.000177094,2399.15865,3.048364652
3.25,0.822326936,0.018,0.137841927,41.38434248,3237.145024,41.38434248,22.76138836,34.19466553,14.24879759,23.01515863,2.001247229,40.0253923,56.0349224,3.001976378,1.000646,3.001976378,6.003952756,36.0232816,0.069404329,18.89557539,18.89825986,0.143283822,0.143283822,0.143283822,0,0.00001,0.00001,2.172498728,0,0.001956977,0.119112162,150999.1205,33057.9376,0.004907635,0.027869611,8.43E-07,0.144847696,2.883182376,0.00162426,0.00906312,7.657884817,0.000205228,6967.646576,0.000431025,0.015817759,2.27017E-06,0,2.27017E-06,5.98334E-06,11.35895685,2.83845,18.90095041,2.878979353,2.1725E-05,0,0.143140406,0.14318149,2.883182376,0.820149577,0.377514411,0,0,0,1,0.55,40025.58418,0.425810154,0.000177491,2399.052431,3.049061707
