Years,Available Area for Marsh Encroachment,Birth Rate,Births,Carbon Dioxide Released as a function of FF Consumption,Carbon in the Atmosphere,Carbon Released into the Atmosphere,Carbon Sequestration,Conversion to High Marsh,Conversion to Low Marsh,Days Recreating[Birding],Days Recreating[Hiking],Days Recreating[Marsh Walking],Days Recreating[Marsh Driving],Days Recreating[Boat Fishing],Days Recreating[Land Fishing],Days Recreating[Duck Hunting],Days Recreating[Pleasure Boating],Days Recreating[Marsh Work],Deaths,Delay in Action Erosion Control,="Delay in Action: Flood Control",Delay in Erosion Control Implementation,Delay in Flood Control Implementation High Marsh,Delay in Flood Control Implementation Low Marsh,Erosion Control Rate,Fiddler Crab Carrying Capacity,Fiddler Crab Mortality Rate,Fiddler Crabs,="Flood Mitigation Rate: High Marsh",="Flood Mitigation Rate: Low Marsh",Forest Converted to High Marsh,Global Fossil Fuel Consumption,High Marsh Area,High Marsh Conversion Rate,High Marsh Erosion,High Marsh Erosion Rate,High Marsh to Upland Conversion Rate,High Sea Level Rise,="Horizontal Growth Rate: Low Marsh",Human Mortality Rate,Human Population,="Inundation Loss Rate: Low Marsh",Low Marsh Area,Low Marsh Conversion Rate,Low Marsh Erosion,Low Marsh Erosion Rate,="Low Marsh Erosion Rate: Fiddler Crabs",="Low Marsh Erosion Rate: SLR",="Low Marsh Growth: Fiddlers",Low Marsh Horizontal Growth,Low Sea Level Rise,Mean Days Recreating,Medium Sea Level Rise,Mortality,Mortality Rate mediated by Low Marsh Area,Policy Demand Flood Control,="Policy Demand: Erosion Control",Rate of Sea Level Rise,Recruitment,Recruitment Rate,Salt Water Inundation in Low Marsh,Scenario 1,Scenario 2,Scenario 3,Sequestration Rate,Total Marsh Area,Upland Border Decay,Upland Border Decay Rate,Upland Border Extent,="Vertical Growth Rate: Low Marsh"
1,0,0.018,0.135,40.0233814431,3196,40.0233814431,22.0128597937,34.8751820038,0.695379706446,23,2,40,56,3,1,3,6,36,0.06345,18.8888888889,18.8888888889,0.143283821581,0.143283821581,0.143283821581,0.0041051417636,0.00001,0.00001,1,0,0.00195697724899,0,137000,33000,0.00498216885769,0.0276286935492,8.37233137854e-7,0.142113513514,2.84636380803,0.00161988151409,0.00846,7.5,0.000202768470106,7000,0.0000210721123166,0,-0.00410290440144,0,0.00000223736216216,0.00000275412742382,11.3584494906,2.8326,18.8888888889,2.84507057027,0.00001,0,0.143283821581,0.143283821581,2.8326,0.34569,0.34569,0,1,0,0,0.55,40000,0.414201395918,0.000172583914966,2400,3.04044301213
1.25,0.10355034898,0.018,0.135321975,40.1785427542,3200.50263041,40.1785427542,22.0981985148,34.840058011,0.86944952632,23.0016783778,2.00013809438,40.0028114599,56.0038666426,3.00021882648,1.00007152581,3.00021882648,6.00043765295,36.0025777617,0.0641150273823,18.8888888889,18.8888888889,0.143283821581,0.143283821581,0.143283821581,0.0041051417636,0.00001,0.00001,1.08642,0,0.00195697724899,0.0147195421745,138586.025,33008.5380434,0.00498121107211,0.0276383107168,8.37307931676e-7,0.142148648649,2.85045476004,0.00161993777433,0.00852833025,7.5178875,0.000202800070132,6994.2946618,0.0000263401403957,0,-0.00410290397982,0,0.00000223778378378,0.00000299213911579,11.3512500301,2.83325,18.890224352,2.84883821283,0.0000108642,0,0.143283821581,0.143283821581,2.83325,0.378755797073,0.3486274158,0,1,0,0,0.55,40002.8327052,0.414334855815,0.000172646972279,2399.89644965,3.04055376516
1.5,0.20345417739,0.018,0.135642406264,40.3329601316,3205.02271647,40.3329601316,22.1831280724,34.8051964428,1.04360776668,23.0033578681,2.00027628029,40.0056247834,56.0077358481,3.000437798,1.00014309902,3.000437798,6.000875596,36.0051572321,0.0647792931982,18.8888888889,18.8888888889,0.143283821581,0.143283821581,0.143283821581,0.0041051417636,0.00001,0.00001,1.18110623322,0,0.00195697724899,0.0289278847679,140164.445672,33017.0274658,0.00498025328653,0.0276478884472,8.37382725499e-7,0.142183783784,2.85454571205,0.00161999403456,0.00859633288497,7.5356892369,0.000202831670159,6988.63982218,0.0000316081684748,0,-0.00410290355819,0,0.00000223820540541,0.00000325291706735,11.3442882874,2.8339,18.8915607003,2.8526058554,0.0000118110623322,0,0.143283821581,0.143283821581,2.8339,0.415567268536,0.351845800867,0,1,0,0,0.55,40005.667288,0.414468296889,0.000172710029591,2399.79286594,3.04066451819
1.75,0.29983928042,0.018,0.135961290273,40.486631879,3209.56017449,40.486631879,22.2676475335,34.7705972337,1.217853656,23.0050384305,2.0004145544,40.0084399025,56.0116075233,3.00065690929,1.00021471792,3.00065690929,6.00131381857,36.0077383489,0.0654427551184,18.8888888889,18.890224352,0.143283821581,0.143283821581,0.143283821581,0.0041051417636,0.00001,0.00001,1.28499509759,0,0.00195697724899,0.0426428183107,141735.244678,33025.468183,0.00497929550096,0.027657426659,8.37457519321e-7,0.142218918919,2.85863666405,0.00162005029479,0.00866400715795,7.55340501517,0.000202863270185,6983.03549709,0.0000368761965539,0,-0.00410290313657,0,0.00000223862702703,0.00000353904023774,11.3375819592,2.83455,18.8928979016,2.85637349797,0.0000128499509759,0,0.14326338341,0.143283821581,2.83455,0.456657681422,0.355376983367,0,1,0,0,0.55,40008.5036801,0.414601719137,0.000172773086904,2399.68924886,3.04077527122
2,0.392829005626,0.018,0.136278623681,40.6395563846,3214.11492057,40.6395563846,22.3517560115,34.7362603388,1.39218642119,23.0067200295,2.00055291382,40.0112567583,56.0154815869,3.00087615574,1.000286381,3.00087615574,6.00175231149,36.010321058,0.0661053712425,18.8888888889,18.8915607003,0.143283821581,0.143283821581,0.143283821581,0.0041051417636,0.00001,0.00001,1.39915630545,0,0.00195697724899,0.0558815186004,143298.405541,33033.8601152,0.00497833771538,0.0276669252744,8.37532313143e-7,0.142254054054,2.86272761606,0.00162010655502,0.00873135235903,7.57103464896,0.000202894870212,6977.48170668,0.0000421442246331,0,-0.00410290271495,0,0.00000223904864865,0.00000385345475107,11.3311512606,2.8352,18.8942359278,2.86014114053,0.0000139915630545,0,0.143242931692,0.143283821581,2.8352,0.502657148508,0.359257322822,0,1,0,0,0.55,40011.3418219,0.414735122552,0.000172836144217,2399.58559843,3.04088602425
2.25,0.482542406614,0.018,0.136594403317,40.7917321197,3218.68687067,40.7917321197,22.4354526659,34.7021857375,1.56660528769,23.0084026356,2.00069135609,40.0140753009,56.0193579705,3.0010955335,1.000358087,3.0010955335,6.00219106699,36.0129053137,0.0667671001039,18.890224352,18.8928979016,0.143283821581,0.143283821581,0.143283821581,0.0041051417636,0.00001,0.00001,1.52481709469,0,0.00195697724899,0.0686605677865,144853.912637,33042.2031874,0.0049773799298,0.0276763842195,8.37607106966e-7,0.142289189189,2.86681856807,0.00162016281526,0.0087983678151,7.58857796207,0.000202926470239,6971.97847602,0.0000474122527122,0,-0.00410290229333,0,0.00000223947027027,0.0000041995405768,11.3250193821,2.83585,18.8955747553,2.8639087831,0.0000152481709469,0,0.14322246692,0.14326338341,2.83585,0.5543145216,0.363528533049,0,1,0,0,0.55,40014.1816634,0.414868507128,0.00017289920153,2399.48191465,3.04099677728
2.5,0.56909439145,0.018,0.136908626182,40.9431576392,3223.27594053,40.9431576392,22.5187367016,34.6683734373,1.74110947956,23.0100862248,2.00082987926,40.0168954905,56.0232366192,3.00131503944,1.0004298349,3.00131503944,6.00263007888,36.0154910795,0.0674279006752,18.8915607003,18.8942359278,0.143283821581,0.143283821581,0.143283821581,0.0041051417636,0.00001,0.00001,1.66339191305,0,0.00195697724899,0.0809959747398,146401.751191,33050.4973285,0.00497642214422,0.0276858034242,8.37681900788e-7,0.142324324324,2.87090952008,0.00162021907549,0.00886505288967,7.60603478787,0.000202958070265,6966.52583575,0.0000526802807913,0,-0.00410290187171,0,0.00000223989189189,0.00000458119328429,11.3192130503,2.8365,18.8969143651,2.86767642567,0.0000166339191305,0,0.143201989523,0.143242931692,2.8365,0.612525260888,0.368238691124,0,1,0,0,0.55,40017.0231643,0.415001872861,0.000172962258842,2399.37819753,3.04110753031
2.75,0.65259586598,0.018,0.137221289446,41.09383158,3227.88204576,41.09383158,22.601607369,34.6348234776,1.91569821964,23.0117707798,2.00096848189,40.0197172979,56.0271174928,3.0015346713,1.00050162395,3.0015346713,6.00306934259,36.0180783285,0.068087732373,18.8928979016,18.8955747553,0.143283821581,0.143283821581,0.143283821581,0.0041051417636,0.00001,0.00001,1.81651906979,0,0.00195697724899,0.0929031947264,147941.907273,33058.7424721,0.00497546435865,0.0276951828214,8.37756694611e-7,0.142359459459,2.87500047208,0.00162027533572,0.00893140698253,7.62340496925,0.000202989670292,6961.12382302,0.0000579483088705,0,-0.00410290145009,0,0.00000224031351351,0.00000500292498601,11.3137632196,2.83715,18.8982547433,2.87144406823,0.0000181651906979,0,0.143181499863,0.14322246692,2.83715,0.678367208689,0.373443483182,0,1,0,0,0.55,40019.8662951,0.415135219745,0.000173025316155,2399.27444706,3.04121828334
3,0.733153872235,0.018,0.137532390453,41.2437526611,3232.50510182,41.2437526611,22.6840639636,34.601535935,2.09037072961,23.01345629,2.0011071631,40.0225407051,56.0310005667,3.00175442768,1.00057345371,3.00175442768,6.00350885535,36.0206670445,0.0687465550629,18.8942359278,18.8969143651,0.143283821581,0.143283821581,0.143283821581,0.0041051417636,0.00001,0.00001,1.98610633066,0,0.00195697724899,0.104397148412,149474.367789,33066.9385554,0.00497450657307,0.0277045223478,8.37831488433e-7,0.142394594595,2.87909142409,0.00162033159595,0.00899742952954,7.64068835852,0.000203021270319,6955.77248252,0.0000632163369496,0,-0.00410290102846,0,0.00000224073513514,0.00000546998991191,11.308705933,2.8378,18.8995958815,2.8752117108,0.0000198610633066,0,0.143160998231,0.143201989523,2.8378,0.745589450073,0.375402584726,0,1,0,0,0.55,40022.7110379,0.415268547774,0.000173088373468,2399.17066325,3.04132903638
3.25,0.810871722075,0.018,0.137841926713,41.3843424813,3237.14502399,41.3843424813,22.7613883647,34.5685109301,2.2651262301,23.0151427521,2.00124592264,40.0253657071,56.034885834,3.00197430819,1.00064532404,3.00197430819,6.00394861637,36.0232572227,0.0694043290638,18.8955747553,18.8982547433,0.143283821581,0.143283821581,0.143283821581,0.0041051417636,0.00001,0.00001,2.17249872792,0,0.00195697724899,0.115492240221,150999.120473,33075.0855198,0.00497354878749,0.0277138219432,8.37906282255e-7,0.14242972973,2.8831823761,0.00162038785618,0.00906312000234,7.65788481737,0.000203052870345,6950.4718677,0.0000684843650287,0,-0.00410290060684,0,0.00000224115675676,0.00000598333832478,11.3040472339,2.83845,18.9009377773,2.87897935337,0.0000217249872792,0,0.143140484838,0.143181499864,2.83845,0.820149576771,0.377514410587,0,1,0,0,0.55,40025.5573875,0.415401856943,0.000173151430781,2399.06684612,3.04143978941
