Years,Available Area for Marsh Encroachment,Birth Rate,Births,Carbon Dioxide Released as a function of FF Consumption,Carbon in the Atmosphere,Carbon Released into the Atmosphere,Carbon Sequestration,Conversion to High Marsh,Conversion to Low Marsh,Days Recreating[Birding],Days Recreating[Hiking],Days Recreating[Marsh Walking],Days Recreating[Marsh Driving],Days Recreating[Boat Fishing],Days Recreating[Land Fishing],Days Recreating[Duck Hunting],Days Recreating[Pleasure Boating],Days Recreating[Marsh Work],Deaths,Delay in Action Erosion Control,="Delay in Action: Flood Control",Delay in Erosion Control Implementation,Delay in Flood Control Implementation High Marsh,Delay in Flood Control Implementation Low Marsh,Erosion Control Rate,Fiddler Crab Carrying Capacity,Fiddler Crab Mortality Rate,Fiddler Crabs,="Flood Mitigation Rate: High Marsh",="Flood Mitigation Rate: Low Marsh",Forest Converted to High Marsh,Global Fossil Fuel Consumption,High Marsh Area,High Marsh Conversion Rate,High Marsh Erosion,High Marsh Erosion Rate,High Marsh to Upland Conversion Rate,High Sea Level Rise,="Horizontal Growth Rate: Low Marsh",Human Mortality Rate,Human Population,="Inundation Loss Rate: Low Marsh",Low Marsh Area,Low Marsh Conversion Rate,Low Marsh Erosion,Low Marsh Erosion Rate,="Low Marsh Erosion Rate: Fiddler Crabs",="Low Marsh Erosion Rate: SLR",="Low Marsh Growth: Fiddlers",Low Marsh Horizontal Growth,Low Sea Level Rise,Mean Days Recreating,Medium Sea Level Rise,Mortality,Mortality Rate mediated by Low Marsh Area,Policy Demand Flood Control,="Policy Demand: Erosion Control",Rate of Sea Level Rise,Recruitment,Recruitment Rate,Salt Water Inundation in Low Marsh,Scenario 1,Scenario 2,Scenario 3,Sequestration Rate,Total Marsh Area,Upland Border Decay,Upland Border Decay Rate,Upland Border Extent,="Vertical Growth Rate: Low Marsh"
1,0,0.018,0.135,40.0233814431,3196,40.0233814431,22.0128597937,34.8751820038,0.695379706446,23,2,40,56,3,1,3,6,36,0.06345,18.8888888889,18.8888888889,0.143283821581,0.143283821581,0.143283821581,0.0041051417636,0.00001,0.00001,1,0,0,0,137000,33000,0.00498216885769,0.0276286935492,8.37233137854e-7,0.142113513514,2.84636380803,0.00161988151409,0.00846,7.5,0.000202768470106,7000,0.0000210721123166,0,-0.00410290440144,0,0.00000223736216216,0.00000275412742382,11.3584494906,2.8326,18.8888888889,2.84507057027,0.00001,0,0.143283821581,0.143283821581,2.8326,0.34569,0.34569,1.41937929074,1,0,0,0.55,40000,0.414201395918,0.000172583914966,2400,3.04044301213
1.25,0.10355034898,0.018,0.135321975,40.1785427542,3200.50263041,40.1785427542,22.0981985148,34.838290454,0.86944952632,23.0014681323,2.00012079569,40.0024592764,56.0033822794,3.00019141471,1.00006256597,3.00019141471,6.00038282943,36.0022548529,0.0641150273823,18.8888888889,18.8888888889,0.143283821581,0.143283821581,0.143283821581,0.0041051417636,0.00001,0.00001,1.08642,0,0,0.0147195421745,138586.025,33008.5380434,0.00498121107211,0.0276383107168,8.37307931676e-7,0.142148648649,2.85045476004,0.00161993777433,0.00852833025,7.5178875,0.000202800070132,6993.93981698,0.0000263401403957,0,-0.00410290397982,0,0.00000223778378378,0.00000299213911579,11.3506741418,2.83325,18.8900570624,2.84883821283,0.0000108642,0,0.143283821581,0.143283821581,2.83325,0.378755797073,0.3486274158,1.41837148538,1,0,0,0.55,40002.4778604,0.414334855815,0.000172646972279,2399.89644965,3.04055376516
1.5,0.20345417739,0.018,0.135642406264,40.3329601316,3205.02271647,40.3329601316,22.1831280724,34.8016647471,1.04360775271,23.002937441,2.00024168818,40.0049205236,56.0067672692,3.00038298282,1.00012518209,3.00038298282,6.00076596563,36.0045115128,0.0647792931982,18.8888888889,18.8888888889,0.143283821581,0.143283821581,0.143283821581,0.0041051417636,0.00001,0.00001,1.18110623322,0,0,0.0289278847679,140164.445672,33017.0270239,0.00498025328653,0.0276478880772,8.37382725499e-7,0.142183783784,2.85454571205,0.00161999403456,0.00859633288497,7.5356892369,0.000202831670159,6987.93068241,0.0000316081684748,0,-0.00410290355819,0,0.00000223820540541,0.00000325291706735,11.3431371784,2.8339,18.891226172,2.8526058554,0.0000118110623322,0,0.143283821581,0.143283821581,2.8339,0.415567268536,0.351845800867,1.41737365127,1,0,0,0.55,40004.9577063,0.414468296889,0.000172710029591,2399.79286594,3.04066451819
1.75,0.29983928042,0.018,0.135961290273,40.486631879,3209.56017449,40.486631879,22.2676475335,34.7653048,1.21785360715,23.0044078843,2.00036267403,40.0073836712,56.0101548728,3.00057469884,1.00018784655,3.00057469884,6.00114939769,36.0067699152,0.0654427551184,18.8888888889,18.8900570624,0.143283821581,0.143283821581,0.143283821581,0.0041051417636,0.00001,0.00001,1.28499509759,0,0,0.0426428183107,141735.244678,33025.4668582,0.00497929550096,0.0276574255495,8.37457519321e-7,0.142218918919,2.85863666405,0.00162005029479,0.00866400715795,7.55340501517,0.000202863270185,6981.97260904,0.0000368761965539,0,-0.00410290313657,0,0.00000223862702703,0.00000353904023774,11.3358562655,2.83455,18.8923961844,2.85637349797,0.0000128499509759,0,0.143265943641,0.143283821581,2.83455,0.456657681422,0.355376983367,1.41638579582,1,0,0,0.55,40007.4394672,0.414601719137,0.000172773086904,2399.68924886,3.04077527122
2,0.392829005626,0.018,0.136278623681,40.6395563846,3214.11492057,40.6395563846,22.3517560115,34.7292105504,1.3921863096,23.0058794256,2.00048375021,40.0098486581,56.0135450058,3.00076655802,1.0002505578,3.00076655802,6.00153311604,36.0090300039,0.0661053712425,18.8888888889,18.891226172,0.143283821581,0.143283821581,0.143283821581,0.0041051417636,0.00001,0.00001,1.39915630545,0,0,0.0558815186004,143298.405541,33033.8574673,0.00497833771538,0.0276669230567,8.37532313143e-7,0.142254054054,2.86272761606,0.00162010655502,0.00873135235903,7.57103464896,0.000202894870212,6976.06561386,0.0000421442246331,0,-0.00410290271495,0,0.00000223904864865,0.00000385345475107,11.3288515825,2.8352,18.8935670704,2.86014114053,0.0000139915630545,0,0.143248051374,0.143283821581,2.8352,0.502657148508,0.359257322822,1.41540792732,1,0,0,0.55,40009.9230812,0.414735122552,0.000172836144217,2399.58559843,3.04088602425
2.25,0.482542406614,0.018,0.136594403317,40.7917321197,3218.68687067,40.7917321197,22.4354526659,34.6933819604,1.56660507858,23.0073520337,2.00060491417,40.012315432,56.0169375967,3.0009585563,1.00031331452,3.0009585563,6.00191711259,36.0112917311,0.0667671001039,18.8900570624,18.8923961844,0.143283821581,0.143283821581,0.143283821581,0.0041051417636,0.00001,0.00001,1.52481709469,0,0,0.0686605677865,144853.912637,33042.198777,0.0049773799298,0.0276763805254,8.37607106966e-7,0.142289189189,2.86681856807,0.00162016281526,0.0087983678151,7.58857796207,0.000202926470239,6970.20971871,0.0000474122527122,0,-0.00410290229333,0,0.00000223947027027,0.0000041995405768,11.3221462793,2.83585,18.8947388053,2.8639087831,0.0000152481709469,0,0.143230145292,0.143265943641,2.83585,0.5543145216,0.363528533049,1.41444005504,1,0,0,0.55,40012.4084958,0.414868507128,0.00017289920153,2399.48191465,3.04099677728
2.5,0.56909439145,0.018,0.136908626182,40.9431576392,3223.27594053,40.9431576392,22.5187367016,34.6578190197,1.74110913128,23.0088256835,2.00072616383,40.0147839508,56.0203325873,3.00115069038,1.00037611563,3.00115069038,6.00230138076,36.0135550582,0.0674279006752,18.891226172,18.8935670704,0.143283821581,0.143283821581,0.143283821581,0.0041051417636,0.00001,0.00001,1.66339191305,0,0,0.0809959747398,146401.751191,33050.4907173,0.00497642214422,0.0276857978861,8.37681900788e-7,0.142324324324,2.87090952008,0.00162021907549,0.00886505288967,7.60603478787,0.000202958070265,6964.40495105,0.0000526802807913,0,-0.00410290187171,0,0.00000223989189189,0.00000458119328429,11.3157670363,2.8365,18.895911369,2.86767642567,0.0000166339191305,0,0.143212225839,0.143248051375,2.8365,0.612525260888,0.368238691124,1.41348218941,1,0,0,0.55,40014.8956684,0.415001872861,0.000172962258842,2399.37819753,3.04110753031
2.75,0.65259586598,0.018,0.137221289446,41.09383158,3227.88204576,41.09383158,22.601607369,34.6225217502,1.91569768363,23.010300356,2.00084749765,40.0172541829,56.0237299341,3.00134295781,1.00043896032,3.00134295781,6.00268591562,36.0158199561,0.068087732373,18.8923961844,18.8947388053,0.143283821581,0.143283821581,0.143283821581,0.0041051417636,0.00001,0.00001,1.81651906979,0,0,0.0929031947264,147941.907273,33058.7332223,0.00497546435865,0.0276951750724,8.37756694611e-7,0.142359459459,2.87500047208,0.00162027533572,0.00893140698253,7.62340496925,0.000202989670292,6958.65134479,0.0000579483088705,0,-0.00410290145009,0,0.00000224031351351,0.00000500292498601,11.3097447545,2.83715,18.8970847465,2.87144406823,0.0000181651906979,0,0.143194293395,0.143230145292,2.83715,0.678367208689,0.373443483182,1.41253434216,1,0,0,0.55,40017.3845671,0.415135219745,0.000173025316155,2399.27444706,3.04121828334
3,0.733153872235,0.018,0.137532390453,41.2437526611,3232.50510182,41.2437526611,22.6840639636,34.5874902111,2.09036995047,23.0117760392,2.00096891462,40.0197261079,56.0271296094,3.00153535702,1.00050184809,3.00153535702,6.00307071403,36.0180864063,0.0687465550629,18.8935670704,18.895911369,0.143283821581,0.143283821581,0.143283821581,0.0041051417636,0.00001,0.00001,1.98610633066,0,0,0.104397148412,149474.367789,33066.9262303,0.00497450657307,0.0277045120215,8.37831488433e-7,0.142394594595,2.87909142409,0.00162033159595,0.00899742952954,7.64068835852,0.000203021270319,6952.94894138,0.0000632163369496,0,-0.00410290102846,0,0.00000224073513514,0.00000546998991191,11.3041154153,2.8378,18.8982589282,2.8752117108,0.0000198610633066,0,0.143176348266,0.143212225839,2.8378,0.745589450073,0.375402584726,1.41159652654,1,0,0,0.55,40019.8751717,0.415268547774,0.000173088373468,2399.17066325,3.04132903638
3.25,0.810871722075,0.018,0.137841926713,41.3843424813,3237.14502399,41.3843424813,22.7613883647,34.5527245049,2.26512514556,23.0132527287,2.00109041439,40.0221997185,56.0305316028,3.00172788741,1.00056477873,3.00172788741,6.00345577483,36.0203544019,0.0694043290638,18.8947388053,18.8970847465,0.143283821581,0.143283821581,0.143283821581,0.0041051417636,0.00001,0.00001,2.17249872792,0,0,0.115492240221,150999.120473,33075.0696836,0.00497354878749,0.0277138086739,8.37906282255e-7,0.14242972973,2.8831823761,0.00162038785618,0.00906312000234,7.65788481737,0.000203052870345,6947.29779103,0.0000684843650287,0,-0.00410290060684,0,0.00000224115675676,0.00000598333832478,11.298885007,2.83845,18.8994339105,2.87897935337,0.0000217249872792,0,0.143158390683,0.143194293395,2.83845,0.820149576771,0.377514410587,1.41066875761,1,0,0,0.55,40022.3674746,0.415401856943,0.000173151430781,2399.06684612,3.04143978941
