Years,Available Area for Marsh Encroachment,Birth Rate,Births,Carbon Dioxide Released as a function of FF Consumption,Carbon in the Atmosphere,Carbon Released into the Atmosphere,Carbon Sequestration,Conversion to High Marsh,Conversion to Low Marsh,Days Recreating[Birding],Days Recreating[Hiking],Days Recreating[Marsh Walking],Days Recreating[Marsh Driving],Days Recreating[Boat Fishing],Days Recreating[Land Fishing],Days Recreating[Duck Hunting],Days Recreating[Pleasure Boating],Days Recreating[Marsh Work],Deaths,Delay in Action Erosion Control,="Delay in Action: Flood Control",Delay in Erosion Control Implementation,Delay in Flood Control Implementation High Marsh,Delay in Flood Control Implementation Low Marsh,Erosion Control Rate,Fiddler Crab Carrying Capacity,Fiddler Crab Mortality Rate,Fiddler Crabs,="Flood Mitigation Rate: High Marsh",="Flood Mitigation Rate: Low Marsh",Forest Converted to High Marsh,Global Fossil Fuel Consumption,High Marsh Area,High Marsh Conversion Rate,High Marsh Erosion,High Marsh Erosion Rate,High Marsh to Upland Conversion Rate,High Sea Level Rise,="Horizontal Growth Rate: Low Marsh",Human Mortality Rate,Human Population,="Inundation Loss Rate: Low Marsh",Low Marsh Area,Low Marsh Conversion Rate,Low Marsh Erosion,Low Marsh Erosion Rate,="Low Marsh Erosion Rate: Fiddler Crabs",="Low Marsh Erosion Rate: SLR",="Low Marsh Growth: Fiddlers",Low Marsh Horizontal Growth,Low Sea Level Rise,Mean Days Recreating,Medium Sea Level Rise,Mortality,Mortality Rate mediated by Low Marsh Area,Policy Demand Flood Control,="Policy Demand: Erosion Control",Rate of Sea Level Rise,Recruitment,Recruitment Rate,Salt Water Inundation in Low Marsh,Scenario 1,Scenario 2,Scenario 3,Sequestration Rate,Total Marsh Area,Upland Border Decay,Upland Border Decay Rate,Upland Border Extent,="Vertical Growth Rate: Low Marsh"
1,0,0.018,0.135,40.0233814431,3196,40.0233814431,22.0128597937,34.8751820038,0.695379706446,23,2,40,56,3,1,3,6,36,0.06345,18.8888888889,18.8888888889,0.143283821581,0.143283821581,0.143283821581,0,0.00001,0.00001,1,0,0.00195697724899,0,137000,33000,0.00498216885769,0.0276286935492,8.37233137854e-7,0.142113513514,2.84636380803,0.00161988151409,0.00846,7.5,0.000202768470106,7000,0.0000210721123166,0.0156615351351,0.00000223736216216,0,0.00000223736216216,0.00000275412742382,11.3584494906,2.8326,18.8888888889,2.84507057027,0.00001,0,0.143283821581,0.143283821581,2.8326,0.34569,0.34569,0,1,0,0,0.55,40000,0.414201395918,0.000172583914966,2400,3.04044301213
1.25,0.10355034898,0.018,0.135321975,40.1785427542,3200.50263041,40.1785427542,22.0981985148,34.8400385076,0.86944952632,23.001676058,2.0001379035,40.0028075739,56.0038612981,3.00021852401,1.00007142694,3.00021852401,6.00043704803,36.0025741987,0.0641150273823,18.8888888889,18.8888888889,0.143283821581,0.143283821581,0.143283821581,0,0.00001,0.00001,1.08642,0,0.00195697724899,0.0147195421745,138586.025,33008.5380434,0.00498121107211,0.0276383107168,8.37307931676e-7,0.142148648649,2.85045476004,0.00161993777433,0.00852833025,7.5178875,0.000202800070132,6994.29074641,0.0000263401403957,0.0156517104114,0.00000223778378378,0,0.00000223778378378,0.00000299213911579,11.3512436757,2.83325,18.8902225061,2.84883821283,0.0000108642,0,0.143283821581,0.143283821581,2.83325,0.378755797073,0.3486274158,0,1,0,0,0.55,40002.8287898,0.414334855815,0.000172646972279,2399.89644965,3.04055376516
1.5,0.20345417739,0.018,0.135642406264,40.3329601316,3205.02271647,40.3329601316,22.1831280724,34.8051574722,1.04360776652,23.0033532289,2.00027589858,40.0056170122,56.0077251603,3.00043719314,1.00014290132,3.00043719314,6.00087438628,36.0051501069,0.0647792931982,18.8888888889,18.8888888889,0.143283821581,0.143283821581,0.143283821581,0,0.00001,0.00001,1.18110623322,0,0.00195697724899,0.0289278847679,140164.445672,33017.027461,0.00498025328653,0.0276478884431,8.37382725499e-7,0.142183783784,2.85454571205,0.00161999403456,0.00859633288497,7.5356892369,0.000202831670159,6988.63199716,0.0000316081684748,0.0156419939124,0.00000223820540541,0,0.00000223820540541,0.00000325291706735,11.3442755854,2.8339,18.891557009,2.8526058554,0.0000118110623322,0,0.143283821581,0.143283821581,2.8339,0.415567268536,0.351845800867,0,1,0,0,0.55,40005.6594581,0.414468296889,0.000172710029591,2399.79286594,3.04066451819
1.75,0.29983928042,0.018,0.135961290273,40.486631879,3209.56017449,40.486631879,22.2676475335,34.7705388317,1.21785365546,23.0050314724,2.0004139819,40.008428247,56.0115914933,3.0006560021,1.0002144214,3.0006560021,6.00131200419,36.0077276622,0.0654427551184,18.8888888889,18.8902225061,0.143283821581,0.143283821581,0.143283821581,0,0.00001,0.00001,1.28499509759,0,0.00195697724899,0.0426428183107,141735.244678,33025.4681684,0.00497929550096,0.0276574266467,8.37457519321e-7,0.142218918919,2.85863666405,0.00162005029479,0.00866400715795,7.55340501517,0.000202863270185,6983.02376813,0.0000368761965539,0.0156323857377,0.00000223862702703,0,0.00000223862702703,0.00000353904023774,11.3375629162,2.83455,18.8928923652,2.85637349797,0.0000128499509759,0,0.14326341166,0.143283821581,2.83455,0.456657681422,0.355376983367,0,1,0,0,0.55,40008.4919365,0.414601719137,0.000172773086904,2399.68924886,3.04077527122
2,0.392829005626,0.018,0.136278623681,40.6395563846,3214.11492057,40.6395563846,22.3517560115,34.7361825412,1.39218641996,23.0067107531,2.00055215057,40.0112412193,56.0154602159,3.00087494628,1.00028598568,3.00087494628,6.00174989257,36.0103068106,0.0661053712425,18.8888888889,18.891557009,0.143283821581,0.143283821581,0.143283821581,0,0.00001,0.00001,1.39915630545,0,0.00195697724899,0.0558815186004,143298.405541,33033.860086,0.00497833771538,0.0276669252499,8.37532313143e-7,0.142254054054,2.86272761606,0.00162010655502,0.00873135235903,7.57103464896,0.000202894870212,6977.46607947,0.0000421442246331,0.0156228859962,0.00000223904864865,0,0.00000223904864865,0.00000385345475107,11.3311258826,2.8352,18.8942285467,2.86014114053,0.0000139915630545,0,0.143242988185,0.143283821581,2.8352,0.502657148508,0.359257322822,0,1,0,0,0.55,40011.3261655,0.414735122552,0.000172836144217,2399.58559843,3.04088602425
2.25,0.482542406614,0.018,0.136594403317,40.7917321197,3218.68687067,40.7917321197,22.4354526659,34.7020885799,1.56660528538,23.0083910412,2.00069040213,40.0140558792,56.0193312595,3.00109402183,1.0003575929,3.00109402183,6.00218804366,36.0128875063,0.0667671001039,18.8902225061,18.8928923652,0.143283821581,0.143283821581,0.143283821581,0,0.00001,0.00001,1.52481709469,0,0.00195697724899,0.0686605677865,144853.912637,33042.2031387,0.0049773799298,0.0276763841788,8.37607106966e-7,0.142289189189,2.86681856807,0.00162016281526,0.0087983678151,7.58857796207,0.000202926470239,6971.95895619,0.0000474122527122,0.0156134948079,0.00000223947027027,0,0.00000223947027027,0.0000041995405768,11.3249876748,2.83585,18.8955655298,2.8639087831,0.0000152481709469,0,0.143222551651,0.14326341166,2.83585,0.5543145216,0.363528533049,0,1,0,0,0.55,40014.1620949,0.414868507128,0.00017289920153,2399.48191465,3.04099677728
2.5,0.56909439145,0.018,0.136908626182,40.9431576392,3223.27594053,40.9431576392,22.5187367016,34.668256955,1.74110947572,23.0100723131,2.00082873462,40.0168721868,56.0232045693,3.00131322563,1.00042924203,3.00131322563,6.00262645125,36.0154697129,0.0674279006752,18.891557009,18.8942285467,0.143283821581,0.143283821581,0.143283821581,0,0.00001,0.00001,1.66339191305,0,0.00195697724899,0.0809959747398,146401.751191,33050.4972556,0.00497642214422,0.027685803363,8.37681900788e-7,0.142324324324,2.87090952008,0.00162021907549,0.00886505288967,7.60603478787,0.000202958070265,6966.50242891,0.0000526802807913,0.0156042123054,0.00000223989189189,0,0.00000223989189189,0.00000458119328429,11.3191750189,2.8365,18.8969032957,2.86767642567,0.0000166339191305,0,0.143202102485,0.143242988185,2.8365,0.612525260888,0.368238691124,0,1,0,0,0.55,40016.9996845,0.415001872861,0.000172962258842,2399.37819753,3.04110753031
2.75,0.65259586598,0.018,0.137221289446,41.09383158,3227.88204576,41.09383158,22.601607369,34.6346877057,1.91569821372,23.011754551,2.00096714661,40.0196901129,56.0270801049,3.00153255539,1.00050093234,3.00153255539,6.00306511078,36.0180534033,0.068087732373,18.8928923652,18.8955655298,0.143283821581,0.143283821581,0.143283821581,0,0.00001,0.00001,1.81651906979,0,0.00195697724899,0.0929031947264,147941.907273,33058.74237,0.00497546435865,0.0276951827359,8.37756694611e-7,0.142359459459,2.87500047208,0.00162027533572,0.00893140698253,7.62340496925,0.000202989670292,6961.09653474,0.0000579483088705,0.0155950386357,0.00000224031351351,0,0.00000224031351351,0.00000500292498601,11.3137188686,2.83715,18.8982418303,2.87144406823,0.0000181651906979,0,0.143181641051,0.143222551651,2.83715,0.678367208689,0.373443483182,0,1,0,0,0.55,40019.8389047,0.415135219745,0.000173025316155,2399.27444706,3.04121828334
3,0.733153872235,0.018,0.137532390453,41.2437526611,3232.50510182,41.2437526611,22.6840639636,34.6013809086,2.09037072101,23.0134377446,2.00110563721,40.0225096397,56.0309578419,3.00175200974,1.00057266338,3.00175200974,6.00350401947,36.0206385613,0.0687465550629,18.8942285467,18.8969032957,0.143283821581,0.143283821581,0.143283821581,0,0.00001,0.00001,1.98610633066,0,0.00195697724899,0.104397148412,149474.367789,33066.9384194,0.00497450657307,0.0277045222338,8.37831488433e-7,0.142394594595,2.87909142409,0.00162033159595,0.00899742952954,7.64068835852,0.000203021270319,6955.74131833,0.0000632163369496,0.0155859739629,0.00000224073513514,0,0.00000224073513514,0.00000546998991191,11.3086552662,2.8378,18.8995811252,2.8752117108,0.0000198610633066,0,0.143161167639,0.143202102485,2.8378,0.745589450073,0.375402584726,0,1,0,0,0.55,40022.6797377,0.415268547774,0.000173088373468,2399.17066325,3.04132903638
3.25,0.810871722075,0.018,0.137841926713,41.3843424813,3237.14502399,41.3843424813,22.7613883647,34.5683366838,2.26512621813,23.0151218906,2.00124420619,40.0253307618,56.0348377732,3.00197158826,1.000644435,3.00197158826,6.00394317653,36.0232251821,0.0694043290638,18.8955655298,18.8982418303,0.143283821581,0.143283821581,0.143283821581,0,0.00001,0.00001,2.17249872792,0,0.00195697724899,0.115492240221,150999.120473,33075.0853451,0.00497354878749,0.0277138217968,8.37906282255e-7,0.14242972973,2.8831823761,0.00162038785618,0.00906312000234,7.65788481737,0.000203052870345,6950.4368331,0.0000684843650287,0.0155770184709,0.00000224115675676,0,0.00000224115675676,0.00000598333832478,11.3039902546,2.83845,18.900921178,2.87897935337,0.0000217249872792,0,0.143140682462,0.143181641052,2.83845,0.820149576771,0.377514410587,0,1,0,0,0.55,40025.5221782,0.415401856943,0.000173151430781,2399.06684612,3.04143978941
3.5,0.885849126256,0.018,0.138149895902,41.5190547698,3241.80076252,41.5190547698,22.8354801234,34.5355551578,2.43996392468,23.016806989,2.00138285352,40.0281534794,56.0387198986,3.00219129096,1.00071624721,3.00219129096,6.00438258193,36.0258132657,0.0700610151526,18.8969032957,18.8995811252,0.143283821581,0.143283821581,0.143283821581,0,0.00001,0.00001,2.37753069086,0,0.00195697724899,0.126202376063,152516.153888,33083.1830923,0.00497259100191,0.0277230813678,8.37981076078e-7,0.142464864865,2.88712418071,0.00162044411642,0.00912847790809,7.67499421678,0.000203084470372,6945.1831338,0.0000737523931079,0.0155681723466,0.00000224157837838,0,0.00000224157837838,0.00000654802247669,11.2997583619,2.8391,18.9022619886,2.88272385205,0.0000237753069086,0,0.143120185648,0.143161167639,2.8391,0.903075130073,0.379837422727,0,1,0,0,0.55,40028.3662261,0.415535147247,0.000173214488093,2398.96299565,3.04155054244
3.75,0.958182319052,0.018,0.138456295865,41.6530806453,3246.47165618,41.6530806453,22.9091943549,34.5030364983,2.61488305941,23.0184930469,2.00152157981,40.0309778042,56.0426042346,3.00241111877,1.00078810031,3.00241111877,6.00482223754,36.028402823,0.0707165745679,18.8982418303,18.900921178,0.143283821581,0.14326341166,0.14326341166,0,0.00001,0.00001,2.60329352955,0,0.00195676205638,0.136540980465,154025.457411,33091.2316099,0.00497163321634,0.0277323008929,8.380558699e-7,0.1425,2.89080497738,0.00162050037665,0.00919350278921,7.69201643696,0.000203116070398,6939.98028353,0.000079020421187,0.0155594357957,0.000002242,0,0.000002242,0.00000716980210201,11.2959989486,2.83975,18.9036035627,2.88642784894,0.0000260329352955,0,0.143099677236,0.143140682462,2.83975,0.995487251067,0.38239531569,0,1,0,0,0.55,40031.2118934,0.415668418679,0.000173277545406,2398.85911186,3.04166129547
4,1.02796417861,0.018,0.138761124611,41.7864192367,3251.15762776,41.7864192367,22.9825305802,34.470780921,2.78988284029,23.0201800793,2.00166038627,40.0338037615,56.0464908155,3.00263107362,1.00085999494,3.00263107362,6.00526214725,36.030993877,0.0713709690144,18.8995811252,18.9022619886,0.143283821581,0.143242988185,0.143242988185,0,0.00001,0.00001,2.85215883409,0,0.00195654672088,0.146521013112,155527.021233,33099.2308504,0.00497067543076,0.0277414803214,8.38130663723e-7,0.142535135135,2.89448577405,0.00162055663688,0.00925819422304,7.70895136729,0.000203147670425,6934.82835505,0.0000842884492661,0.0155508090456,0.00000224242162162,0,0.00000224242162162,0.00000785520886206,11.2927566416,2.8404,18.9049459121,2.89013184583,0.0000285215883409,0,0.143079157227,0.143120185648,2.8404,1.09810652825,0.385008897514,0,1,0,0,0.55,40034.0592055,0.415801671235,0.000173340602719,2398.75519476,3.0417720485
4.25,1.09528434314,0.018,0.139064380311,41.9220259896,3255.85859992,41.9220259896,23.0571142943,34.4387886951,2.96496248458,23.0218681096,2.00179927484,40.0366313903,56.0503796955,3.00285115859,1.0009319321,3.00285115859,6.00570231718,36.0335864637,0.0720241606665,18.900921178,18.9036035627,0.143283821581,0.143222551651,0.143222551651,0,0.00001,0.00001,3.12667833575,0,0.00195633124767,0.156154984824,157020.836349,33107.1807698,0.00496971764518,0.0277506196052,8.38205457545e-7,0.14257027027,2.89816657072,0.00162061289711,0.00932255182164,7.72579890619,0.000203179270452,6929.72743199,0.0000895564773452,0.0155422923484,0.00000224284324324,0,0.00000224284324324,0.00000860788023415,11.2900559136,2.84105,18.9062890556,2.89383584271,0.0000312667833575,0,0.143058625533,0.143099677237,2.84105,1.21210765378,0.38766624629,0,1,0,0,0.55,40036.9082018,0.415934904908,0.000173403660032,2398.65124434,3.04188280153
