Years,Available Area for Marsh Encroachment,Birth Rate,Births,Carbon Dioxide Released as a function of FF Consumption,Carbon in the Atmosphere,Carbon Released into the Atmosphere,Carbon Sequestration,Conversion to High Marsh,Conversion to Low Marsh,Days Recreating[Birding],Days Recreating[Hiking],Days Recreating[Marsh Walking],Days Recreating[Marsh Driving],Days Recreating[Boat Fishing],Days Recreating[Land Fishing],Days Recreating[Duck Hunting],Days Recreating[Pleasure Boating],Days Recreating[Marsh Work],Deaths,Delay in Action Erosion Control,Delay in Action: Flood Control,Delay in Erosion Control Implementation,Delay in Flood Control Implementation High Marsh,Delay in Flood Control Implementation Low Marsh,Erosion Control Rate,Fiddler Crab Carrying Capacity,Fiddler Crab Mortality Rate,Fiddler Crabs,Flood Mitigation Rate: High Marsh,Flood Mitigation Rate: Low Marsh,Forest Converted to High Marsh,Global Fossil Fuel Consumption,High Marsh Area,High Marsh Conversion Rate,High Marsh Erosion,High Marsh Erosion Rate,High Marsh to Upland Conversion Rate,High Sea Level Rise,Horizontal Growth Rate: Low Marsh,Human Mortality Rate,Human Population,Inundation Loss Rate: Low Marsh,Low Marsh Area,Low Marsh Conversion Rate,Low Marsh Erosion,Low Marsh Erosion Rate,Low Marsh Erosion Rate: Fiddler Crabs,Low Marsh Erosion Rate: SLR,Low Marsh Growth: Fiddlers,Low Marsh Horizontal Growth,Low Sea Level Rise,Mean Days Recreating,Medium Sea Level Rise,Mortality,Mortality Rate mediated by Low Marsh Area,Policy Demand Flood Control,Policy Demand: Erosion Control,Rate of Sea Level Rise,Recruitment,Recruitment Rate,Salt Water Inundation in Low Marsh,Scenario 1,Scenario 2,Scenario 3,Sequestration Rate,Total Marsh Area,Upland Border Decay,Upland Border Decay Rate,Upland Border Extent,Vertical Growth Rate: Low Marsh
1,0,0.018,0.135,40.02338144,3196,40.02338144,22.01285979,34.74655289,4.03068028,23,2,40,56,3,1,3,6,36,0.06345,18.88888889,18.88888889,0.143283822,0.143283822,0.143283822,0.004105142,0.00001,0.00001,1,0,0.001956977,0,137000,33000,0.004963793,0.027676047,8.39E-07,0.142787598,2.846363808,0.001620961,0.00846,7.5,0.000203375,7000,0.000122142,0,-0.004102896,0,2.24545E-06,2.75413E-06,11.36600515,2.8326,18.88888889,2.84507057,0.00001,0,0.143283822,0.143283822,2.84507057,0.34569,0.34569,0,0,1,0,0.55,40000,0.417104881,0.000173794,2400,3.042567864
1.25,0.10427622,0.018,0.135321975,40.17854275,3200.50263,40.17854275,22.09819851,34.68370578,5.039521698,23.00167949,2.000138186,40.00281332,56.0038692,3.000218971,1.000071573,3.000218971,6.000437943,36.00257947,0.064115027,18.88888889,18.88888889,0.143283822,0.143283822,0.143283822,0.004105142,0.00001,0.00001,1.08642,0,0.001956977,0.014910588,138586.025,33007.67205,0.004958242,0.027696791,8.39E-07,0.142991255,2.85045476,0.001621287,0.00852833,7.5178875,0.000203558,6995.162533,0.000152677,0,-0.004102894,0,2.2479E-06,2.99214E-06,11.36209658,2.83325,18.89022524,2.848838213,1.08642E-05,0,0.143283822,0.143283822,2.848838213,0.378755797,0.348627416,0,0,1,0,0.55,40002.83458,0.41796393,0.000174159,2399.895724,3.04320983
1.5,0.205039556,0.018,0.135642406,40.33296013,3205.022716,40.33296013,22.18312807,34.62223448,6.048783249,23.00336061,2.000276506,40.00562937,56.00774216,3.000438155,1.000143216,3.000438155,6.00087631,36.00516144,0.064779293,18.88888889,18.88888889,0.143283822,0.143283822,0.143283822,0.004105142,0.00001,0.00001,1.181106233,0,0.001956977,0.029360621,140164.4457,33015.0799,0.00495269,0.02771732,8.40E-07,0.143194911,2.854545712,0.001621613,0.008596333,7.535689237,0.000203741,6990.592011,0.000183213,0,-0.004102891,0,2.25034E-06,3.25292E-06,11.35877543,2.8339,18.89156288,2.852605855,1.18111E-05,0,0.143283822,0.143283822,2.852605855,0.415567269,0.351845801,0,0,1,0,0.55,40005.67191,0.418822864,0.000174525,2399.791233,3.043851795
1.75,0.302405117,0.018,0.13596129,40.48663188,3209.560174,40.48663188,22.26764753,34.56213409,7.05844076,23.00504337,2.000414961,40.00844817,56.0116189,3.000657553,1.000214928,3.000657553,6.001315106,36.00774593,0.065442755,18.88888889,18.89022524,0.143283822,0.143283822,0.143283822,0.004105142,0.00001,0.00001,1.284995098,0,0.001956977,0.043364461,141735.2447,33022.22367,0.004947138,0.027737634,8.40E-07,0.143398567,2.858636664,0.001621939,0.008664007,7.553405015,0.000203924,6986.288342,0.000213748,0,-0.004102889,0,2.25278E-06,3.53904E-06,11.35605975,2.83455,18.89290183,2.856373498,1.285E-05,0,0.14326337,0.143283822,2.856373498,0.456657681,0.355376983,0,0,1,0,0.55,40008.51201,0.419681685,0.00017489,2399.686527,3.044493761
2,0.396484423,0.018,0.136278624,40.63955638,3214.114921,40.63955638,22.35175601,34.5033997,8.06847007,23.0067278,2.000553553,40.01126977,56.01549949,3.000877169,1.000286712,3.000877169,6.001754338,36.01033299,0.066105371,18.88888889,18.89156288,0.143283822,0.143283822,0.143283822,0.004105142,0.00001,0.00001,1.399156305,0,0.001956977,0.056936045,143298.4055,33029.1035,0.004941587,0.027757732,8.40E-07,0.143602224,2.862727616,0.001622265,0.008731352,7.571034649,0.000204107,6982.251434,0.000244284,0,-0.004102887,0,2.25523E-06,3.85345E-06,11.35397012,2.8352,18.89424211,2.860141141,1.39916E-05,0,0.143242898,0.143283822,2.860141141,0.502657149,0.359257323,0,0,1,0,0.55,40011.35494,0.420540391,0.000175256,2399.581607,3.045135727
2.25,0.487385509,0.018,0.136594403,40.79173212,3218.686871,40.79173212,22.43545267,34.44602642,9.078847039,23.00841393,2.000692285,40.01409422,56.01938399,3.001097006,1.000358568,3.001097006,6.002194012,36.01292266,0.0667671,18.89022524,18.89290183,0.143283822,0.143283822,0.143283822,0.004105142,0.00001,0.00001,1.524817095,0,0.001956977,0.070088902,144853.9126,33035.71953,0.004936035,0.027777614,8.41E-07,0.14380588,2.866818568,0.001622591,0.008798368,7.588577962,0.000204291,6978.481194,0.000274819,0,-0.004102884,0,2.25767E-06,4.19954E-06,11.35253013,2.83585,18.89558374,2.863908783,1.52482E-05,0,0.143222407,0.14326337,2.863908783,0.554314522,0.363528533,0,0,1,0,0.55,40014.20072,0.421398983,0.000175621,2399.476472,3.045777693
2.5,0.57521303,0.018,0.136908626,40.94315764,3223.275941,40.94315764,22.5187367,34.39000936,10.08954755,23.01010179,2.00083116,40.01692156,56.02327248,3.001317069,1.000430498,3.001317069,6.002634138,36.01551498,0.067427901,18.89156288,18.89424211,0.143283822,0.143283822,0.143283822,0.004105142,0.00001,0.00001,1.663391913,0,0.001956977,0.082836162,146401.7512,33042.0719,0.004930483,0.02779728,8.41E-07,0.144009537,2.87090952,0.001622918,0.008865053,7.606034788,0.000204474,6974.977532,0.000305355,0,-0.004102882,0,2.26011E-06,4.58119E-06,11.351767,2.8365,18.89692675,2.867676426,1.66339E-05,0,0.143201895,0.143242898,2.867676426,0.612525261,0.368238691,0,0,1,0,0.55,40017.04943,0.422257461,0.000175987,2399.371122,3.046419659
2.75,0.660068354,0.018,0.137221289,41.09383158,3227.882046,41.09383158,22.60160737,34.33534364,11.10054749,23.01179142,2.00097018,40.01975188,56.02716505,3.001537363,1.000502504,3.001537363,6.003074725,36.01811003,0.068087732,18.89290183,18.89558374,0.143283822,0.143283822,0.143283822,0.004105142,0.00001,0.00001,1.81651907,0,0.001956977,0.095190565,147941.9073,33048.16078,0.004924931,0.02781673,8.42E-07,0.144213193,2.875000472,0.001623244,0.008931407,7.623404969,0.000204657,6971.740358,0.00033589,0,-0.004102879,0,2.26256E-06,5.00292E-06,11.35171223,2.83715,18.89827117,2.871444068,1.81652E-05,0,0.143181362,0.143222407,2.871444068,0.678367209,0.373443483,0,0,1,0,0.55,40019.90114,0.423115823,0.000176352,2399.265557,3.047061625
3,0.742049669,0.018,0.13753239,41.24375266,3232.505102,41.24375266,22.68406396,34.2820244,12.1118228,23.01348287,2.00110935,40.02258524,56.03106181,3.001757894,1.000574587,3.001757894,6.003515788,36.02070788,0.068746555,18.89424211,18.89692675,0.143283822,0.143283822,0.143283822,0.004105142,0.00001,0.00001,1.986106331,0,0.001956977,0.107164475,149474.3678,33053.98632,0.00491938,0.027835964,8.42E-07,0.144416849,2.879091424,0.00162357,0.00899743,7.640688359,0.00020484,6968.769587,0.000366425,0,-0.004102877,0,2.265E-06,5.46999E-06,11.3524025,2.8378,18.89961703,2.875211711,1.98611E-05,0,0.143160809,0.143201895,2.875211711,0.74558945,0.375402585,0,0,1,0,0.55,40022.75591,0.423974071,0.000176718,2399.159779,3.047703591
3.25,0.821252068,0.018,0.137841927,41.38434248,3237.145024,41.38434248,22.76138836,34.2300468,13.12334942,23.0151762,2.001248675,40.02542174,56.03496289,3.001978669,1.000646749,3.001978669,6.003957338,36.02330859,0.069404329,18.89558374,18.89827117,0.143283822,0.143283822,0.143283822,0.004105142,0.00001,0.00001,2.172498728,0,0.001956977,0.118769889,150999.1205,33059.5487,0.004913828,0.02785498,8.43E-07,0.144620506,2.883182376,0.001623896,0.00906312,7.657884817,0.000205023,6966.065137,0.000396961,0,-0.004102874,0,2.26745E-06,5.98334E-06,11.35384454,2.83845,18.90096439,2.878979353,2.1725E-05,0,0.143140233,0.143181362,2.878979353,0.820149577,0.377514411,0,0,1,0,0.55,40025.61384,0.424832203,0.000177083,2399.053785,3.048345557
