Years,Available Area for Marsh Encroachment,Birth Rate,Births,Carbon Dioxide Released as a function of FF Consumption,Carbon in the Atmosphere,Carbon Released into the Atmosphere,Carbon Sequestration,Conversion to High Marsh,Conversion to Low Marsh,Days Recreating[Birding],Days Recreating[Hiking],Days Recreating[Marsh Walking],Days Recreating[Marsh Driving],Days Recreating[Boat Fishing],Days Recreating[Land Fishing],Days Recreating[Duck Hunting],Days Recreating[Pleasure Boating],Days Recreating[Marsh Work],Deaths,Delay in Action Erosion Control,Delay in Action: Flood Control,Delay in Erosion Control Implementation,Delay in Flood Control Implementation High Marsh,Delay in Flood Control Implementation Low Marsh,Erosion Control Rate,Fiddler Crab Carrying Capacity,Fiddler Crab Mortality Rate,Fiddler Crabs,Flood Mitigation Rate: High Marsh,Flood Mitigation Rate: Low Marsh,Forest Converted to High Marsh,Global Fossil Fuel Consumption,High Marsh Area,High Marsh Conversion Rate,High Marsh Erosion,High Marsh Erosion Rate,High Marsh to Upland Conversion Rate,High Sea Level Rise,Horizontal Growth Rate: Low Marsh,Human Mortality Rate,Human Population,Inundation Loss Rate: Low Marsh,Low Marsh Area,Low Marsh Conversion Rate,Low Marsh Erosion,Low Marsh Erosion Rate,Low Marsh Erosion Rate: Fiddler Crabs,Low Marsh Erosion Rate: SLR,Low Marsh Growth: Fiddlers,Low Marsh Horizontal Growth,Low Sea Level Rise,Mean Days Recreating,Medium Sea Level Rise,Mortality,Mortality Rate mediated by Low Marsh Area,Policy Demand Flood Control,Policy Demand: Erosion Control,Rate of Sea Level Rise,Recruitment,Recruitment Rate,Salt Water Inundation in Low Marsh,Scenario 1,Scenario 2,Scenario 3,Sequestration Rate,Total Marsh Area,Upland Border Decay,Upland Border Decay Rate,Upland Border Extent,Vertical Growth Rate: Low Marsh
1,0,0.018,0.135,40.02338144,3196,40.02338144,22.01285979,34.74655289,4.03068028,23,2,40,56,3,1,3,6,36,0.06345,18.88888889,18.88888889,0.143283822,0.143283822,0.143283822,0.004105142,0.00001,0.00001,1,0,0,0,137000,33000,0.004963793,0.027676047,8.39E-07,0.142787598,2.846363808,0.001620961,0.00846,7.5,0.000203375,7000,0.000122142,0,-0.004102896,0,2.24545E-06,2.75413E-06,11.36600515,2.8326,18.88888889,2.84507057,0.00001,0,0.143283822,0.143283822,2.84507057,0.34569,0.34569,1.423623125,0,1,0,0.55,40000,0.417104881,0.000173794,2400,3.042567864
1.25,0.10427622,0.018,0.135321975,40.17854275,3200.50263,40.17854275,22.09819851,34.68194111,5.039521698,23.00146862,2.000120835,40.00246009,56.00338339,3.000191478,1.000062587,3.000191478,6.000382956,36.0022556,0.064115027,18.88888889,18.88888889,0.143283822,0.143283822,0.143283822,0.004105142,0.00001,0.00001,1.08642,0,0,0.014910588,138586.025,33007.67205,0.004958242,0.027696791,8.39E-07,0.142991255,2.85045476,0.001621287,0.00852833,7.5178875,0.000203558,6994.806627,0.000152677,0,-0.004102894,0,2.2479E-06,2.99214E-06,11.36151848,2.83325,18.89005745,2.848838213,1.08642E-05,0,0.143283822,0.143283822,2.848838213,0.378755797,0.348627416,1.423848132,0,1,0,0.55,40002.47868,0.41796393,0.000174159,2399.895724,3.04320983
1.5,0.205039556,0.018,0.135642406,40.33296013,3205.022716,40.33296013,22.18312807,34.61871029,6.048783169,23.00293874,2.000241795,40.0049227,56.00677026,3.000383152,1.000125237,3.000383152,6.000766304,36.00451351,0.064779293,18.88888889,18.88888889,0.143283822,0.143283822,0.143283822,0.004105142,0.00001,0.00001,1.181106233,0,0,0.029360621,140164.4457,33015.07946,0.00495269,0.02771732,8.40E-07,0.143194911,2.854545712,0.001621613,0.008596333,7.535689237,0.000203741,6989.88044,0.000183213,0,-0.004102891,0,2.25034E-06,3.25292E-06,11.35761923,2.8339,18.89122721,2.852605855,1.18111E-05,0,0.143283822,0.143283822,2.852605855,0.415567269,0.351845801,1.424125673,0,1,0,0.55,40004.9599,0.418822864,0.000174525,2399.791233,3.043851795
1.75,0.302405117,0.018,0.13596129,40.48663188,3209.560174,40.48663188,22.26764753,34.55685544,7.058440477,23.00441038,2.000362879,40.00738785,56.01016063,3.000575024,1.000187953,3.000575024,6.001150049,36.00677375,0.065442755,18.88888889,18.89005745,0.143283822,0.143283822,0.143283822,0.004105142,0.00001,0.00001,1.284995098,0,0,0.043364461,141735.2447,33022.22235,0.004947138,0.027737633,8.40E-07,0.143398567,2.858636664,0.001621939,0.008664007,7.553405015,0.000203924,6985.221332,0.000213748,0,-0.004102889,0,2.25278E-06,3.53904E-06,11.35432535,2.83455,18.89239817,2.856373498,1.285E-05,0,0.143265938,0.143283822,2.856373498,0.456657681,0.355376983,1.424455873,0,1,0,0.55,40007.44368,0.419681685,0.00017489,2399.686527,3.044493761
2,0.396484423,0.018,0.136278624,40.63955638,3214.114921,40.63955638,22.35175601,34.49637158,8.068469424,23.00588356,2.00048409,40.00985558,56.01355453,3.000767097,1.000250734,3.000767097,6.001534194,36.00903635,0.066105371,18.88888889,18.89122721,0.143283822,0.143283822,0.143283822,0.004105142,0.00001,0.00001,1.399156305,0,0,0.056936045,143298.4055,33029.10086,0.004941587,0.02775773,8.40E-07,0.143602224,2.862727616,0.001622265,0.008731352,7.571034649,0.000204107,6980.829195,0.000244284,0,-0.004102887,0,2.25523E-06,3.85345E-06,11.35165739,2.8352,18.89357036,2.860141141,1.39916E-05,0,0.143248036,0.143283822,2.860141141,0.502657149,0.359257323,1.424838858,0,1,0,0.55,40009.93006,0.420540391,0.000175256,2399.581607,3.045135727
2.25,0.487385509,0.018,0.136594403,40.79173212,3218.686871,40.79173212,22.43545267,34.43725375,9.07884583,23.00735829,2.000605429,40.01232591,56.01695201,3.000959372,1.000313581,3.000959372,6.001918744,36.01130134,0.0667671,18.89005745,18.89239817,0.143283822,0.143283822,0.143283822,0.004105142,0.00001,0.00001,1.524817095,0,0,0.070088902,144853.9126,33035.71513,0.004936035,0.027777611,8.41E-07,0.14380588,2.866818568,0.001622591,0.008798368,7.588577962,0.000204291,6976.703924,0.000274819,0,-0.004102884,0,2.25767E-06,4.19954E-06,11.34963889,2.83585,18.89474378,2.863908783,1.52482E-05,0,0.143230115,0.143265938,2.863908783,0.554314522,0.363528533,1.425274751,0,1,0,0.55,40012.41906,0.421398983,0.000175621,2399.476472,3.045777693
2.5,0.57521303,0.018,0.136908626,40.94315764,3223.275941,40.94315764,22.5187367,34.37949698,10.08954553,23.0088346,2.000726898,40.01479889,56.02035314,3.001151853,1.000376496,3.001151853,6.002303707,36.01356876,0.067427901,18.89122721,18.89357036,0.143283822,0.143283822,0.143283822,0.004105142,0.00001,0.00001,1.663391913,0,0,0.082836162,146401.7512,33042.06531,0.004930483,0.027797275,8.41E-07,0.144009537,2.87090952,0.001622918,0.008865053,7.606034788,0.000204474,6972.845413,0.000305355,0,-0.004102882,0,2.26011E-06,4.58119E-06,11.34829698,2.8365,18.89591847,2.867676426,1.66339E-05,0,0.143212176,0.143248036,2.867676426,0.612525261,0.368238691,1.425763679,0,1,0,0.55,40014.91072,0.422257461,0.000175987,2399.371122,3.046419659
2.75,0.660068354,0.018,0.137221289,41.09383158,3227.882046,41.09383158,22.60160737,34.32309632,11.1005444,23.01031253,2.000848499,40.01727458,56.02375798,3.001344545,1.000439479,3.001344545,6.002689091,36.01583866,0.068087732,18.89239817,18.89474378,0.143283822,0.143283822,0.143283822,0.004105142,0.00001,0.00001,1.81651907,0,0,0.095190565,147941.9073,33048.15156,0.004924931,0.027816723,8.42E-07,0.144213193,2.875000472,0.001623244,0.008931407,7.623404969,0.000204657,6969.253559,0.00033589,0,-0.004102879,0,2.26256E-06,5.00292E-06,11.34766311,2.83715,18.89709443,2.871444068,1.81652E-05,0,0.143194217,0.143230115,2.871444068,0.678367209,0.373443483,1.426305766,0,1,0,0.55,40017.40512,0.423115823,0.000176352,2399.265557,3.047061625
3,0.742049669,0.018,0.13753239,41.24375266,3232.505102,41.24375266,22.68406396,34.26804683,12.1118183,23.01179211,2.000970237,40.01975303,56.02716664,3.001537453,1.000502533,3.001537453,6.003074905,36.01811109,0.068746555,18.89357036,18.89591847,0.143283822,0.143283822,0.143283822,0.004105142,0.00001,0.00001,1.986106331,0,0,0.107164475,149474.3678,33053.97404,0.00491938,0.027835953,8.42E-07,0.144416849,2.879091424,0.00162357,0.00899743,7.640688359,0.00020484,6965.92826,0.000366425,0,-0.004102877,0,2.265E-06,5.46999E-06,11.34777387,2.8378,18.89827172,2.875211711,1.98611E-05,0,0.14317624,0.143212176,2.875211711,0.74558945,0.375402585,1.426901139,0,1,0,0.55,40019.9023,0.423974071,0.000176718,2399.159779,3.047703591
3.25,0.821252068,0.018,0.137841927,41.38434248,3237.145024,41.38434248,22.76138836,34.2143436,13.12334316,23.01327339,2.001092115,40.02223433,56.03057921,3.001730582,1.000565659,3.001730582,6.003461163,36.02038614,0.069404329,18.89474378,18.89709443,0.143283822,0.143283822,0.143283822,0.004105142,0.00001,0.00001,2.172498728,0,0,0.118769889,150999.1205,33059.53293,0.004913828,0.027854967,8.43E-07,0.144620506,2.883182376,0.001623896,0.00906312,7.657884817,0.000205023,6962.869421,0.000396961,0,-0.004102874,0,2.26745E-06,5.98334E-06,11.34863591,2.83845,18.89945035,2.878979353,2.1725E-05,0,0.143158242,0.143194217,2.878979353,0.820149577,0.377514411,1.427549924,0,1,0,0.55,40022.40235,0.424832203,0.000177083,2399.053785,3.048345557
