Years,Available Area for Marsh Encroachment,Birth Rate,Births,Carbon Dioxide Released as a function of FF Consumption,Carbon in the Atmosphere,Carbon Released into the Atmosphere,Carbon Sequestration,Conversion to High Marsh,Conversion to Low Marsh,Days Recreating[Birding],Days Recreating[Hiking],Days Recreating[Marsh Walking],Days Recreating[Marsh Driving],Days Recreating[Boat Fishing],Days Recreating[Land Fishing],Days Recreating[Duck Hunting],Days Recreating[Pleasure Boating],Days Recreating[Marsh Work],Deaths,Delay in Action Erosion Control,Delay in Action: Flood Control,Delay in Erosion Control Implementation,Delay in Flood Control Implementation High Marsh,Delay in Flood Control Implementation Low Marsh,Erosion Control Rate,Fiddler Crab Carrying Capacity,Fiddler Crab Mortality Rate,Fiddler Crabs,Flood Mitigation Rate: High Marsh,Flood Mitigation Rate: Low Marsh,Forest Converted to High Marsh,Global Fossil Fuel Consumption,High Marsh Area,High Marsh Conversion Rate,High Marsh Erosion,High Marsh Erosion Rate,High Marsh to Upland Conversion Rate,High Sea Level Rise,Horizontal Growth Rate: Low Marsh,Human Mortality Rate,Human Population,Inundation Loss Rate: Low Marsh,Low Marsh Area,Low Marsh Conversion Rate,Low Marsh Erosion,Low Marsh Erosion Rate,Low Marsh Erosion Rate: Fiddler Crabs,Low Marsh Erosion Rate: SLR,Low Marsh Growth: Fiddlers,Low Marsh Horizontal Growth,Low Sea Level Rise,Mean Days Recreating,Medium Sea Level Rise,Mortality,Mortality Rate mediated by Low Marsh Area,Policy Demand Flood Control,Policy Demand: Erosion Control,Rate of Sea Level Rise,Recruitment,Recruitment Rate,Salt Water Inundation in Low Marsh,Scenario 1,Scenario 2,Scenario 3,Sequestration Rate,Total Marsh Area,Upland Border Decay,Upland Border Decay Rate,Upland Border Extent,Vertical Growth Rate: Low Marsh
1,0,0.018,0.135,40.02338144,3196,40.02338144,22.01285979,34.74655289,4.03068028,23,2,40,56,3,1,3,6,36,0.06345,18.88888889,18.88888889,0.143283822,0.143283822,0.143283822,0,0.00001,0.00001,1,0,0.001956977,0,137000,33000,0.004963793,0.027676047,8.39E-07,0.142787598,2.846363808,0.001620961,0.00846,7.5,0.000203375,7000,0.000122142,0.015718158,2.24545E-06,0,2.24545E-06,2.75413E-06,11.36600515,2.8326,18.88888889,2.84507057,0.00001,0,0.143283822,0.143283822,2.84507057,0.34569,0.34569,0,0,1,0,0.55,40000,0.417104881,0.000173794,2400,3.042567864
1.25,0.10427622,0.018,0.135321975,40.17854275,3200.50263,40.17854275,22.09819851,34.68368629,5.039521698,23.00167716,2.000137994,40.00280942,56.00386384,3.000218668,1.000071474,3.000218668,6.000437336,36.00257589,0.064115027,18.88888889,18.88888889,0.143283822,0.143283822,0.143283822,0,0.00001,0.00001,1.08642,0,0.001956977,0.014910588,138586.025,33007.67205,0.004958242,0.027696791,8.39E-07,0.142991255,2.85045476,0.001621287,0.00852833,7.5178875,0.000203558,6995.158604,0.000152677,0.015724382,2.2479E-06,0,2.2479E-06,2.99214E-06,11.36209019,2.83325,18.89022338,2.848838213,1.08642E-05,0,0.143283822,0.143283822,2.848838213,0.378755797,0.348627416,0,0,1,0,0.55,40002.83065,0.41796393,0.000174159,2399.895724,3.04320983
1.5,0.205039556,0.018,0.135642406,40.33296013,3205.022716,40.33296013,22.18312807,34.62219556,6.048783249,23.00335595,2.000276122,40.00562157,56.00773143,3.000437548,1.000143017,3.000437548,6.000875095,36.00515428,0.064779293,18.88888889,18.88888889,0.143283822,0.143283822,0.143283822,0,0.00001,0.00001,1.181106233,0,0.001956977,0.029360621,140164.4457,33015.07989,0.00495269,0.02771732,8.40E-07,0.143194911,2.854545712,0.001621613,0.008596333,7.535689237,0.000203741,6990.584154,0.000183213,0.015731184,2.25034E-06,0,2.25034E-06,3.25292E-06,11.35876267,2.8339,18.89155917,2.852605855,1.18111E-05,0,0.143283822,0.143283822,2.852605855,0.415567269,0.351845801,0,0,1,0,0.55,40005.66405,0.418822864,0.000174525,2399.791233,3.043851795
1.75,0.302405117,0.018,0.13596129,40.48663188,3209.560174,40.48663188,22.26764753,34.56207579,7.058440757,23.00503638,2.000414386,40.00843646,56.0116028,3.000656642,1.00021463,3.000656642,6.001313283,36.0077352,0.065442755,18.88888889,18.89022338,0.143283822,0.143283822,0.143283822,0,0.00001,0.00001,1.284995098,0,0.001956977,0.043364461,141735.2447,33022.22366,0.004947138,0.027737634,8.40E-07,0.143398567,2.858636664,0.001621939,0.008664007,7.553405015,0.000203924,6986.276559,0.000213748,0.015738564,2.25278E-06,0,2.25278E-06,3.53904E-06,11.3560406,2.83455,18.89289627,2.856373498,1.285E-05,0,0.143263398,0.143283822,2.856373498,0.456657681,0.355376983,0,0,1,0,0.55,40008.50022,0.419681685,0.00017489,2399.686527,3.044493761
2,0.396484423,0.018,0.136278624,40.63955638,3214.114921,40.63955638,22.35175601,34.50332207,8.068470063,23.00671848,2.000552786,40.01125415,56.01547801,3.000875953,1.000286315,3.000875953,6.001751906,36.01031867,0.066105371,18.88888889,18.89155917,0.143283822,0.143283822,0.143283822,0,0.00001,0.00001,1.399156305,0,0.001956977,0.056936045,143298.4055,33029.10347,0.004941587,0.027757732,8.40E-07,0.143602224,2.862727616,0.001622265,0.008731352,7.571034649,0.000204107,6982.235725,0.000244284,0.015746524,2.25523E-06,0,2.25523E-06,3.85345E-06,11.35394457,2.8352,18.89423469,2.860141141,1.39916E-05,0,0.143242955,0.143283822,2.860141141,0.502657149,0.359257323,0,0,1,0,0.55,40011.3392,0.420540391,0.000175256,2399.581607,3.045135727
2.25,0.487385509,0.018,0.136594403,40.79173212,3218.686871,40.79173212,22.43545267,34.44592951,9.078847026,23.00840227,2.000691326,40.01407468,56.01935712,3.001095486,1.000358071,3.001095486,6.002190971,36.01290475,0.0667671,18.89022338,18.89289627,0.143283822,0.143283822,0.143283822,0,0.00001,0.00001,1.524817095,0,0.001956977,0.070088902,144853.9126,33035.71948,0.004936035,0.027777614,8.41E-07,0.14380588,2.866818568,0.001622591,0.008798368,7.588577962,0.000204291,6978.461562,0.000274819,0.015755067,2.25767E-06,0,2.25767E-06,4.19954E-06,11.35249819,2.83585,18.89557446,2.863908783,1.52482E-05,0,0.143222492,0.143263398,2.863908783,0.554314522,0.363528533,0,0,1,0,0.55,40014.18104,0.421398983,0.000175621,2399.476472,3.045777693
2.5,0.57521303,0.018,0.136908626,40.94315764,3223.275941,40.94315764,22.5187367,34.38989322,10.08954753,23.01008779,2.000830008,40.01689811,56.02324023,3.001315244,1.000429902,3.001315244,6.002630487,36.01549348,0.067427901,18.89155917,18.89423469,0.143283822,0.143283822,0.143283822,0,0.00001,0.00001,1.663391913,0,0.001956977,0.082836162,146401.7512,33042.07183,0.004930483,0.02779728,8.41E-07,0.144009537,2.87090952,0.001622918,0.008865053,7.606034788,0.000204474,6974.953977,0.000305355,0.015764194,2.26011E-06,0,2.26011E-06,4.58119E-06,11.35172867,2.8365,18.89691561,2.867676426,1.66339E-05,0,0.143202008,0.143242955,2.867676426,0.612525261,0.368238691,0,0,1,0,0.55,40017.02581,0.422257461,0.000175987,2399.371122,3.046419659
2.75,0.660068354,0.018,0.137221289,41.09383158,3227.882046,41.09383158,22.60160737,34.33520832,11.10054746,23.01177508,2.000968836,40.01972451,56.02712741,3.001535232,1.000501807,3.001535232,6.003070465,36.01808494,0.068087732,18.89289627,18.89557446,0.143283822,0.143283822,0.143283822,0,0.00001,0.00001,1.81651907,0,0.001956977,0.095190565,147941.9073,33048.16068,0.004924931,0.02781673,8.42E-07,0.144213193,2.875000472,0.001623244,0.008931407,7.623404969,0.000204657,6971.712882,0.00033589,0.015773907,2.26256E-06,0,2.26256E-06,5.00292E-06,11.35166749,2.83715,18.89825817,2.871444068,1.81652E-05,0,0.143181504,0.143222492,2.871444068,0.678367209,0.373443483,0,0,1,0,0.55,40019.87356,0.423115823,0.000176352,2399.265557,3.047061625
3,0.742049669,0.018,0.13753239,41.24375266,3232.505102,41.24375266,22.68406396,34.28186994,12.11182275,23.01346419,2.001107813,40.02255394,56.03101877,3.001755458,1.00057379,3.001755458,6.003510916,36.02067918,0.068746555,18.89423469,18.89691561,0.143283822,0.143283822,0.143283822,0,0.00001,0.00001,1.986106331,0,0.001956977,0.107164475,149474.3678,33053.98618,0.00491938,0.027835964,8.42E-07,0.144416849,2.879091424,0.00162357,0.00899743,7.640688359,0.00020484,6968.73819,0.000366425,0.015784207,2.265E-06,0,2.265E-06,5.46999E-06,11.35235136,2.8378,18.89960217,2.875211711,1.98611E-05,0,0.143160979,0.143202008,2.875211711,0.74558945,0.375402585,0,0,1,0,0.55,40022.72437,0.423974071,0.000176718,2399.159779,3.047703591
3.25,0.821252068,0.018,0.137841927,41.38434248,3237.145024,41.38434248,22.76138836,34.22987325,13.12334935,23.01515517,2.001246944,40.02538651,56.03491444,3.001975927,1.000645853,3.001975927,6.003951855,36.0232763,0.069404329,18.89557446,18.89825817,0.143283822,0.143283822,0.143283822,0,0.00001,0.00001,2.172498728,0,0.001956977,0.118769889,150999.1205,33059.54853,0.004913828,0.02785498,8.43E-07,0.144620506,2.883182376,0.001623896,0.00906312,7.657884817,0.000205023,6966.02982,0.000396961,0.015795097,2.26745E-06,0,2.26745E-06,5.98334E-06,11.35378697,2.83845,18.90094766,2.878979353,2.1725E-05,0,0.143140432,0.143181504,2.878979353,0.820149577,0.377514411,0,0,1,0,0.55,40025.57835,0.424832203,0.000177083,2399.053785,3.048345557
