Years,Available Area for Marsh Encroachment,Conversion to High Marsh,Conversion to Low Marsh,Days Recreating[Birding],Days Recreating[Hiking],Days Recreating[Marsh Walking],Days Recreating[Marsh Driving],Days Recreating[Boat Fishing],Days Recreating[Land Fishing],Days Recreating[Duck Hunting],Days Recreating[Pleasure Boating],Days Recreating[Marsh Work],Delay in Action Erosion Control,="Delay in Action: Flood Control",Delay in Erosion Control Implementation,Delay in Flood Control Implementation High Marsh,Delay in Flood Control Implementation Low Marsh,Erosion Control Rate,Fiddler Crab Carrying Capacity,Fiddler Crab Mortality Rate,Fiddler Crabs,="Flood Mitigation Rate: High Marsh",="Flood Mitigation Rate: Low Marsh",Forest Converted to High Marsh,High Marsh Area,High Marsh Conversion Rate,High Marsh Erosion,High Marsh Erosion Rate,High Marsh to Upland Conversion Rate,High Sea Level Rise,="Horizontal Growth Rate: Low Marsh",="Inundation Loss Rate: Low Marsh",Low Marsh Area,Low Marsh Conversion Rate,Low Marsh Erosion,Low Marsh Erosion Rate,="Low Marsh Erosion Rate: Fiddler Crabs",="Low Marsh Erosion Rate: SLR",="Low Marsh Growth: Fiddlers",Low Marsh Horizontal Growth,Low Sea Level Rise,Mean Days Recreating,Mean Mitigation Rate,Medium Sea Level Rise,Mortality,Mortality Rate mediated by Low Marsh Area,Policy Demand Flood Control,="Policy Demand: Erosion Control",Rate of Sea Level Rise,Recruitment,Recruitment Rate,Salt Water Inundation in Low Marsh,Scenario 1,Scenario 2,Scenario 3,Total Marsh Area,Upland Border Decay,Upland Border Decay Rate,Upland Border Extent,="Vertical Growth Rate: Low Marsh"
1,0,46.086216221,0,23,2,40,56,3,1,3,6,36,18.8888888889,18.8888888889,0.143283821581,0.143283821581,0.143283821581,0.0041051417636,0.00001,0.00001,1,0.00162185751185,0.00195697724899,0,33000,0.00496188766258,0.0276809578228,8.3881690372e-7,0.142857503137,2.84636380803,0.00162107282954,0.000491568083187,7000,0.000132623077208,0,-0.00408355993217,0,0.0000215818314293,0,11.3475098068,2.8326,18.8888888889,0.00256132550815,2.84507057027,0.00001,0,0.143283821581,0.143283821581,2.84636380803,0.34569,0.34569,0,0,0,1,40000,0,0.000173919159193,2400,3.04278821745
1.25,0,45.9868942848,0,23.0016767496,2.00013796041,40.0028087325,56.0038628916,3.00021861419,1.00007145642,3.00021861419,6.00043722839,36.0025752611,18.8888888889,18.8888888889,0.143283821581,0.143283821581,0.143283821581,0.0041051417636,0.00001,0.00001,1.08642,0.00162185751185,0.00195697724899,0,33011.5146338,0.00495585957822,0.0277061561771,8.3928763901e-7,0.143078635678,2.85045476004,0.00162142691863,0.000492145239119,6991.3153234,0.000165778846509,0,-0.00408353065162,0,0.0000216111119793,0,11.335906862,2.83325,18.8902230565,0.00256132550815,2.84883821283,0.0000108642,0,0.143283821581,0.143283821581,2.85045476004,0.378755797073,0.3486274158,0,0,0,1,40002.8299572,0,0.000174316027562,2400,3.04348527181
1.5,0,45.887821168,0,23.0033517769,2.00027577911,40.0056145798,56.0077218151,3.00043700382,1.00014283944,3.00043700382,6.00087400764,36.0051478767,18.8888888889,18.8888888889,0.143283821581,0.143283821581,0.143283821581,0.0041051417636,0.00001,0.00001,1.18110623322,0.00162185751185,0.00195697724899,0,33023.0044308,0.00494983149387,0.0277313445153,8.39758374299e-7,0.143299768219,2.85454571205,0.00162178100772,0.000492722395051,6982.65257654,0.000198934615811,0,-0.00408350137107,0,0.0000216403925292,0,11.3243333321,2.8339,18.8915558536,0.00256132550815,2.8526058554,0.0000118110623322,0,0.143283821581,0.143283821581,2.85454571205,0.415567268536,0.351845800867,0,0,0,1,40005.6570074,0,0.000174712895932,2400,3.04418232617
1.75,0,45.7889961139,0,23.005025086,2.00041345645,40.0084175492,56.0115767805,3.00065516945,1.00021414924,3.00065516945,6.00131033889,36.0077178537,18.8888888889,18.8902230565,0.143283821581,0.143283821581,0.143283821581,0.0041051417636,0.00001,0.00001,1.28499509759,0.00162185751185,0.00195697724899,0,33034.4694533,0.00494380340951,0.0277565228544,8.40229109588e-7,0.14352090076,2.85863666405,0.00162213509681,0.000493299550983,6974.01170458,0.000232090385113,0,-0.00408347209052,0,0.0000216696730792,0,11.3127891516,2.83455,18.8928872837,0.00256132550815,2.85637349797,0.0000128499509759,0,0.143263403237,0.143283821581,2.85863666405,0.456657681422,0.355376983367,0,0,0,1,40008.4811579,0,0.000175109764301,2400,3.04487938054
2,0,45.6904183682,0,23.0066966815,2.00055099278,40.0112176479,56.0154277979,3.00087311164,1.00028538601,3.00087311164,6.00174622328,36.0102851986,18.8888888889,18.8915558536,0.143283821581,0.143283821581,0.143283821581,0.0041051417636,0.00001,0.00001,1.39915630545,0.00162185751185,0.00195697724899,0,33045.9097632,0.00493777532515,0.0277816912117,8.40699844877e-7,0.143742033301,2.86272761606,0.00162248918591,0.000493876706914,6965.39265284,0.000265246154415,0,-0.00408344280997,0,0.0000216989536292,0,11.3012742548,2.8352,18.8942173501,0.00256132550815,2.86014114053,0.0000139915630545,0,0.143243005867,0.143283821581,2.86272761606,0.502657148508,0.359257322822,0,0,0,1,40011.302416,0,0.000175506632671,2400,3.0455764349
2.25,0,45.5920871791,0,23.0083665676,2.00068838847,40.0140148833,56.0192748772,3.00109083096,1.00035654993,3.00109083096,6.00218166193,36.0128499182,18.8902230565,18.8928872837,0.143283821581,0.143283821581,0.143283821581,0.0041051417636,0.00001,0.00001,1.52481709469,0.00162185751185,0.00195697724899,0,33057.3254224,0.0049317472408,0.0278068496043,8.41170580166e-7,0.143963165842,2.86681856807,0.001622843275,0.000494453862846,6956.79536681,0.000298401923717,0,-0.00408341352942,0,0.0000217282341792,0,11.2897885766,2.83585,18.8955460565,0.00256132550815,2.8639087831,0.0000152481709469,0,0.143222629419,0.143263403237,2.86681856807,0.5543145216,0.363528533049,0,0,0,1,40014.1207892,0,0.00017590350104,2400,3.04627348926
2.5,0,45.4940017973,0,23.0100347486,2.00082564388,40.0168092625,56.0231180285,3.00130832799,1.00042764119,3.00130832799,6.00261665597,36.015412019,18.8915558536,18.8942173501,0.143283821581,0.143283821581,0.143283821581,0.0041051417636,0.00001,0.00001,1.66339191305,0.00162185751185,0.00195697724899,0,33068.7164925,0.00492571915644,0.0278319980491,8.41641315455e-7,0.144184298382,2.87090952008,0.00162319736409,0.000495031018778,6948.21979216,0.000331557693019,0,-0.00408338424887,0,0.0000217575147292,0,11.2783320518,2.8365,18.8968734062,0.00256132550815,2.86767642567,0.0000166339191305,0,0.143202273839,0.143243005868,2.87090952008,0.612525260888,0.368238691124,0,0,0,1,40016.9362846,0,0.00017630036941,2400,3.04697054362
2.75,0,45.3961614758,0,23.011701229,2.00096275934,40.0196007928,56.0269572616,3.00152560327,1.00049865997,3.00152560327,6.00305120654,36.0179715078,18.8928872837,18.8955460565,0.143283821581,0.143283821581,0.143283821581,0.0041051417636,0.00001,0.00001,1.81651906979,0.00162185751185,0.00195697724899,0,33080.0830349,0.00491969107209,0.0278571365633,8.42112050744e-7,0.144405430923,2.87500047208,0.00162355145319,0.00049560817471,6939.66587473,0.000364713462321,0,-0.00408335496832,0,0.0000217867952791,0,11.2669046155,2.83715,18.8981994026,0.00256132550815,2.87144406823,0.0000181651906979,0,0.143181939075,0.143222629419,2.87500047208,0.678367208689,0.373443483182,0,0,0,1,40019.7489096,0,0.000176697237779,2400,3.04766759799
3,0,45.29856547,0,23.0133660129,2.00109973524,40.0223894815,56.0307925866,3.00174265737,1.00056960646,3.00174265737,6.00348531475,36.0205283911,18.8942173501,18.8968734062,0.143283821581,0.143283821581,0.143283821581,0.0041051417636,0.00001,0.00001,1.98610633066,0.00162185751185,0.00195697724899,0,33091.425111,0.00491366298773,0.0278822651638,8.42582786033e-7,0.144626563464,2.87909142409,0.00162390554228,0.000496185330642,6931.13356051,0.000397869231623,0,-0.00408332568777,0,0.0000218160758291,0,11.2555062032,2.8378,18.8995240492,0.00256132550815,2.8752117108,0.0000198610633066,0,0.143161625074,0.143202273839,2.87909142409,0.745589450073,0.375402584726,0,0,0,1,40022.5586715,0,0.000177094106149,2400,3.04836465235
3.25,0,45.2012130379,0,23.0150291047,2.0012365719,40.0251753357,56.0346240133,3.00195949086,1.00064048083,3.00195949086,6.00391898172,36.0230826755,18.8955460565,18.8981994026,0.143283821581,0.143283821581,0.143283821581,0.0041051417636,0.00001,0.00001,2.17249872792,0.00162185751185,0.00195697724899,0,33102.7427818,0.00490763490338,0.0279073838676,8.43053521322e-7,0.144847696005,2.8831823761,0.00162425963137,0.000496762486574,6922.62279569,0.000431025000924,0,-0.00408329640722,0,0.0000218453563791,0,11.2441367503,2.83845,18.9008473495,0.00256132550815,2.87897935337,0.0000217249872792,0,0.143141331783,0.143181939075,2.8831823761,0.820149576771,0.377514410587,0,0,0,1,40025.3655775,0,0.000177490974518,2400,3.04906170671
3.5,0,45.1056229666,0,23.0166905086,2.0013732697,40.0279583626,56.0384515515,3.00217610429,1.00071128328,3.00217610429,6.00435220858,36.0256343677,18.8968734062,18.8995240492,0.143283821581,0.143283821581,0.143283821581,0.0041051417636,0.00001,0.00001,2.37753069086,0.00162185751185,0.00195697724899,0,33114.0361082,0.00490182659013,0.0279319243883,8.43507094605e-7,0.145060766525,2.88712418071,0.00162460081113,0.00049731860063,6914.13352662,0.000462971981511,0,-0.00408326819418,0,0.0000218735694226,0,11.2327069356,2.8391,18.9021693067,0.00256132550815,2.88272385205,0.0000237753069086,0,0.143121059149,0.143161625074,2.88712418071,0.903075130073,0.379837422727,0,0,0,1,40028.1696348,0,0.000177873373912,2400,3.04973334796
3.75,0,45.0115257006,0,23.0183502159,2.00150982789,40.0307385474,56.042275181,3.00239249651,1.00078201342,3.00239249651,6.00478499302,36.028183454,18.8981994026,18.9008473495,0.143283821581,0.143263403237,0.143263403237,0.0041051417636,0.00001,0.00001,2.60329352955,0.00162165494441,0.00195676196758,0,33125.305531,0.00489640287634,0.0279554601107,8.43930634378e-7,0.145259728507,2.89080497738,0.00162491939955,0.000497837891404,6905.66529761,0.000492803581846,0,-0.00408324184927,0,0.0000218999143298,0,11.2211495089,2.83975,18.903489914,0.0025611862252,2.88642784894,0.0000260329352955,0,0.143100807122,0.143141331783,2.89080497738,0.995487251067,0.38239531569,0,0,0,1,40030.9708286,0,0.0001782304526,2400,3.05036051625
4,0,44.9176595429,0,23.0200082078,2.00164624495,40.0335158586,56.0460948585,3.00260866507,1.00085267046,3.00260866507,6.00521733014,36.0307299057,18.8995240492,18.9021693067,0.143283821581,0.143243005867,0.143243005867,0.0041051417636,0.00001,0.00001,2.85215883409,0.00162145258506,0.00195654690731,0,33136.5514235,0.00489097916255,0.0279789855114,8.44354174151e-7,0.145458690489,2.89448577405,0.00162523798798,0.000498357182177,6897.21770357,0.000522635182181,0,-0.00408321550436,0,0.000021926259237,0,11.2096202232,2.8404,18.9048091562,0.00256104708532,2.89013184583,0.0000285215883409,0,0.143080575647,0.14312105915,2.89448577405,1.09810652825,0.385008897514,0,0,0,1,40033.7691271,0,0.000178587531287,2400,3.05098768454
4.25,0,44.824023806,0,23.0216644884,2.0017825212,40.0362903034,56.0499105935,3.00282461051,1.00092325457,3.00282461051,6.00564922103,36.033273729,18.9008473495,18.903489914,0.143283821581,0.143222629419,0.143222629419,0.0041051417636,0.00001,0.00001,3.12667833575,0.00162125043327,0.00195633206763,0,33147.7738437,0.00488555544875,0.0280025006093,8.44777713924e-7,0.145657652472,2.89816657072,0.0016255565764,0.000498876472951,6888.79069374,0.000552466782517,0,-0.00408318915946,0,0.0000219526041441,0,11.1981190157,2.84105,18.9061270369,0.00256090808817,2.89383584271,0.0000312667833575,0,0.143060364833,0.143100807122,2.89816657072,1.21210765378,0.38766624629,0,0,0,1,40036.5645374,0,0.000178944609974,2400,3.05161485283
4.5,0,44.730617805,0,23.0233190619,2.00191865699,40.0390618885,56.0537223958,3.00304033339,1.00099376593,3.00304033339,6.00608066678,36.0358149305,18.9021693067,18.9048091562,0.143283821581,0.143202273839,0.143202273839,0.0041051417636,0.00001,0.00001,3.4296974325,0.00162104848851,0.00195611744798,0,33158.972849,0.00488013173496,0.0280260054233,8.45201253697e-7,0.145856614454,2.9018473674,0.00162587516483,0.000499395763725,6880.38421754,0.000582298382852,0,-0.00408316281455,0,0.0000219789490513,0,11.1866458238,2.8417,18.9074435593,0.00256076923336,2.8975398396,0.000034296974325,0,0.143040174909,0.143080575647,2.9018473674,1.33963800333,0.390599471147,0,0,0,1,40039.3570665,0,0.000179301688662,2400,3.05224202112
