Years,Available Area for Marsh Encroachment,Conversion to High Marsh,Conversion to Low Marsh,Days Recreating[Birding],Days Recreating[Hiking],Days Recreating[Marsh Walking],Days Recreating[Marsh Driving],Days Recreating[Boat Fishing],Days Recreating[Land Fishing],Days Recreating[Duck Hunting],Days Recreating[Pleasure Boating],Days Recreating[Marsh Work],Delay in Action Erosion Control,="Delay in Action: Flood Control",Delay in Erosion Control Implementation,Delay in Flood Control Implementation High Marsh,Delay in Flood Control Implementation Low Marsh,Erosion Control Rate,Fiddler Crab Carrying Capacity,Fiddler Crab Mortality Rate,Fiddler Crabs,="Flood Mitigation Rate: High Marsh",="Flood Mitigation Rate: Low Marsh",Forest Converted to High Marsh,High Marsh Area,High Marsh Conversion Rate,High Marsh Erosion,High Marsh Erosion Rate,High Marsh to Upland Conversion Rate,High Sea Level Rise,="Horizontal Growth Rate: Low Marsh",="Inundation Loss Rate: Low Marsh",Low Marsh Area,Low Marsh Conversion Rate,Low Marsh Erosion,Low Marsh Erosion Rate,="Low Marsh Erosion Rate: Fiddler Crabs",="Low Marsh Erosion Rate: SLR",="Low Marsh Growth: Fiddlers",Low Marsh Horizontal Growth,Low Sea Level Rise,Mean Days Recreating,Mean Mitigation Rate,Medium Sea Level Rise,Mortality,Mortality Rate mediated by Low Marsh Area,Policy Demand Flood Control,="Policy Demand: Erosion Control",Rate of Sea Level Rise,Recruitment,Recruitment Rate,Salt Water Inundation in Low Marsh,Scenario 1,Scenario 2,Scenario 3,Total Marsh Area,Upland Border Decay,Upland Border Decay Rate,Upland Border Extent,="Vertical Growth Rate: Low Marsh"
1,0,46.0995554692,0,23,2,40,56,3,1,3,6,36,18.8888888889,18.8888888889,0.143283821581,0.143283821581,0.143283821581,0.0041051417636,0.00001,0.00001,1,0.00162185751185,0.00195697724899,0,33000,0.00496379326947,0.0276760471082,8.38668094189e-7,0.142787598393,2.84636380803,0.00162096089437,0.000491385631805,7000,0.000122141826665,0,-0.00408356918838,0,0.0000215725752188,0,11.3467262606,2.8326,18.8888888889,0.00256132550815,2.84507057027,0.00001,0,0.143283821581,0.143283821581,2.84507057027,0.34569,0.34569,0,0,1,0,40000,0,0.00017379370058,2400,3.0425678636
1.25,0,46.0035244257,0,23.0016766343,2.00013795092,40.0028085393,56.0038626259,3.00021859916,1.0000714515,3.00021859916,6.00043719831,36.0025750839,18.8888888889,18.8888888889,0.143283821581,0.143283821581,0.143283821581,0.0041051417636,0.00001,0.00001,1.08642,0.00162185751185,0.00195697724899,0,33011.5179699,0.00495824158683,0.0277000184414,8.39101627095e-7,0.142991254748,2.85045476004,0.00162128699967,0.000491917174892,6991.3117927,0.000152677283332,0,-0.00408354222188,0,0.0000215995417161,0,11.3349229202,2.83325,18.8902229647,0.00256132550815,2.84883821283,0.0000108642,0,0.143283821581,0.143283821581,2.84883821283,0.378755797073,0.3486274158,0,0,1,0,40002.8297626,0,0.000174159204297,2400,3.0432098295
1.5,0,45.9077282904,0,23.0033515167,2.0002757577,40.005614144,56.0077212157,3.0004369699,1.00014282835,3.0004369699,6.0008739398,36.0051474771,18.8888888889,18.8888888889,0.143283821581,0.143283821581,0.143283821581,0.0041051417636,0.00001,0.00001,1.18110623322,0.00162185751185,0.00195697724899,0,33023.011926,0.0049526899042,0.027723979601,8.39535160001e-7,0.143194911103,2.85454571205,0.00162161310497,0.000492448717978,6982.64464232,0.000183212739998,0,-0.00408351525539,0,0.0000216265082135,0,11.3231480594,2.8339,18.8915556466,0.00256132550815,2.8526058554,0.0000118110623322,0,0.143283821581,0.143283821581,2.8526058554,0.415567268536,0.351845800867,0,0,1,0,40005.6565683,0,0.000174524708013,2400,3.0438517954
1.75,0,45.8121663734,0,23.0050246514,2.00041342068,40.0084168211,56.0115757792,3.00065511278,1.00021413071,3.00065511278,6.00131022555,36.0077171861,18.8888888889,18.8902229647,0.143283821581,0.143283821581,0.143283821581,0.0041051417636,0.00001,0.00001,1.28499509759,0.00162185751185,0.00195697724899,0,33034.481927,0.00494713822157,0.0277479306051,8.39968692907e-7,0.143398567458,2.85863666405,0.00162193921028,0.000492980261064,6973.99849726,0.000213748196664,0,-0.00408348828889,0,0.0000216534747108,0,11.3114016151,2.83455,18.8928869378,0.00256132550815,2.85637349797,0.0000128499509759,0,0.143263404641,0.143283821581,2.85637349797,0.456657681422,0.355376983367,0,0,1,0,40008.4804243,0,0.000174890211729,2400,3.0444937613
2,0,45.7168379872,0,23.0066960426,2.00055094021,40.0112165777,56.015426326,3.00087302834,1.00028535878,3.00087302834,6.00174605668,36.0102842173,18.8888888889,18.8915556466,0.143283821581,0.143283821581,0.143283821581,0.0041051417636,0.00001,0.00001,1.39915630545,0.00162185751185,0.00195697724899,0,33045.9280316,0.00494158653893,0.0277718714719,8.40402225813e-7,0.143602223813,2.86272761606,0.00162226531558,0.000493511804151,6965.37330607,0.00024428365333,0,-0.00408346132239,0,0.0000216804412082,0,11.2996835245,2.8352,18.8942168418,0.00256132550815,2.86014114053,0.0000139915630545,0,0.143243009036,0.143283821581,2.86014114053,0.502657148508,0.359257322822,0,0,1,0,40011.3013377,0,0.000175255715446,2400,3.0451357272
2.25,0,45.6217424466,0,23.0083656945,2.00068831664,40.0140134208,56.0192728658,3.00109071713,1.00035651272,3.00109071713,6.00218143427,36.0128485772,18.8902229647,18.8928869378,0.143283821581,0.143283821581,0.143283821581,0.0041051417636,0.00001,0.00001,1.52481709469,0.00162185751185,0.00195697724899,0,33057.3502982,0.0049360348563,0.0277958022192,8.40835758719e-7,0.143805880168,2.86681856807,0.00162259142088,0.000494043347237,6956.76901746,0.000274819109997,0,-0.00408343435589,0,0.0000217074077055,0,11.2879937248,2.83585,18.8955453618,0.00256132550815,2.8639087831,0.0000152481709469,0,0.143222634712,0.143263404642,2.8639087831,0.5543145216,0.363528533049,0,0,1,0,40014.1193156,0,0.000175621219162,2400,3.0457776931
2.5,0,45.5268790682,0,23.0100336113,2.0008255503,40.0168073574,56.0231154084,3.00130817971,1.00042759272,3.00130817971,6.00261635941,36.0154102723,18.8915556466,18.8942168418,0.143283821581,0.143283821581,0.143283821581,0.0041051417636,0.00001,0.00001,1.66339191305,0.00162185751185,0.00195697724899,0,33068.7487848,0.00493048317367,0.0278197228652,8.41269291625e-7,0.144009536522,2.87090952008,0.00162291752618,0.000494574890324,6948.18558028,0.000305354566663,0,-0.0040834073894,0,0.0000217343742029,0,11.2763321534,2.8365,18.8968725012,0.00256132550815,2.86767642567,0.0000166339191305,0,0.143202281619,0.143243009036,2.86767642567,0.612525260888,0.368238691124,0,0,1,0,40016.9343651,0,0.000175986722878,2400,3.046419659
2.75,0,45.432247171,0,23.0116997972,2.00096264154,40.0195983945,56.0269539632,3.0015254166,1.00049859895,3.0015254166,6.0030508332,36.0179693088,18.8928869378,18.8955453618,0.143283821581,0.143283821581,0.143283821581,0.0041051417636,0.00001,0.00001,1.81651906979,0.00162185751185,0.00195697724899,0,33080.1235497,0.00492493149103,0.0278436334276,8.41702824532e-7,0.144213192877,2.87500047208,0.00162324363148,0.00049510643341,6939.62294355,0.000335890023329,0,-0.0040833804229,0,0.0000217613407002,0,11.264698748,2.83715,18.8981982634,0.00256132550815,2.87144406823,0.0000181651906979,0,0.143181949707,0.143222634712,2.87144406823,0.678367208689,0.373443483182,0,0,1,0,40019.7464932,0,0.000176352226595,2400,3.0470616249
3,0,45.3378460761,0,23.0133642564,2.00109959072,40.0223865392,56.0307885401,3.00174242837,1.0005695316,3.00174242837,6.00348485673,36.0205256934,18.8942168418,18.8968725012,0.143283821581,0.143283821581,0.143283821581,0.0041051417636,0.00001,0.00001,1.98610633066,0.00162185751185,0.00195697724899,0,33091.4746506,0.0049193798084,0.0278675339245,8.42136357438e-7,0.144416849232,2.87909142409,0.00162356973678,0.000495637976497,6931.08105644,0.000366425479996,0,-0.0040833534564,0,0.0000217883071976,0,11.2530934464,2.8378,18.8995226516,0.00256132550815,2.8752117108,0.0000198610633066,0,0.143161638923,0.14320228162,2.8752117108,0.745589450073,0.375402584726,0,0,1,0,40022.555707,0,0.000176717730311,2400,3.0477035908
3.25,0,45.2436751067,0,23.015026993,2.00123639816,40.0251717984,56.0346191484,3.00195921554,1.00064039084,3.00195921554,6.00391843108,36.0230794323,18.8955453618,18.8981982634,0.143283821581,0.143283821581,0.143283821581,0.0041051417636,0.00001,0.00001,2.17249872792,0.00162185751185,0.00195697724899,0,33102.8021452,0.00491382812577,0.0278914243735,8.42569890344e-7,0.144620505587,2.8831823761,0.00162389584209,0.000496169519583,6922.55986829,0.000396960936662,0,-0.0040833264899,0,0.0000218152736949,0,11.2415161867,2.83845,18.9008456692,0.00256132550815,2.87897935337,0.0000217249872792,0,0.143141349217,0.143181949707,2.87897935337,0.820149576771,0.377514410587,0,0,1,0,40025.3620135,0,0.000177083234027,2400,3.0483455567
